mp_frontier,76 -348 671,20 142 0,-818 243 442,3 349 0,
mp_metropolis,1139 1563 564,35 232 0,-245 -2278 195,13 122 0,
mp_proto,-598 2314 734,15 315 0,-1241 -741 745,27 62 0,
mp_quarry,257 721 543,29 61 0,580 -1945 498,13 112 0,
mp_divide,-941 1586 901,22 223 0,-1010 -381 743,24 46 0,
mp_desert,-561 -1685 586,8 132 0,-1730 775 569,22 222 0,
mp_riot,-1036 1597 825,34 4 0,-1291 -87 514,36 151 0,
mp_parkour,165 -146 241,11 136,-1821 -1974 242,12 19 0,
mp_skyway,1666 2000 303,33 308 0,260 409 72,10 65 0,
mp_breakneck,-38859 -1202 432,29 132 0,-39443 -4 307,23 143 -0,
mp_rivet,-66 180 1234,41 40 0,-1575 208 1149,30 50 0,
mp_fallen,-644 -243 1345,31 13 0,-365 2730 1287,24 315 0,
