legend,player,icon_minimap_player,MP_BR_INGAME/PLAYER,,
legend,playerPing,ui_mp_br_mapmenu_ping_navigation_squadleader,MP_BR_INGAME/MAP_KEY_PLAYER_PING,,
legend,dropbag,ui_mp_br_mapmenu_legend_poi_equipmentbag,MP_BR_INGAME/DROPBAG,,
top,contracts,,,1,
middle,armoryKiosk,ui_mp_br_mapmenu_legend_poi_shop,MP_BR_INGAME/ARMORY_KIOSK,,
middle,plunderExtraction,ui_mp_br_mapmenu_legend_poi_plunder,MP_BR_INGAME/PLUNDER_EXTRACTION_POINT,,
bottom,atv,ui_mp_br_mapmenu_legend_vehicle_atv,VEHICLES/ATV,,
bottom,jeep,ui_mp_br_mapmenu_legend_vehicle_jeep,VEHICLES/JEEP,,
bottom,cargoTruck,ui_mp_br_mapmenu_legend_vehicle_cargo_truck,VEHICLES/CARGO_TRUCK,,
bottom,tacRover,ui_mp_br_mapmenu_legend_vehicle_tac_rover,VEHICLES/TAC_ROVER,,
