inherit,mp/loot_set_global.csv,,,,
chance,ammo,25,,#ammo by itself - most ammo should spawn with its gun,
chance,health,5,,,
chance,plunder,10,,,
chance,lethal,20,,,
chance,tactical,25,,,
chance,weapon,20,,,
chance,tablet,5,,,
item,brloot_ammo_12g,35,#common,,
item,brloot_ammo_50cal,5,#common,,
item,brloot_ammo_762,20,#common,,
item,brloot_ammo_919,35,#common,,
item,brloot_ammo_rocket,5,#common,,
item,brloot_offhand_molotov,36,#common,,
item,brloot_weapon_mg34_comm,1,#common,,
item,brloot_weapon_carlg_epic,1,#epic,,
item,brloot_weapon_rpg7_comm,1,#common,,
