egg,1,1,0,1,1,1,1,,240,240,240,240,
baby,2,4,2,2,3,10,1,streak,40,-20,40,-20,
child,3,24,12,2,5,5,1,win,20,-20,20,-20,
teen_a,4,48,24,2,5,5,1,plant,40,40,-40,-40,
teen_b,5,48,24,2,5,5,1,plant,40,40,-40,-40,
riley,6,96,48,2,5,5,1,top_3,40,40,-40,-40,
bat,7,96,48,2,4,7,1,top_3,40,30,-40,-40,
panda,8,96,48,1,6,6,1,top_3,20,-30,30,-40,
lizard,9,96,48,3,3,5,1,top_3,-40,40,30,-40,
pony,10,96,48,2,7,5,1,top_3,40,-30,30,-40,
soldier,11,96,48,1,5,7,1,top_3,-40,40,30,-40,
vampire,12,96,48,3,5,5,2,streak_top,-40,40,-40,-40,
unicorn,13,96,48,3,8,5,1,executions,40,-40,-40,-40,
dragon,14,96,48,3,7,7,2,nuke,-40,-40,-40,-40,
ghost,15,4,0,1,1,1,1,capture,240,240,240,240,
