0,special,CAMOS/CATEGORY_SPECIAL,
1,spray,CAMOS/CATEGORY_SPRAY_PAINT,
2,woodland,CAMOS/CATEGORY_WOODLAND,
3,digital,CAMOS/CATEGORY_DIGITAL,
4,urban,CAMOS/CATEGORY_URBAN,
5,dazzle,CAMOS/CATEGORY_DAZZLE,
6,kryptek,CAMOS/CATEGORY_KRYPTEK,
7,tiger,CAMOS/CATEGORY_TIGER,
8,stripes,CAMOS/CATEGORY_STRIPES,
9,reptile,CAMOS/CATEGORY_REPTILE,
10,skulls,CAMOS/CATEGORY_SKULLS,
11,completion,CAMOS/CATEGORY_COMPLETION,
12,T9tier1,CAMOS_TANGO/CATEGORY_T9TIER1,
13,T9tier2,CAMOS_TANGO/CATEGORY_T9TIER2,
14,T9tier3,CAMOS_TANGO/CATEGORY_T9TIER3,
15,T9tier4,CAMOS_TANGO/CATEGORY_T9TIER4,
16,T9tier5,CAMOS_TANGO/CATEGORY_T9TIER5,
17,T9tier6,CAMOS_TANGO/CATEGORY_T9TIER6,
18,T9tier7,CAMOS_TANGO/CATEGORY_T9TIER7,
19,T9mastery,CAMOS_TANGO/CATEGORY_MASTERY,
