800,recruit,recruit,recruit,recruit,recruit,recruit,recruit,recruit,recruit,recruit,
900,recruit,recruit,recruit,recruit,recruit,regular,recruit,recruit,recruit,recruit,
1000,recruit,recruit,recruit,recruit,regular,regular,recruit,recruit,recruit,recruit,
1100,recruit,recruit,recruit,regular,regular,regular,recruit,recruit,recruit,regular,
1200,recruit,recruit,regular,regular,regular,regular,recruit,recruit,regular,regular,
1300,recruit,regular,regular,regular,regular,regular,recruit,regular,regular,regular,
1500,regular,regular,regular,regular,regular,regular,regular,regular,regular,regular,
1700,regular,regular,regular,regular,regular,hardened,regular,regular,regular,regular,
1750,regular,regular,regular,regular,hardened,hardened,regular,regular,regular,regular,
1800,regular,regular,regular,hardened,hardened,hardened,regular,regular,regular,hardened,
1850,regular,regular,hardened,hardened,hardened,hardened,regular,regular,hardened,hardened,
1900,regular,hardened,hardened,hardened,hardened,hardened,regular,hardened,hardened,hardened,
1950,hardened,hardened,hardened,hardened,hardened,hardened,hardened,hardened,hardened,hardened,
2000,hardened,hardened,hardened,hardened,hardened,veteran,hardened,hardened,hardened,hardened,
2050,hardened,hardened,hardened,hardened,veteran,veteran,hardened,hardened,hardened,hardened,
2100,hardened,hardened,hardened,veteran,veteran,veteran,hardened,hardened,hardened,veteran,
2200,hardened,hardened,veteran,veteran,veteran,veteran,hardened,hardened,veteran,veteran,
2300,hardened,veteran,veteran,veteran,veteran,veteran,hardened,veteran,veteran,veteran,
2400,veteran,veteran,veteran,veteran,veteran,veteran,veteran,veteran,veteran,veteran,
