loadoutName,AK47,AK47,AK-Modern conversion,AK-LMG conversion,AK-SMG conversion,SCAR,SCAR,SCAR - CQB,SCAR - DMR,M4,M4,M4 - SMG conversion,M4 - Socom conversion,Famas,Famas,Famas - GL,Famas - Range,MCX,MCX,MCX - CQB,MCX - Range,MCX - Honey conversion,FAL,FAL,FAL - Accurate,FAL - CQB,FAL - Burst,ASH12,ASH12 - Burst,ASH12 - CQB,ASH12 - VKS conversion,Kilo433,Kilo433,Kilo433 - CQB,Kilo433 - Range,Tango21,Tango21,Tango21 - SMG conversion,Tango21 - Range,Sierra552,Sierra552,Sierra552,Sierra552,GALIMA,GALIMA,GALIMA,GALIMA,A94-GL,A94-Base,A94-Mid,A94-Long,A94-SMG conversion,VALPHA,VALPHA-Base,VALPHA-Mid,VALPHA-Long,VALPHA-SMG conversion,P90,P90,P90 - Range,P90 - CQB,MP5 - 10mm conversion,MP5,MP5 - CQB,MP5 - Integrated supp,PP19,PP19,PP19 - Ranged,PP19 - CQB,Aug,Aug - HBAR conversion,Aug - CQB,Aug - AR conversion,MP7,MP7,MP7 - Ranged,MP7 - CQB,Uzi,Uzi,Uzi - Range,Uzi - CQB,SMGOLF45,SMGOLF45,SMGOLF45,SMGOLF45,SMVICTOR,SMVICTOR,SMVICTOR,SMVICTOR,SMCHARLIE9,SMCHARLIE9,SMCHARLIE9,SMCHARLIE9,Glock,Glock,Glock,Glock,Glock,M1911,M1911,M1911,M1911,M1911,Colt,Colt,Colt - CQB,Colt - Range,Colt - Range,DE,DE,DE,DE - Range,DE,P320,P320,P320,P320,P320,M9,M9,M9,M9,M9,Citori,Citori,Citori,Citori,R870,R870,R870,R870,DP12,DP12,DP12,DP12,Origin12,Origin12,Origin12,Origin12,Mike26,Mike26,Mike26,Mike26,AALPHA12,AALPHA12,AALPHA12,AALPHA12,M14,M14,M14,M14,Marlin,Marlin,Marlin,Marlin,Crossbow,Crossbow,Crossbow,Crossbow,Kar98,Kar98,Kar98,Kar98,SKSierra,SKSierra,SKSierra,SKSierra,R700,R700-cqb,R700-hybrid,R700-sniper,R700-sniper,AX-50,AX-50,AX-50,AX-50,Dragunov,Dragunov,Dragunov,Dragunov,HDR,HDR,HDR,HDR,XMike109,XMike109,XMike109,XMike109,HK121,HK121,HK121,HK121,PKM,PKM,PKM,PKM,L86,L86,L86,L86,MG34,MG34,MG34,MG34,MG36,MG36,MG36 - AR CQB,MG36,MG36 - AR mid,MKILO3,MKILO3,MKILO3,MKILO3,SIERRAX,SIERRAX,SIERRAX,SIERRAX - adverse,SIERRAX -  adverse,SIERRAX - saw,SIERRAX - saw CQB,
loadoutPrimaryAddBlueprintAttachments,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
loadoutPrimary,iw8_ar_akilo47,iw8_ar_akilo47,iw8_ar_akilo47,iw8_ar_akilo47,iw8_ar_akilo47,iw8_ar_scharlie,iw8_ar_scharlie,iw8_ar_scharlie,iw8_ar_scharlie,iw8_ar_mike4,iw8_ar_mike4,iw8_ar_mike4,iw8_ar_mike4,iw8_ar_falpha,iw8_ar_falpha,iw8_ar_falpha,iw8_ar_falpha,iw8_ar_mcharlie,iw8_ar_mcharlie,iw8_ar_mcharlie,iw8_ar_mcharlie,iw8_ar_mcharlie,iw8_ar_falima,iw8_ar_falima,iw8_ar_falima,iw8_ar_falima,iw8_ar_falima,iw8_ar_asierra12,iw8_ar_asierra12,iw8_ar_asierra12,iw8_ar_asierra12,iw8_ar_kilo433,iw8_ar_kilo433,iw8_ar_kilo433,iw8_ar_kilo433,iw8_ar_tango21,iw8_ar_tango21,iw8_ar_tango21,iw8_ar_tango21,iw8_ar_sierra552,iw8_ar_sierra552,iw8_ar_sierra552,iw8_ar_sierra552,iw8_ar_galima,iw8_ar_galima,iw8_ar_galima,iw8_ar_galima,iw8_ar_anovember94,iw8_ar_anovember94,iw8_ar_anovember94,iw8_ar_anovember94,iw8_ar_anovember94,iw8_ar_valpha,iw8_ar_valpha,iw8_ar_valpha,iw8_ar_valpha,iw8_ar_valpha,iw8_sm_papa90,iw8_sm_papa90,iw8_sm_papa90,iw8_sm_papa90,iw8_sm_mpapa5,iw8_sm_mpapa5,iw8_sm_mpapa5,iw8_sm_mpapa5,iw8_sm_beta,iw8_sm_beta,iw8_sm_beta,iw8_sm_beta,iw8_sm_augolf,iw8_sm_augolf,iw8_sm_augolf,iw8_sm_augolf,iw8_sm_mpapa7,iw8_sm_mpapa7,iw8_sm_mpapa7,iw8_sm_mpapa7,iw8_sm_uzulu,iw8_sm_uzulu,iw8_sm_uzulu,iw8_sm_uzulu,iw8_sm_smgolf45,iw8_sm_smgolf45,iw8_sm_smgolf45,iw8_sm_smgolf45,iw8_sm_victor,iw8_sm_victor,iw8_sm_victor,iw8_sm_victor,iw8_sm_charlie9,iw8_sm_charlie9,iw8_sm_charlie9,iw8_sm_charlie9,iw8_pi_golf21,iw8_pi_golf21,iw8_pi_golf21,iw8_pi_golf21,iw8_pi_golf21,iw8_pi_mike1911,iw8_pi_mike1911,iw8_pi_mike1911,iw8_pi_mike1911,iw8_pi_mike1911,iw8_pi_cpapa,iw8_pi_cpapa,iw8_pi_cpapa,iw8_pi_cpapa,iw8_pi_cpapa,iw8_pi_decho,iw8_pi_decho,iw8_pi_decho,iw8_pi_decho,iw8_pi_decho,iw8_pi_papa320,iw8_pi_papa320,iw8_pi_papa320,iw8_pi_papa320,iw8_pi_papa320,iw8_pi_mike9,iw8_pi_mike9,iw8_pi_mike9,iw8_pi_mike9,iw8_pi_mike9,iw8_sh_charlie725,iw8_sh_charlie725,iw8_sh_charlie725,iw8_sh_charlie725,iw8_sh_romeo870,iw8_sh_romeo870,iw8_sh_romeo870,iw8_sh_romeo870,iw8_sh_dpapa12,iw8_sh_dpapa12,iw8_sh_dpapa12,iw8_sh_dpapa12,iw8_sh_oscar12,iw8_sh_oscar12,iw8_sh_oscar12,iw8_sh_oscar12,iw8_sh_mike26,iw8_sh_mike26,iw8_sh_mike26,iw8_sh_mike26,iw8_sh_aalpha12,iw8_sh_aalpha12,iw8_sh_aalpha12,iw8_sh_aalpha12,iw8_sn_mike14,iw8_sn_mike14,iw8_sn_mike14,iw8_sn_mike14,iw8_sn_sbeta,iw8_sn_sbeta,iw8_sn_sbeta,iw8_sn_sbeta,iw8_sn_crossbow,iw8_sn_crossbow,iw8_sn_crossbow,iw8_sn_crossbow,iw8_sn_kilo98,iw8_sn_kilo98,iw8_sn_kilo98,iw8_sn_kilo98,iw8_sn_sksierra,iw8_sn_sksierra,iw8_sn_sksierra,iw8_sn_sksierra,iw8_sn_romeo700,iw8_sn_romeo700,iw8_sn_romeo700,iw8_sn_romeo700,iw8_sn_romeo700,iw8_sn_alpha50,iw8_sn_alpha50,iw8_sn_alpha50,iw8_sn_alpha50,iw8_sn_delta,iw8_sn_delta,iw8_sn_delta,iw8_sn_delta,iw8_sn_hdromeo,iw8_sn_hdromeo,iw8_sn_hdromeo,iw8_sn_hdromeo,iw8_sn_xmike109,iw8_sn_xmike109,iw8_sn_xmike109,iw8_sn_xmike109,iw8_lm_kilo121,iw8_lm_kilo121,iw8_lm_kilo121,iw8_lm_kilo121,iw8_lm_pkilo,iw8_lm_pkilo,iw8_lm_pkilo,iw8_lm_pkilo,iw8_lm_lima86,iw8_lm_lima86,iw8_lm_lima86,iw8_lm_lima86,iw8_lm_mgolf34,iw8_lm_mgolf34,iw8_lm_mgolf34,iw8_lm_mgolf34,iw8_lm_mgolf36,iw8_lm_mgolf36,iw8_lm_mgolf36,iw8_lm_mgolf36,iw8_lm_mgolf36,iw8_lm_mkilo3,iw8_lm_mkilo3,iw8_lm_mkilo3,iw8_lm_mkilo3,iw8_lm_sierrax,iw8_lm_sierrax,iw8_lm_sierrax,iw8_lm_sierrax,iw8_lm_sierrax,iw8_lm_sierrax,iw8_lm_sierrax,
loadoutPrimaryAttachment1,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,reflex2,laser,xmags,holo,reflex4,none,reflex3,reflexmini2,laserbalanced,holo3,none,reflex3,acog2,laser,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,reflex,none,holo2,hybrid2,reflex,none,holo,reflexmini,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,reflex2,reflexmini,drums,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,barshort,hybrid2,scope,scope,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,holo3,reflex2,barshortnoguard,reflexmini3,barlong,barshortnoguard,
loadoutPrimaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,barshort,brake,gl,none,gripvertpro,barlong,barshort,xmags,none,gripvertpro,barcust,barshort,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,barlong,stockh,xmags,none,brake,laser,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,laserbalanced,barlong,laser,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,laserbalanced,barmid,barmid,barlong,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,barmid,gripang,comp,gripvertpro,stockcust,stockcust,
loadoutPrimaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,pistolgrip03,gripang,none,none,stockl,gripang,stockno,stockcust,none,stocks,gripvertpro,gripvert,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,gripvert,smags,none,none,gripvert,gripang,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,barcust,choke,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,boltl,stockh,boltl,bolthvy,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,fastreload,barlong,gripvert,barcust2,laserbalanced,fastreload,
loadoutPrimaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,barlong,none,none,barcust,xmagslrg,pistolgrip03,none,none,barmid,smags,pistolgrip02,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,barsil,none,none,barlong,stockno,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,calcust,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,stockfold,boltl,stockfold,stockcust,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,laserbalanced,calcust,fastreload,fastreload,calcust,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,pistolgrip02,stockh,xmags,none,none,pistolgrip03,stockcust,xmags,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,xmags,drums,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,gripcust,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,calcust2,calcust2,calcust2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,stockl,fastreload,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryVariantID,1 2 4 5 6 7 8 9 10 11 12 13 15 16,1 2 4 5 6 7 8 9 10 11 12 13 15 16,1 2 4 5 6 7 8 9 10 11 12 13 15 16,1 2 4 5 6 7 8 9 10 11 12 13 15 16,1 2 4 5 6 7 8 9 10 11 12 13 15 16,2 4 5 6 7 8 9 10 11 12 14,2 4 5 6 7 8 9 10 11 12 14,2 4 5 6 7 8 9 10 11 12 14,2 4 5 6 7 8 9 10 11 12 14,1 2 4 7 8 9 10 11 12 13 14 15 16 18,1 2 4 7 8 9 10 11 12 13 14 15 16 18,1 2 4 7 8 9 10 11 12 13 14 15 16 18,1 2 4 7 8 9 10 11 12 13 14 15 16 18,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10 11 13,1 2 3 4 5 6 7 8 9 10 11 13,1 2 3 4 5 6 7 8 9 10 11 13,1 2 3 4 5 6 7 8 9 10 11 13,1 2 3 4 5 6 7 8 9 10 11 13,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 6 7 8 9 10 11 14,1 2 3 4 6 7 8 9 10 11 14,1 2 3 4 6 7 8 9 10 11 14,1 2 3 4 6 7 8 9 10 11 14,2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19,2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19,2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19,2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19,2 3 4 5 6 7,2 3 4 5 6 7,2 3 4 5 6 7,2 3 4 5 6 7,2 3 4,2 3 4,2 3 4,2 3 4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 2 3 4 5 6 7 8 9 10 11 12 15,1 2 3 4 5 6 7 8 9 10 11 12 15,1 2 3 4 5 6 7 8 9 10 11 12 15,1 2 3 4 5 6 7 8 9 10 11 12 15,1 2 4 5 6 7 8 9 11 12 13 15,1 2 4 5 6 7 8 9 11 12 13 15,1 2 4 5 6 7 8 9 11 12 13 15,1 2 4 5 6 7 8 9 11 12 13 15,1 2 3 4 5 7 8 9 10 11,1 2 3 4 5 7 8 9 10 11,1 2 3 4 5 7 8 9 10 11,1 2 3 4 5 7 8 9 10 11,1 2 3 4 5 6 7 8 9 10 11 13 15,1 2 3 4 5 6 7 8 9 10 11 13 15,1 2 3 4 5 6 7 8 9 10 11 13 15,1 2 3 4 5 6 7 8 9 10 11 13 15,2 3 4 5 7 8 9 10,2 3 4 5 7 8 9 10,2 3 4 5 7 8 9 10,2 3 4 5 7 8 9 10,1 3 5 6 7 8 9 10 11 12 13,1 3 5 6 7 8 9 10 11 12 13,1 3 5 6 7 8 9 10 11 12 13,1 3 5 6 7 8 9 10 11 12 13,1 2 3 4,1 2 3 4,1 2 3 4,1 2 3 4,1,1,1,1,3,3,3,3,2 4 6 7 8 9 10 11 12 13 15 16,2 4 6 7 8 9 10 11 12 13 15 16,2 4 6 7 8 9 10 11 12 13 15 16,2 4 6 7 8 9 10 11 12 13 15 16,2 4 6 7 8 9 10 11 12 13 15 16,2 3 5 6 7 8 9 10 11 12 13 14 15 16,2 3 5 6 7 8 9 10 11 12 13 14 15 16,2 3 5 6 7 8 9 10 11 12 13 14 15 16,2 3 5 6 7 8 9 10 11 12 13 14 15 16,2 3 5 6 7 8 9 10 11 12 13 14 15 16,1 3 4 6 7 8 9 10 11 12 13,1 3 4 6 7 8 9 10 11 12 13,1 3 4 6 7 8 9 10 11 12 13,1 3 4 6 7 8 9 10 11 12 13,1 3 4 6 7 8 9 10 11 12 13,1 3 4 5 7 8 10 11 12 13 14 15 16,1 3 4 5 7 8 10 11 12 13 14 15 16,1 3 4 5 7 8 10 11 12 13 14 15 16,1 3 4 5 7 8 10 11 12 13 14 15 16,1 3 4 5 7 8 10 11 12 13 14 15 16,1 2 3 4 5 6 7 8 9 10 11 14,1 2 3 4 5 6 7 8 9 10 11 14,1 2 3 4 5 6 7 8 9 10 11 14,1 2 3 4 5 6 7 8 9 10 11 14,1 2 3 4 5 6 7 8 9 10 11 14,1 2,1 2,1 2,1 2,1 2,2 3 4 6 7 8 9 11 12 15,2 3 4 6 7 8 9 11 12 15,2 3 4 6 7 8 9 11 12 15,2 3 4 6 7 8 9 11 12 15,1 2 6 7 8 9 10 11 12 15 16 17,1 2 6 7 8 9 10 11 12 15 16 17,1 2 6 7 8 9 10 11 12 15 16 17,1 2 6 7 8 9 10 11 12 15 16 17,1 2 4 5 6 7 8 9 10 11,1 2 4 5 6 7 8 9 10 11,1 2 4 5 6 7 8 9 10 11,1 2 4 5 6 7 8 9 10 11,1 2 3 5 6 7 8 9 10,1 2 3 5 6 7 8 9 10,1 2 3 5 6 7 8 9 10,1 2 3 5 6 7 8 9 10,1 2 3,1 2 3,1 2 3,1 2 3,1,1,1,1,1 2 3 4 5 6 7 8 9 10 13 14,1 2 3 4 5 6 7 8 9 10 13 14,1 2 3 4 5 6 7 8 9 10 13 14,1 2 3 4 5 6 7 8 9 10 13 14,2 3 4 5 6 7 8 10 11 12 13,2 3 4 5 6 7 8 10 11 12 13,2 3 4 5 6 7 8 10 11 12 13,2 3 4 5 6 7 8 10 11 12 13,2 4,2 4,2 4,2 4,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1,1,1,1,1,1,1,1,1,1 3 4 5 6 7 8 9 10 11,1 3 4 5 6 7 8 9 10 11,1 3 4 5 6 7 8 9 10 11,1 3 4 5 6 7 8 9 10 11,2 3 4 5 6 7 8 9,2 3 4 5 6 7 8 9,2 3 4 5 6 7 8 9,2 3 4 5 6 7 8 9,1 3 5 6 7 8 9 10,1 3 5 6 7 8 9 10,1 3 5 6 7 8 9 10,1 3 5 6 7 8 9 10,1,1,1,1,1 2 5 6 8 9 10,1 2 5 6 8 9 10,1 2 5 6 8 9 10,1 2 5 6 8 9 10,2 3 4 5 6 7 9 10 12 14,2 3 4 5 6 7 9 10 12 14,2 3 4 5 6 7 9 10 12 14,2 3 4 5 6 7 9 10 12 14,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,1 2 3 5 6 7 8 9,1 2 3 5 6 7 8 9,1 2 3 5 6 7 8 9,1 2 3 5 6 7 8 9,1 2 3 4 5 6,1 2 3 4 5 6,1 2 3 4 5 6,1 2 3 4 5 6,1 2 3 4 5 6,1,1,1,1,1,1,1,1,1,1,1,
