inherit,mp/loot_set_cache_contents_dmz_ground_tablets.csv,,,,,,,,
req,,weapon,1,,,3,,# 1 weapon of type epic,
req,,plunder,1,,,3,,# 1 plunder,
req,,,1,,,2,,# 1 item of any type rare +,
req,,,1,,,4,,# 1 item of any type legendary,
chance,killstreak,100,,,,,,,
chance,weapon,125,,,,,,,
chance,token,0,,,,,,,
chance,revive,80,,,,,,,
chance,plunder,1,,,,,,,
chance,tablet,0,,,,,,,
chance,gear,0,,,,,,,
chance,super,100,,,,,,,
chance,keycard,100,,,,,,,
item,brloot_plunder_cash_uncommon_1,0,#uncommon,,,,,,
item,brloot_plunder_cash_uncommon_2,0,#uncommon,,,,,,
item,brloot_plunder_cash_uncommon_3,0,#uncommon,,,,,,
item,brloot_plunder_cash_rare_1,10,#rare,,,,,,
item,brloot_plunder_cash_rare_2,10,#rare,,,,,,
item,brloot_plunder_cash_epic_1,20,#epic,,,,,,
item,brloot_plunder_cash_epic_2,30,#epic,,,,,,
item,brloot_plunder_cash_legendary_1,20,#legendary,,,,,,
item,brloot_assassination_tablet,35,,#tablets,,,,,
item,brloot_domination_tablet,30,,#tablets,,,,,
item,brloot_scavenger_tablet,35,,#tablets,,,,,
item,brloot_vip_tablet,0,,#tablets,,,,,
item,brloot_access_card_blue,0,,#keycards,,,,,
item,brloot_access_card_green,0,,#keycards,,,,,
item,brloot_access_card_red,1,,#keycards,,,,,
