Event,Default Value,war,dom,cmd,esc,hq,
kill,20,,,,0,,
assist,10,,,,0,,
medal_mode_dom_secure_b_score,40,,,,0,,
medal_mode_dom_secure_neutral_score,20,,,,0,,
medal_mode_dom_secure_score,20,,,,0,,
medal_mode_arm_secure_mid_score,40,,,,0,,
medal_mode_arm_secure_outer_mid_score,20,,,,0,,
medal_mode_arm_secure_outer_score,20,,,,0,,
medal_mode_sd_defuse_score,20,,,,0,,
medal_mode_x_assault_score,10,,,,0,,
medal_mode_x_defend_score,10,,,,0,,
kill_confirmed,5,,,,0,,
kill_denied,5,,,,0,,
medal_mode_kc_own_tags_score,5,,,,0,,
plant,20,,,,0,,
reviver,10,,,,0,,
medal_mode_hp_secure_score,20,,,,0,40,
medal_mode_hp_quick_cap_score,5,,,,0,,
tag_collected,5,,,,0,,
mega_bank,25,,,,0,,
tag_score,5,,,,0,,
medal_mode_ctf_cap_score,40,,,,0,,
flag_return,20,,,,0,,
flag_grab,20,,,,0,,
cop_in_obj,6,,,,0,,
time,0.08,,,,0,,
