inherit,mp/loot_set_cache_contents_dmz_ground_tablets.csv,,,,,,,,
req,,weapon,1,,,3,,# 1 weapon epic+,
req,,ammo,1,,,0,,# 1 Ammo,
req,,health,2,,,0,,# 2 Armor Plates,
req,,plunder,1,,,,,# 1 plunder,
item,brloot_plunder_cash_uncommon_1,0,#uncommon,,,,,,
item,brloot_plunder_cash_uncommon_2,0,#uncommon,,,,,,
item,brloot_plunder_cash_uncommon_3,25,#uncommon,,,,,,
item,brloot_plunder_cash_rare_1,50,#rare,,,,,,
item,brloot_plunder_cash_rare_2,25,#rare,,,,,,
item,brloot_plunder_cash_epic_1,0,#epic,,,,,,
item,brloot_plunder_cash_epic_2,0,#epic,,,,,,
item,brloot_plunder_cash_legendary_1,0,#legendary,,,,,,
