inherit,mp/loot_set_cache_contents_base_classic.csv,,,,,,,,
req,,weapon,1,,,3,,# 1 weapon of type epic,
req,,ammo,1,,,,,# 1 ammo,
req,,,1,,,4,,# 1 item of any type legendary,
req,,,1,,,,,# 1 item of any type,
item,brloot_super_stoppingpower,22,#legendary,,,,,,
item,brloot_super_munitionsbox,22,#legendary,,,,,,
item,brloot_super_armorbox,22,#legendary,,,,,,
item,brloot_weapon_p320_unco,0,#uncommon,,,,,,
item,brloot_weapon_p320_rare,0,#rare,,,,,,
item,brloot_weapon_pi_mike9_epic,0,#epic,,,,,,
item,brloot_weapon_pi_mike9_lege,0,#legendary,,,,,,
item,brloot_weapon_deagle_unco,0,#uncommon,,,,,,
item,brloot_weapon_deagle_rare,0,#rare,,,,,,
item,brloot_weapon_rpg7_unco,0,#uncommon,,,,,,
item,brloot_weapon_carlg_epic,0,#epic,,,,,,
