egg,1,10,-1,0,349,SPLASHES/CHALLENGE_EGG,0,0,
baby,2,10,16,1,350,SPLASHES/CHALLENGE_BABY,100,1,
child,3,10,17,1,351,SPLASHES/CHALLENGE_CHILD,100,2,
teen_a,4,10,18,1,352,SPLASHES/CHALLENGE_TEENA,100,3,
teen_b,5,10,19,1,353,SPLASHES/CHALLENGE_TEENB,100,4,
skunk,6,8,20,2,340,SPLASHES/CHALLENGE_SKUNK,100,5,
bear,7,6,21,2,341,SPLASHES/CHALLENGE_BEAR,100,1,
mantis,8,6,22,2,342,SPLASHES/CHALLENGE_MANTIS,100,2,
trex,9,5,23,2,343,SPLASHES/CHALLENGE_TREX,100,3,
octopus,10,4,24,2,344,SPLASHES/CHALLENGE_OCTOPUS,100,4,
fox,11,3,25,2,345,SPLASHES/CHALLENGE_FOX,100,5,
secret1,12,2,26,3,346,SPLASHES/CHALLENGE_SECRET1,200,1,
secret2,13,2,27,3,347,SPLASHES/CHALLENGE_SECRET2,200,2,
secret3,14,1,28,3,348,SPLASHES/CHALLENGE_SECRETFINAL,200,3,
ghost,15,0,0,0,0,,0,0,
baby_2,16,0,0,0,0,,200,1,
child_2,17,0,0,0,0,,200,2,
teen_a_2,18,0,0,0,0,,200,3,
teen_b_2,19,0,0,0,0,,200,4,
skunk_2,20,0,0,0,0,,200,5,
bear_2,21,0,0,0,0,,200,1,
mantis_2,22,0,0,0,0,,200,2,
trex_2,23,0,0,0,0,,200,3,
octopus_2,24,0,0,0,0,,200,4,
fox_2,25,0,0,0,0,,200,5,
secret1_2,26,0,0,0,0,,400,1,
secret2_2,27,0,0,0,0,,400,2,
secret3_2,28,0,0,0,0,,400,3,
