test,1,,
kill,100,,
kill_rate_bonus,25,x,
headshot,10,x,
longshot,-1,x,
very_longshot,-5,x,
pointblank,15,x,
pointblank_sniper,35,x,
backstab,10,x,
assistedsuicide,40,x,
quickscope,50,x,
low_health_kill,10,x,
weapon_change_kill,15,x,
weapon_pickup_kill,20,x,
reload_kill,10,x,
item_impact,30,x,
launcher_impact,50,x,
mounted,10,x,
killed_defuser,75,x,
last_bullet_kill,5,x,
secondary_weapon,5,x,
final_kill,-100,x,
missile_splash_kill,20,x,
airborne_ads_kill,50,x,
airborne_ads_sniper_kill,100,x,
victim_on_fire,30,x,
kill_while_on_fire,20,x,
throwing_knife,60,x,
long_throwing_knife,100,x,
long_grenade_throw,10,x,
round_start_throwing_knife,1200,x,
round_start_grenade,0,x,
victim_airborne,15,x,
victim_airborne_sniper,25,x,
victim_sprinting_sniper,15,x,
no_shots_fired_kill,20,x,
fall_to_death_kill,200,x,
outnumbered,20,x,
kill_teabagger,150,x,
accuracy_very_bad,0,x,
accuracy_bad,0,x,
accuracy_good,15,x,
collateral,50,x,
triple_collateral,100,x,
multi_collateral,100,x,
shotgun_collateral,100,x,
shotgun_multi_collateral,300,x,
triple_kill,30,x,
quad_feed,30,,
witness_predator_impact,70,,
witness_vehicle_explode,50,,
witness_missile_whizby,1,,
vehicle_destroyed,100,,
hit_by_explosive,15,x,
defuse,150,,
ninja_defuse,1200,,
last_alive_defuse,250,,
revived_ally,50,x,
closed_door_after_kill,15,,
open_door_before_kill,20,x,
teabag,40,,
recent_tactical,9,,
recent_lethal,9,,
recent_crouch,5,,
recent_jump,4,,
recent_prone,6,,
recent_slide,9,,
recent_mantle,9,,
