1000,ch_op_sniper_headshot,operator,wyatt_western,,,,,,20,500,
1001,ch_op_molotov,operator,wyatt_western,,,,,,10,500,
1002,ch_op_1911,operator,wyatt_western,,,,,,40,500,
1003,ch_op_dom_kills,operator,spetsnaz_eastern,,,,,,60,500,
1004,ch_op_3streak,operator,spetsnaz_eastern,,,,,,2,500,
1005,ch_op_3rapid,operator,spetsnaz_eastern,,,,,,3,500,
1006,ch_op_assists,operator,murphy_western,,,,,,50,500,
1007,ch_op_revive,operator,murphy_western,,,,,,10,500,
1008,ch_op_pistol_only,operator,murphy_western,,,,,,20,500,
1009,ch_op_knife,operator,dday_western,,,,,,10,500,
1010,ch_op_stealth_perk,operator,dday_western,,,,,,2,500,
1011,ch_op_prone_kills,operator,dday_western,,,,,,15,500,
1012,ch_op_mine_kills,operator,charly_western,,,,,,10,500,
1013,ch_op_solo_kills,operator,charly_western,,,,,,20,500,
1014,ch_op_payback,operator,charly_western,,,,,,15,500,
