0,none,PERKS/NONE,PERKS/NONE,specialty_ks_null,specialty_ks_null,,,0,0,1,0,none,none,none,,,,
1,power_mobileRadar,PERKS/POWER_MOBILERADAR,PERKS/POWER_MOBILERADAR_DESC,weapon_motionsensor,weapon_motionsensor_360,weapon,mobile_radar_mp,30,1,1,0,none,none,none,charges,0,,
2,power_sensorGrenade,PERKS/POWER_SENSORGRENADE,PERKS/POWER_SENSORGRENADE_DESC,weapon_concsensor_sm,weapon_concsensor_360,weapon,sensor_grenade_mp,10,1,1,0,none,none,none,charges,0,,
3,power_bioSpike,PERKS/POWER_BIOSPIKE,PERKS/POWER_BIOSPIKE_DESC,equipment_icon_slot_biospike,equipment_icon_showcase_biospike,weapon,throwingknifec4_mp,60,1,1,0,archetype_assault,run_and_gun|cqb,regular|hardened|veteran,charges,0,,
4,power_blinkKnife,PERKS/POWER_BLINKKNIFE,PERKS/POWER_BLINKKNIFE_DESC,equipment_icon_slot_blinkknife,equipment_icon_showcase_blinkknife,weapon,throwingknifeteleport_mp,60,1,1,0,archetype_assassin,cqb|camper,regular|hardened|veteran,charges,0,,
5,power_clusterGrenade,PERKS/POWER_CLUSTERGRENADE,PERKS/POWER_CLUSTERGRENADE_DESC,equipment_icon_slot_clustergrenade,equipment_icon_showcase_clustergrenade,weapon,cluster_grenade_mp,45,1,1,0,archetype_heavy,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,charges,0,,
6,power_siegeMode,PERKS/POWER_SIEGEMODE,PERKS/POWER_SIEGEMODE_DESC,power_siegemode_sm,power_siegemode_lrg,weapon,<power_script_generic_weapon>,45,1,1,0,archetype_heavy,run_and_gun|cqb|camper,recruit|regular|hardened|veteran,drain,0,,
7,power_proxyBomb,PERKS/POWER_PROXYBOMB,PERKS/POWER_PROXYBOMB_DESC,weapon_canisterbomb,weapon_canisterbomb_360,weapon,proxy_bomb_mp,4,1,1,0,archetype_demolitions,run_and_gun|cqb,regular|hardened|veteran,charges,0,,
8,power_bouncingBetty,PERKS/POWER_BOUNCINGBETTY,PERKS/POWER_BOUNCINGBETTY_DESC,weapon_bouncing_betty,weapon_bouncing_betty_large,weapon,bouncing_betty_mp,45,1,1,0,archetype_demolitions,run_and_gun|cqb,regular|hardened|veteran,charges,0,,
9,power_smokeGrenade,PERKS/POWER_SMOKEGRENADE,PERKS/POWER_SMOKEGRENADE_DESC,hud_icon_equipment_smoke,icon_equipment_slot_smoke,weapon,smoke_grenade_mp,45,1,1,0,archetype_assault,run_and_gun|cqb,recruit|regular|hardened|veteran,charges,0,,
10,power_blackoutGrenade,PERKS/POWER_BLACKOUTGRENADE,PERKS/POWER_BLACKOUTGRENADE_DESC,equipment_icon_slot_blackoutgrenade,equipment_icon_showcase_blackoutgrenade,weapon,blackout_grenade_mp,30,1,1,0,archetype_medic,run_and_gun|cqb,recruit|regular|hardened|veteran,charges,0,MENU/HITS,
11,power_dash,PERKS/POWER_DASH,PERKS/POWER_DASH_DESC,power_dash_sm,power_dash_lrg,weapon,<power_script_generic_weapon>,5,1,1,0,archetype_heavy,run_and_gun|cqb,recruit|regular|hardened|veteran,charges,0,,
