1,accuracy,stat_simple,LUA_MENU/ACCURACY_PERCENT,
2,enemy_targets_hit_ratio,stat_over_objective_total,LUA_MENU/TARGETS_KILLED_RATIO,
3,civilian_targets_hit,stat_simple,LUA_MENU/CIVILIANS_KILLED_COUNT,
4,wave_1_time,time,LUA_MENU/WAVE_1_TIME,
5,wave_2_time,time,LUA_MENU/WAVE_2_TIME,
6,wave_3_time,time,LUA_MENU/WAVE_3_TIME,
7,wave_4_time,time,LUA_MENU/WAVE_4_TIME,
8,wave_5_time,time,LUA_MENU/WAVE_5_TIME,
9,wave_1_time_remaining,time,LUA_MENU/WAVE_1_TIME_REMAINING,
10,wave_2_time_remaining,time,LUA_MENU/WAVE_2_TIME_REMAINING,
11,wave_3_time_remaining,time,LUA_MENU/WAVE_3_TIME_REMAINING,
12,wave_4_time_remaining,time,LUA_MENU/WAVE_4_TIME_REMAINING,
13,wave_5_time_remaining,time,LUA_MENU/WAVE_5_TIME_REMAINING,
14,targets_killed_no_ratio,stat_simple,LUA_MENU/TARGETS_KILLED,
15,highest_combo,stat_simple,LUA_MENU/HIGHEST_COMBO,
16,stat_nuked,stat_simple,LUA_MENU/STAT_NUKED,
17,enemies_killed,stat_over_objective_total,LUA_MENU/ENEMIES_KILLED,
18,targets_hit,stat_over_objective_total,LUA_MENU/TARGETS_HIT,
19,enemies_killed_no_ratio,stat_simple,LUA_MENU/ENEMIES_KILLED_NO_RATIO,
20,floor_time,time,LUA_MENU/FLOOR_ONLAVA_TIME,
21,special_target_hit,stat_simple,LUA_MENU/SPECIAL_TARGETS,
22,lap_1_time,time,LUA_MENU/LAP_TIME_1,
23,lap_2_time,time,LUA_MENU/LAP_TIME_2,
24,lap_3_time,time,LUA_MENU/LAP_TIME_3,
25,lap_4_time,time,LUA_MENU/LAP_TIME_4,
26,lap_5_time,time,LUA_MENU/LAP_TIME_5,
27,head_shot,stat_simple,LUA_MENU/TRIAL_HEAD_SHOT,
28,dogtag_collected,stat_over_objective_total,LUA_MENU/RACETAGCOLLECTED,
29,all_dogtag_collected,stat_simple,LUA_MENU/ALL_DOGTAG_COLLECTED,
30,time_remaining,time,LUA_MENU/TIME_REMAINING_COUNT,
31,fobs_cleared,stat_simple,LUA_MENU/POINTS_CAPTURED,
32,turrets_destroyed,stat_simple,LUA_MENU/TURRETS_DESTROYED,
