mt_intro,1,1,1,,
mt_motto,1,1,1,select_mt_motto,
mt_info,1,1,1,select_mt_forinfo,
mt_overview,1,1,1,select_mt_overview,
mt_join_up,1,1,10,select_mt_choice,
mt_welcome_back,1,1,5,select_mt_return,
lobby_welcome,1,1,1,lobby_arrival,
countdown_10,1,1,5,lock_10sec,
countdown_5,1,1,5,lock_5sec,
aar_match_complete,1,1,1,aar_postmatch,
aar_played_well,1,1,1,gameend_positive,
aar_played_average,1,1,1,gameend_average,
aar_played_poorly,1,1,1,gameend_negative,
aar_new_stuff,1,1,5,lp_unlocks,
aar_weapon_level_up,1,1,4,weapon_upgrades,
mt_recruting,1,1,10,newteam_unlock,
mission_expand_two_slots,1,1,10,missionslots_two,
mission_expand_three_slots,1,1,10,missionslots_three,
mission_fail,1,1,1,mission_incomplete,
mission_complete,1,1,1,mission_complete,
mission_complete_bronze,1,1,1,mission_bronze,
mission_complete_silver,1,1,1,mission_silver,
mission_complete_gold,1,1,1,mission_gold,
mt_supply_drop,1,1,5,mtlevelup_supplydrop,
mt_level_milestone,1,1,6,mtlevelup_promotion,
mt_level_max,1,1,10,,
armory_new_items,1,1,1,newitems,
cryptokeys_supplydrop,1,1,5,cryptokeys_supplydrop,
new_mission,1,1,2,mission_new,
mission_reroll,1,1,1,mission_reroll,
mission_lock,1,1,1,mission_lock,
lobby_leave,1,1,1,exit_lobby,
voting_complete,1,1,1,loc_lock,
voting_complete_jtf,1,1,1,map_loc_intro,
onboarding_pick_rig,1,1,100,onboard_46,
onboarding_pick_rig_warfighter,1,1,1,onboard_53,
onboarding_pick_rig_heavy,1,1,1,onboard_54,
onboarding_pick_rig_synaptic,1,1,1,onboard_55,
onboarding_pick_loadout,1,3,1,combat_ready,
mt_new_team_unlocked,1,1,200,newteam_unlock,
ba_crank_call_1,1,1,100,newteam_unlock,
ba_crank_call_2,1,1,100,newteam_unlock2,
ba_team_unlocked,1,1,200,newteam_unlock3,
