war,LUA_MENU_MP/WAR,LUA_MENU_MP/WAR_DESC,icon_mp_mode_tdm,1,1,Standard,mp_hackney_am,LUA_MENU/WARGAME_TEAM_DEATHMATCH,OBJECTIVES/WAR_HINT,OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_tdm_hcore,icon_mp_mode_tdm_realism,1,0,1,0,1,60,1,icon_mp_mode_tdm,LUA_MENU_MP/CDL_DOM_NAME,,,,,,,,
cyber,LUA_MENU_MP/CYBER,LUA_MENU_MP/CYBER_DESC,icon_mp_mode_cyber,1,1,Standard,mp_hackney_am,LUA_MENU_WARGAME_CMD,OBJECTIVES/CYBER_HINT,OBJECTIVES/CYBER_HINT,0,1,icon_mp_mode_cyber_hcore,icon_mp_mode_cyber_realism,1,0,1.4,1,2,40,2,icon_mp_mode_cyber,LUA_MENU_MP/CDL_CYBER_NAME,,,,,,,,
dom,LUA_MENU_MP/DOMINATION,LUA_MENU_MP/DOMINATION_DESC,icon_mp_mode_dom,1,1,Standard,mp_hackney_am,LUA_MENU/WARGAME_DOMINATION,OBJECTIVES/DOM_HINT,OBJECTIVES/DOM_HINT,1,1,icon_mp_mode_dom_hcore,icon_mp_mode_dom_realism,1,0,0.7,1,1,60,3,icon_mp_mode_dom_cdl,LUA_MENU_MP/CDL_DOM_NAME,,,,,,,,
sd,LUA_MENU_MP/SD,LUA_MENU_MP/SD_DESC,icon_mp_mode_snd,1,1,Standard,mp_hackney_am,LUA_MENU/WARGAME_SEARCH_AND_DESTROY,OBJECTIVES/SD_ATTACKER_HINT,OBJECTIVES/SD_DEFENDER_HINT,1,1,icon_mp_mode_snd_hcore,icon_mp_mode_snd_realism,1,0,1.4,1,2,30,4,icon_mp_mode_snd_cdl,LUA_MENU_MP/CDL_SD_NAME,,,,,,,,
hq,LUA_MENU_MP/HQ,LUA_MENU_MP/HQ_DESC,icon_mp_mode_hq,1,1,Standard,mp_hackney_am,LUA_MENU/WARGAME_DOMINATION,OBJECTIVES/HQ_HINT,OBJECTIVES/HQ_HINT,0,1,icon_mp_mode_hq_hcore,icon_mp_mode_hq_realism,1,0,0.9,0,1,60,5,icon_mp_mode_hq,LUA_MENU_MP/CDL_HQ_NAME,,,,,,,,
dm,LUA_MENU_MP/DEATHMATCH,LUA_MENU_MP/DEATHMATCH_DESC,icon_mp_mode_ffa,0,1,Standard,mp_hackney_am,LUA_MENU/WARGAME_DEATHMATCH,OBJECTIVES/DM_HINT,OBJECTIVES/DM_HINT,0,0,icon_mp_mode_ffa_hcore,icon_mp_mode_ffa_realism,1,0,0.9,0,1,60,6,icon_mp_mode_ffa,LUA_MENU_MP/CDL_DOM_NAME,,,,,,,,
arena,LUA_MENU_MP/ARENA,LUA_MENU_MP/ARENA_DESC,icon_mp_mode_arena,1,1,Standard,mp_m_king,LUA_MENU/WARGAME_TEAM_DEATHMATCH,OBJECTIVES/WAR_HINT,OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_arena_hcore,icon_mp_mode_arena_realism,1,0,1.5,0,1.5,60,7,icon_mp_mode_arena,LUA_MENU_MP/CDL_DOM_NAME,,,,,,,,
koth,LUA_MENU_MP/HARDPOINT,LUA_MENU_MP/HARDPOINT_DESC,icon_mp_mode_hardpoint,1,1,Standard,mp_hackney_am,LUA_MENU/WARGAME_DOMINATION,OBJECTIVES/KOTH_HINT,OBJECTIVES/KOTH_HINT,1,1,icon_mp_mode_hardpoint_hcore,icon_mp_mode_hardpoint_realism,1,0,0.9,0,1,60,8,icon_mp_mode_hardpoint_cdl,LUA_MENU_MP/CDL_KOTH_NAME,,,,,,,,
ctf,LUA_MENU_MP/CTF,LUA_MENU_MP/CTF_DESC,icon_mp_mode_ctf,1,1,Standard,mp_hackney_am,LUA_MENU/WARGAME_BLITZ,OBJECTIVES/CTF_HINT,OBJECTIVES/CTF_HINT,0,1,icon_mp_mode_ctf_hcore,icon_mp_mode_ctf_realism,1,0,1,0,1,60,9,icon_mp_mode_ctf,LUA_MENU_MP/CDL_CTF_NAME,,,,,,,,
conf,LUA_MENU_MP/CONF,LUA_MENU_MP/CONF_DESC,icon_mp_mode_conf,1,1,Alternate,mp_hackney_am,LUA_MENU/WARGAME_CONF,OBJECTIVES/CONF_HINT,OBJECTIVES/CONF_HINT,0,1,icon_mp_mode_conf_hcore,icon_mp_mode_conf_realism,1,0,0.9,0,1,60,10,icon_mp_mode_conf,LUA_MENU_MP/CDL_DOM_NAME,,,,,,,,
