0,,none,ATTACHMENTS/NO_ATTACHMENT,none,none,hud_ss_lockon_default_diamond,ATTACHMENTS/NO_ATTACHMENT,,,,,,,0,0,0,0,0,0,,,,,,,,,,0,,,
1,,optic,ATTACHMENTS/IRONS,irons,ironsight,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
2,,optic,ATTACHMENTS/IRONS,irons_mike4,ironsight,icon_attachment_ar_mike4_carryhandle,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
3,,optic,ATTACHMENTS/IRONS,irons_cpapa,ironsight,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
4,,optic,ATTACHMENTS/IRONS,irons_decho,ironsight,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
5,,optic,ATTACHMENTS/IRONS,irons_golf21,ironsight,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
6,,optic,ATTACHMENTS/IRONS,irons_mike1911,ironsight,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
7,,optic,ATTACHMENTS/IRONS,irons_mike9,ironsight,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
8,,optic,ATTACHMENTS/IRONS,irons_papa320,ironsight,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
9,,optic,ATTACHMENTS/IRONS,ironsdefault,ironsdefault,icon_attachment_vmh,ATTACHMENTS/DESC_IRONS,PERKS/COMPLETE_THE_MARKSMAN,,,,,,0,0,0,0,0,0,hardened|veteran,,,,,,,,,0,,,
