???#Ref,#Priority,#Name,#Description,#Image,
adsKills,32,MP_ACCOLADES/ADSKILLS,MP_ACCOLADES/ADSKILLS_DESC,icon_commendation_kills_ads,
hipfireKills,31,MP_ACCOLADES/HIPFIREKILLS,MP_ACCOLADES/HIPFIREKILLS_DESC,icon_commendation_kills_hipfire,
lowerRankedKills,33,MP_ACCOLADES/LOWERRANKEDKILLS,MP_ACCOLADES/LOWERRANKEDKILLS_DESC,icon_commendation_kills_lower_ranked,
higherRankedKills,34,MP_ACCOLADES/HIGHERRANKEDKILLS,MP_ACCOLADES/HIGHERRANKEDKILLS_DESC,icon_commendation_kills_higher_ranked,
highestRankedKills,35,MP_ACCOLADES/HIGHESTRANKEDKILLS,MP_ACCOLADES/HIGHESTRANKEDKILLS_DESC,icon_commendation_highest_ranked_kills,
reloads,18,MP_ACCOLADES/RELOADS,MP_ACCOLADES/RELOADS_DESC,icon_commendation_reloads,
weaponPickups,19,MP_ACCOLADES/WEAPONPICKUPS,MP_ACCOLADES/WEAPONPICKUPS_DESC,icon_commendation_pickups_weapon,
shotsFired,28,MP_ACCOLADES/SHOTSFIRED,MP_ACCOLADES/SHOTSFIRED_DESC,icon_commendation_shots_fired,
classChanges,20,MP_ACCOLADES/CLASSCHANGES,MP_ACCOLADES/CLASSCHANGES_DESC,icon_commendation_class_changes,
headshots,150,MP_ACCOLADES/HEADSHOTS,MP_ACCOLADES/HEADSHOTS_DESC,icon_commendation_headshots,
timeWatchingKillcams,15,MP_ACCOLADES/TIMEWATCHINGKILLCAMS,MP_ACCOLADES/TIMEWATCHINGKILLCAMS_DESC,icon_commendation_time_killcams,
skippedKillcams,16,MP_ACCOLADES/SKIPPEDKILLCAMS,MP_ACCOLADES/SKIPPEDKILLCAMS_DESC,icon_commendation_time_killcams,
longestStreak,149,MP_ACCOLADES/LONGESTSTREAK,MP_ACCOLADES/LONGESTSTREAK_DESC,icon_commendation_longest_streak,
mostKills,148,MP_ACCOLADES/MOSTKILLS,MP_ACCOLADES/MOSTKILLS_DESC,icon_commendation_most_kills,
leastKills,17,MP_ACCOLADES/LEASTKILLS,MP_ACCOLADES/LEASTKILLS_DESC,icon_commendation_least_kills,
mostAssists,147,MP_ACCOLADES/MOSTASSISTS,MP_ACCOLADES/MOSTASSISTS_DESC,icon_commendation_most_assists,
leastAssists,24,MP_ACCOLADES/LEASTASSISTS,MP_ACCOLADES/LEASTASSISTS_DESC,icon_commendation_least_assists,
mostDeaths,21,MP_ACCOLADES/MOSTDEATHS,MP_ACCOLADES/MOSTDEATHS_DESC,icon_commendation_most_deaths,
leastDeaths,23,MP_ACCOLADES/LEASTDEATHS,MP_ACCOLADES/LEASTDEATHS_DESC,icon_commendation_least_deaths,
suicides,22,MP_ACCOLADES/SUICIDES,MP_ACCOLADES/SUICIDES_DESC,icon_commendation_suicides,
noKillsWithDeath,36,MP_ACCOLADES/NOKILLSWITHDEATH,MP_ACCOLADES/NOKILLSWITHDEATH_DESC,icon_commendation_no_kills_with_death,
noKillNoDeath,37,MP_ACCOLADES/NOKILLNODEATH,MP_ACCOLADES/NOKILLNODEATH_DESC,icon_commendation_no_kills_no_deaths,
noKill10Deaths,38,MP_ACCOLADES/NOKILL10DEATHS,MP_ACCOLADES/NOKILL10DEATHS_DESC,icon_commendation_no_kills_10_deaths,
mostKillsLeastDeaths,154,MP_ACCOLADES/MOSTKILLSLEASTDEATHS,MP_ACCOLADES/MOSTKILLSLEASTDEATHS_DESC,icon_commendation_most_kills_least_deaths,
mostKillsMostHeadshots,152,MP_ACCOLADES/MOSTKILLSMOSTHEADSHOTS,MP_ACCOLADES/MOSTKILLSMOSTHEADSHOTS_DESC,icon_commendation_most_kills_most_headshots,
mostKillsLongestStreak,153,MP_ACCOLADES/MOSTKILLSLONGESTSTREAK,MP_ACCOLADES/MOSTKILLSLONGESTSTREAK_DESC,icon_commendation_most_kills_longest_streak,
kills10NoDeaths,151,MP_ACCOLADES/KILLS10NODEATHS,MP_ACCOLADES/KILLS10NODEATHS_DESC,icon_commendation_kills_10_no_deaths,
deathsFromBehind,25,MP_ACCOLADES/DEATHSFROMBEHIND,MP_ACCOLADES/DEATHSFROMBEHIND_DESC,icon_commendation_deaths_from_behind,
killsFromBehind,27,MP_ACCOLADES/KILLSFROMBEHIND,MP_ACCOLADES/KILLSFROMBEHIND_DESC,icon_commendation_kills_from_behind,
noDeathsFromBehind,26,MP_ACCOLADES/NODEATHSFROMBEHIND,MP_ACCOLADES/NODEATHSFROMBEHIND_DESC,icon_commendation_no_deaths_behind,
shortestLife,29,MP_ACCOLADES/SHORTESTLIFE,MP_ACCOLADES/SHORTESTLIFE_DESC,icon_commendation_shortest_life,
longestLife,30,MP_ACCOLADES/LONGESTLIFE,MP_ACCOLADES/LONGESTLIFE_DESC,icon_commendation_longest_life,
damageDealt,146,MP_ACCOLADES/DAMAGEDEALT,MP_ACCOLADES/DAMAGEDEALT_DESC,icon_commendation_damage_dealt,
damageTaken,1,MP_ACCOLADES/DAMAGETAKEN,MP_ACCOLADES/DAMAGETAKEN_DESC,icon_commendation_damage_taken,
highestMultikill,145,MP_ACCOLADES/HIGHESTMULTIKILL,MP_ACCOLADES/HIGHESTMULTIKILL_DESC,icon_commendation_highest_multikill,
mostMultikills,144,MP_ACCOLADES/MOSTMULTIKILLS,MP_ACCOLADES/MOSTMULTIKILLS_DESC,icon_commendation_most_multikill,
revives,39,MP_ACCOLADES/REVIVES,MP_ACCOLADES/REVIVES_DESC,icon_commendation_revives,
penetrationKills,40,MP_ACCOLADES/PENETRATIONKILLS,MP_ACCOLADES/PENETRATIONKILLS_DESC,icon_commendation_kills_penetrator,
revengeKills,41,MP_ACCOLADES/REVENGEKILLS,MP_ACCOLADES/REVENGEKILLS_DESC,icon_commendation_kills_revenge,
avengerKills,42,MP_ACCOLADES/AVENGERKILLS,MP_ACCOLADES/AVENGERKILLS_DESC,icon_commendation_kills_avenger,
defenderKills,43,MP_ACCOLADES/DEFENDERKILLS,MP_ACCOLADES/DEFENDERKILLS_DESC,icon_commendation_kills_defender,
longshotKills,44,MP_ACCOLADES/LONGSHOTKILLS,MP_ACCOLADES/LONGSHOTKILLS_DESC,icon_commendation_kills_longshot,
pointBlankKills,45,MP_ACCOLADES/POINTBLANKKILLS,MP_ACCOLADES/POINTBLANKKILLS_DESC,icon_commendation_kills_point_blank,
oneShotOneKills,46,MP_ACCOLADES/ONESHOTONEKILLS,MP_ACCOLADES/ONESHOTONEKILLS_DESC,icon_commendation_kills_one_shot,
executionKills,48,MP_ACCOLADES/EXECUTIONKILLS,MP_ACCOLADES/EXECUTIONKILLS_DESC,icon_commendation_kills_execution,
comebackKills,47,MP_ACCOLADES/COMEBACKKILLS,MP_ACCOLADES/COMEBACKKILLS_DESC,icon_commendation_kills_comeback,
explosionsSurvived,48,MP_ACCOLADES/EXPLOSIONSSURVIVED,MP_ACCOLADES/EXPLOSIONSSURVIVED_DESC,icon_commendation_explosions_survived,
killEnemyTeam,143,MP_ACCOLADES/KILLENEMYTEAM,MP_ACCOLADES/KILLENEMYTEAM_DESC,icon_commendation_kills_enemy_team,
timeCrouched,3,MP_ACCOLADES/TIMECROUCHED,MP_ACCOLADES/TIMECROUCHED_DESC,icon_commendation_time_crouched,
timeProne,2,MP_ACCOLADES/TIMEPRONE,MP_ACCOLADES/TIMEPRONE_DESC,icon_commendation_time_prone,
distanceTravelled,6,MP_ACCOLADES/DISTANCETRAVELLED,MP_ACCOLADES/DISTANCETRAVELLED_DESC,icon_commendation_distance_travelled,
highestAvgAltitude,5,MP_ACCOLADES/HIGHESTAVGALTITUDE,MP_ACCOLADES/HIGHESTAVGALTITUDE_DESC,icon_commendation_highest_altitude,
lowestAvgAltitude,4,MP_ACCOLADES/LOWESTAVGALTITUDE,MP_ACCOLADES/LOWESTAVGALTITUDE_DESC,icon_commendation_lowest_altitude,
meleeKills,128,MP_ACCOLADES/MELEEKILLS,MP_ACCOLADES/MELEEKILLS_DESC,icon_commendation_kills_melee,
