0,specialty_null,PERKS/NONE,specialty_ks_null,PERKS/NONE,PERKS/NONE,,,0,0,specialty_ks_null,specialty_ks_null,,,,,,,placeholder_x,PERKS/NONE,,PERKS/NONE,
1,specialty_strategist,PERKS/STRATEGIST,icon_perk_slot_pointman_ui,PERKS/STRATEGIST_DESC,PERKS/STRATEGIST_DESC_EXTRA,,placeholder_x,1,,,,icon_perk_slot_pointman_ui,icon_perk_slot_pointman_ui,accessory_ui_perk_pouch_03_patch_point_man,accessory_ui_perk_patch_01_point_man_special,,,icon_perk_point_man,LUA_MENU_CP/STRATEGIST_DESC,,PERKS/STRATEGIST_BR_DESC,
2,specialty_munitions_2,PERKS/MUNITIONS,icon_perk_slot_munitions_ui,PERKS/MUNITIONS_DESC,PERKS/MUNITIONS_DESC_EXTRA,,placeholder_x,1,,,,icon_perk_slot_munitions_ui,icon_perk_slot_munitions_ui,accessory_ui_perk_pouch_03_patch_munitions,accessory_ui_perk_patch_01_munitions_special,,,icon_perk_overkill,PERKS/MUNITIONS_DESC,,PERKS/MUNITIONS_DESC,
3,specialty_surveillance,PERKS/SURVEILLANCE,icon_perk_slot_highalert_ui,PERKS/SURVEILLANCE_DESC,PERKS/SURVEILLANCE_DESC_EXTRA,,placeholder_x,1,,,,icon_perk_slot_highalert_ui,icon_perk_slot_highalert_ui,accessory_ui_perk_pouch_03_patch_high_alert,accessory_ui_perk_patch_01_high_alert_special,1,,icon_perk_high_alert,LUA_MENU_CP/SURVEILLANCE_DESC,,PERKS/SURVEILLANCE_DESC,
4,specialty_guerrilla,PERKS/GUERRILLA,icon_perk_slot_guerilla_ui,PERKS/GUERRILLA_DESC,PERKS/GUERRILLA_DESC_EXTRA,,placeholder_x,1,,,,icon_perk_slot_guerilla_ui,icon_perk_slot_guerilla_ui,accessory_ui_perk_pouch_03_patch_guerrilla,accessory_ui_perk_patch_01_guerrilla_special,1,,icon_perk_ghost,LUA_MENU_CP/GUERRILLA_DESC,,PERKS/GUERRILLA_DESC,
5,specialty_tune_up,PERKS/TUNE_UP,icon_perk_slot_tuneup_ui,PERKS/TUNE_UP_DESC,,,placeholder_x,1,,,,icon_perk_slot_tuneup_ui,icon_perk_slot_tuneup_ui,accessory_ui_perk_pouch_03_patch_tune_up,accessory_ui_perk_patch_01_tune_up_special,1,,icon_perk_tune_up,LUA_MENU_CP/TUNE_UP_DESC,,PERKS/TUNE_UP_BR_DESC,
6,specialty_restock,PERKS/RESTOCK,icon_perk_slot_restock_ui,PERKS/RESTOCK_DESC,PERKS/RESTOCK_DESC_EXTRA,,placeholder_x,1,,,,icon_perk_slot_restock_ui,icon_perk_slot_restock_ui,accessory_ui_perk_pouch_03_patch_restock,accessory_ui_perk_patch_01_restock_special,1,,icon_perk_restock,PERKS/RESTOCK_DESC,,PERKS/RESTOCK_BR_DESC,
7,specialty_hustle,PERKS/HUSTLE,icon_perk_slot_hustle_ui,PERKS/HUSTLE_DESC,,,placeholder_x,1,,,,icon_perk_slot_hustle_ui,icon_perk_slot_hustle_ui,accessory_ui_perk_pouch_04_patch_hustle,accessory_ui_perk_patch_01_hustle_special,1,,icon_perk_double_time,PERKS/HUSTLE_DESC,,PERKS/HUSTLE_DESC,
8,specialty_tactical_recon,PERKS/TACTICAL_RECON,icon_perk_slot_tactical_ui,PERKS/TACTICAL_RECON_DESC,PERKS/TACTICAL_RECON_DESC_EXTRA,,placeholder_x,1,,,,icon_perk_slot_tactical_ui,icon_perk_slot_tactical_ui,accessory_ui_perk_pouch_04_patch_tactical_recon,accessory_ui_perk_patch_01_tactical_recon_special,1,,icon_perk_spotter,LUA_MENU_CP/TACTICAL_RECON_DESC,,PERKS/TACTICAL_RECON_DESC,
9,specialty_tac_resist,PERKS/TAC_RESIST,icon_perk_slot_battlehardened_ui,PERKS/TAC_RESIST_DESC,,,placeholder_x,1,,,,icon_perk_slot_battlehardened_ui,icon_perk_slot_battlehardened_ui,accessory_ui_perk_pouch_04_patch_battle_hardened,accessory_ui_perk_patch_01_battle_hardened_special,1,,icon_perk_battle_hardened,PERKS/TAC_RESIST_DESC,,PERKS/TAC_RESIST_DESC,
