 ,rec,front,back,mag,guard,guardrail,guardnogrip,guardheavy,guardlight,guardcust,triggrip,toprail,reargrip,cable,boltaction,scope,scopenorail,scopenvg,reflex,reflex2,reflex3,reflex4,reflex5,reflexmini,reflexmini2,reflexmini3,holo,holo2,holo3,acog,acog2,acog3,acog4,thermal,thermal2,thermal3,thermalvz,hybrid,hybrid2,hybrid3,hybrid4,vzscope,ironsdefault,ironsight,toprailcust,gripdefault,gripvert,gripvertpro,gripang,gripangpro,gripcust,gripcust2,pistolgrip01,pistolgrip02,pistolgrip03,pistolgrip04,pistolgrip05,pistolgrip06,cableh,cablel,cabletac,gl,glsmoke,glgas,glconc,glflash,glincendiary,glsemtex,glsnap,ubshtgn,ubshtgn02,bipod,barlong,barmid,barshort,barshortnoguard,barcust,barcustnoguard,barcust2,barsil,barsil2,barextra,stockl,stockh,stocks,stockno,stockfold,stockcust,smags,xmags,xmagslrg,vertmags,vertmags2,drums,calsmg,calsmgdrums,calsnpr,calar,calcust,calcust2,calcustmags,calcustmags2,silencer,silencer2,silencer3,silencer4,brake,linearbrake,comp,choke,flashhider,fmj,laser,laserrange,laserbalanced,laserir,laserads,triggripcust,melee,melee2,meleeub,rack,bolt,bolt2,bolt3,bolt4,bolthvy,boltl,bolttac,strap,semi,burst,auto,selectsemi,selectburst,selectauto,akimbo,griprear,trig,trigcust,trigcust02,trigcust03,recstocks,recstockl,recstockh,crouchrecoil,fastswap,fastreload,flinch,maxammo,gunperk_semi,gunperk_burst,gunperk_burst3fast,gunperk_auto,gunperk_fastmelee,gunperk_xp,gunperk_dexterity,gunperk_glintreduce,gunperk_hardmelee,gunperk_holdbreath,gunperk_marksman,gunperk_binarytrigger,ammomod_impact,ammomod_slow,ammomod_subsonic,ammomod_wound,br_rangeext,
weapon_assault,,,,,,,,,,,,,,,,snprscope_mike14_ar,,,reflex_west01,reflex_west02,reflex_east01,reflex_east02,,minireddot_tall,minireddot02_tall,minireddot03_tall,holo_west01,holo_east01,holo_west02,acog_west01_irons,acog_east01_ironstall,acog_west02_ironstall,,thermal_west01,thermal_east01,thermal_acog3,thermalvz_east01,hybrid_west02_irons,hybrid_west01ar,hybrid_thermal_irons,hybrid_west03_irons,vzscope_mike14_ar,,,,,,,,,griphip,,,,,,,,,,,ub_mike203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silencer_west01,silencersleeve,silencerbalanced,silencer_oilcan,,,,,,fmj_medium,,,,,,,muzzlemelee01,muzzlemelee02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br_rangeext_ar,
weapon_smg,,,,,,,,,,,,,,,,,,,reflex_west01,reflex_west02,reflex_east01_smg,reflex_east02,,minireddot,minireddot02,minireddot03,holo_west01,holo_east01,holo_west02_smg,acog_west01,acog_east01,acog_west02,,thermal_west01,thermal_east01,thermal_acog3,thermalvz_east01,hybrid_west02_irons,hybrid_west01,hybrid_thermal_irons,hybrid_west03_irons,,,,,,gripvertsmg,gripvertprosmg,gripangsmg,gripangprosmg,griphip,,,,,,,,,,,ub_mike203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silencersmg_west01,silencersleeve,silencerbalancedsmg,silencer_oilcan,brakesmg,linearbrakesmg,compsmg,,flashhidersmg,fmj_small,lasersmg,laserrange_smg,laserbalanced_smg,laserirsmg,,,muzzlemelee01,muzzlemelee02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br_rangeext_smg,
weapon_shotgun,,,,,,,,,,,,,,,,,,,reflex_west01,reflex_west02,reflex_east01,reflex_east02,,minireddot,minireddot02,minireddot03,holo_west01,holo_east01,holo_west02,acog_west01,acog_east01,acog_west02,,thermal_west01,thermal_east01,thermal_acog3,thermalvz_east01,hybrid_west02,hybrid_west01,hybrid_thermal,hybrid_west03,,,,,,gripvertshtgn,,gripangshtgn,,griphip,,,,,,,,,,,ub_mike203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silencershtgn,silencersleeveshtgn,silencerbalancedshtgn,silencer_oilcan,brakeshtgn,linearbrakesmg,comp_shtgn,,flashhidershtgn,fmj_small,lasershtgn,laserrangeshtgn,laserbalanced_shtgn,,,,muzzlemelee_shtgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br_rangeext_shtgn,
weapon_lmg,,,,,,,,,,,,,,,,snprscope_mike14_ar,,,reflex_west01,reflex_west02,reflex_east01,reflex_east02,reflex_mgolf36,minireddot_tall,minireddot02_tall,minireddot03_tall,holo_west01,holo_east01,holo_west02_lmg,acog_west01_irons,acog_east01_irons,acog_west02_irons,acog_mgolf36,thermal_west01,thermal_east01,thermal_acog3,thermalvz_east01,hybrid_west02,hybrid_west01,hybrid_thermal,hybrid_west03,vzscope_mike14_ar,,,,,gripvertlmg,gripvertprolmg,gripanglmg,gripangprolmg,griphip_vintage,,,,,,,,,,,ub_mike203,,,,,,,,,,bipodlmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silencerlmg_west01,silencersleevelmg,silencerbalancedlmg,silencer_oilcan,,,complmg,,,fmj_large,,,,,,,muzzlemelee01,muzzlemelee02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br_rangeext_lmg,
weapon_dmr,,,,,,,,,,,,,,,,,,,reflex_west01,reflex_west02,reflex_east01,reflex_east02,,minireddot,minireddot02,minireddot03,holo_west01,holo_east01,holo_west02,acog_west01,acog_east01,acog_west02,,thermal_west01,thermal_east01,thermal_acog3,thermalvzsnpr_west01,hybrid_west02,hybrid_west01,hybrid_thermal,hybrid_west03,,,,,,gripvertdmr,,gripangdmr,,griphip,,,,,,,,,,,,,,,,,,,,,bipoddmr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silencerdmr_west01,silencersleeve,silencerbalanced,silencer_oilcan,brakedmr,,,,,fmj_dmr,laser_bar,laserrange_bar,laserbalanceddmr_bar,,,,muzzlemelee01,muzzlemelee02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br_rangeext_dmr,
weapon_sniper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acog_west01,acog_east01,acog_west02,,thermalsnpr_west01,thermal_east02,thermal_acog3,thermalvzsnpr_west01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bipodsnpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silencersnpr_west01,silencersleeve,silencerbalanced,silencer_oilcan,brakesnpr,linearbrakesnpr,compsnpr,,flashhidersnpr,fmj_sniper,,,laserbalancedsnpr,,,,muzzlemelee01,muzzlemelee02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br_rangeext_snpr,
weapon_pistol,,,,,,,,,,,,,,,,,,,reflex_west01_pstl,reflex_west02_pstl,reflex_east01_pstl,reflex_east02_pstl,,minireddot,minireddot02,minireddot03,holo_west01_pstl,holo_east01_pstl,holo_west02_pstl,acog_west01_pstl,acog_east01_pstl,acog_west02_pstl,,,,,,,,,,,,,,,,,,,,,pistolgrip_pstl01,pistolgrip_pstl02,pistolgrip_pstl03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silencerpstl_west01,silencer02_pstl,silencer03_pstl,silencerpstl_oil,brakepstl,linearbrakesmg,comp_pstl,,flashhiderpstl,fmj_small,laserpstl,laserrange_pstl,laserbalanced_pstl,laserirpstl,,,muzzlemelee_pstl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br_rangeext_pstl,
iw8_ar_mike4,rec_mike4,front_mike4,back_mike4,mag_mike4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_west01_mike4,,,,ironsdefault_mike4,irons_mike4,,,,,gripang_mike4,,griphip,,pistolgrip01_mike4,pistolgrip02_mike4,pistolgrip03_mike4,,,,,,,,,,,,,,,,,,barlong_mike4,barmid_mike4,barshort_mike4,,,,barcust2_mike4,barsil_mike4,,,stockl_mike4,stockh_mike4,stocks_mike4,stockno_mike4,,,,xmags_mike4,xmagslrg_mike4,,,,calsmg_mike4,,,,calcust_mike4_50,,,,,,,,,,comp_mike4,,,,,,laserbalanced_mike4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gunperk_burst_mike4,gunperk_burst3fast_mike4,,,,,,,,,,,,,,,
iw8_ar_mike4_mpa,rec_mike4a,front_mike4a,back_mike4a,mag_mike4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_west01_mike4,,,,ironsdefault_mike4,irons_mike4,,,,,gripang_mike4,,griphip,,pistolgrip01_mike4,pistolgrip02_mike4,pistolgrip03_mike4,,,,,,,,,,,,,,,,,,barlong_mike4,barmid_mike4,barshort_mike4,,,,barcust2_mike4,barsil_mike4,,,stockl_mike4,stockh_mike4,stocks_mike4,stockno_mike4,,,,xmags_mike4,xmagslrg_mike4,,,,calsmg_mike4,,,,calcust_mike4_50,,,,,,,,,,comp_mike4,,,,,,laserbalanced_mike4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gunperk_burst_mike4,gunperk_burst3fast_mike4,,,,,,,,,,,,,,,
iw8_ar_mike4_mpv2,rec_mike4,front_mike4,back_mike4,mag_mike4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_west01_mike4,,,,ironsdefault_mike4,irons_mike4,,,,,gripang_mike4,,griphip,,pistolgrip01_mike4_v2,pistolgrip02_mike4_v2,pistolgrip03_mike4_v2,,,,,,,,,,,,,,,,,,barlong_mike4,barmid_mike4_mpv2,barshort_mike4,,,,barcust2_mike4,barsil_mike4,,,stockl_mike4,stockh_mike4,stocks_mike4,stockno_mike4,,,,xmags_mike4,xmagslrg_mike4,,,,calsmg_mike4,,,,calcust_mike4_50,,,,,,,,,,comp_mike4,,,,,,laserbalanced_mike4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gunperk_burst_mike4,gunperk_burst3fast_mike4,,,,,,,,,,,,,,,
