kill,SPLASHES/EKIA,SPLASHES/EKIA,,icon_splash_skill_shot,,,,,,,,,5,0,,,,,,,,,,,,,,,,,
assist,SPLASHES/ASSIST,SPLASHES/ASSIST,,icon_splash_skill_shot,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
defender,SPLASHES/DEFENDER,SPLASHES/DEFENDER,SPLASHES/DEFENDER_DESC,icon_splash_skill_shot,,splash,skill,,,,,,21,0,,,,,,,,,,,,,,,,,
proximitykill,SPLASHES/PROXIMITYKILL,SPLASHES/PROXIMITYKILL,SPLASHES_PROXIMITYKILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,19,0,,,,,,,,,,,,,,,,,
proximityassist,SPLASHES/PROXIMITYASSIST,SPLASHES/PROXIMITYASSIST,SPLASHES_PROXIMITYASSIST_DESC,icon_splash_skill_shot,,splash,skill,,,,,,18,0,,,,,,,,,,,,,,,,,
killflagcarrier,SPLASHES/KILLED_FLAG_CARRIER,SPLASHES/KILLED_FLAG_CARRIER,SPLASHES/KILLED_FLAG_CARRIER_DESC,icon_splash_skill_shot,,splash,skill,,,,,,41,0,,,,,,,,,,,,,,,,,
time_added,SPLASHES/TIME_ADDED,SPLASHES/TIME_ADDED,SPLASHES/TIME_ADDED_DESC,icon_splash_skill_shot,ui_splash_screen_default,splash,skill,,,,,,0,0,,,,,,,,,,,,,,,,,
firstblood,MEDALS_MP/FIRSTBLOOD,MEDALS_MP/FIRSTBLOOD,MEDALS_MP/FIRSTBLOOD_DESC,icon_splash_skill_shot,mp_card_slide,splash,skill,,,,,,40,0,,,,,,,,,,,,,,,,,
headshot,MEDALS_MP/HEADSHOT,MEDALS_MP/HEADSHOT,MEDALS_MP/HEADSHOT_DESC,icon_splash_skill_shot,mp_card_slide,splash,skill,,,,,,28,0,,,,,,,,,,,,,,,,,
avenger,MEDALS_MP/AVENGER,MEDALS_MP/AVENGER,MEDALS_MP/AVENGER_DESC,icon_splash_skill_shot,mp_card_slide,splash,skill,,,,,,22,0,,,,,,,,,,,,,,,,,
assistedsuicide,MEDALS_MP/ASSISTED_SUICIDE,MEDALS_MP/ASSISTED_SUICIDE,MEDALS_MP/ASSISTED_SUICIDE_DESC,icon_splash_skill_shot,mp_card_slide,splash,skill,,,,,,20,0,,,,,,,,,,,,,,,,,
buzzkill,MEDALS_MP/BUZZKILL,MEDALS_MP/BUZZKILL,MEDALS_MP/BUZKILL_DESC,icon_splash_skill_shot,mp_card_slide,splash,skill,,,,,,29,0,,,,,,,,,,,,,,,,,
comeback,MEDALS_MP/COMEBACK,MEDALS_MP/COMEBACK,MEDALS_MP/COMEBACK_DESC,icon_splash_skill_shot,mp_card_slide,splash,skill,,,,,,39,0,,,,,,,,,,,,,,,,,
longshot,MEDALS_MP/LONGSHOT,MEDALS_MP/LONGSHOT,MEDALS_MP/LONGSHOT_DESC,icon_splash_skill_shot,mp_card_slide,splash,skill,,,,,,30,0,,,,,,,,,,,,,,,,,
pointblank,MEDALS_MP/POINTBLANK,MEDALS_MP/POINTBLANK,MEDALS_MP/POINTBLANK_DESC,icon_splash_skill_shot,mp_card_slide,splash,skill,,,,,,31,0,,,,,,,,,,,,,,,,,
revenge,MEDALS_MP/REVENGE,MEDALS_MP/REVENGE,MEDALS_MP/REVENGE_DESC,icon_splash_skill_shot,mp_card_slide,splash,skill,,,,,,23,0,,,,,,,,,,,,,,,,,
double,SPLASHES/DOUBLE_KILL_SHORT,MEDALS_MP/DOUBLE_KILL,MEDALS_MP/DOUBLE_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,45,1,,,,,,,,,,,,,,,,,
triple,SPLASHES/TRIPLE_KILL_SHORT,MEDALS_MP/TRIPLE_KILL,MEDALS_MP/TRIPLE_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,46,1,,,,,,,,,,,,,,,,,
four,SPLASHES/QUAD_KILL_SHORT,MEDALS_MP/FOUR_KILL,MEDALS_MP/FOUR_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,47,1,,,,,,,,,,,,,,,,,
five,SPLASHES/FIVE_KILL_SHORT,MEDALS_MP/FIVE_KILL,MEDALS_MP/FIVE_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,48,1,,,,,,,,,,,,,,,,,
six,SPLASHES/SIX_KILL_SHORT,MEDALS_MP/SIX_KILL,MEDALS_MP/SIX_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,49,1,,,,,,,,,,,,,,,,,
seven,SPLASHES/SEVEN_KILL_SHORT,MEDALS_MP/SEVEN_KILL,MEDALS_MP/SEVEN_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,50,1,,,,,,,,,,,,,,,,,
eight,SPLASHES/EIGHT_KILL_SHORT,MEDALS_MP/EIGHT_KILL,MEDALS_MP/EIGHT_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,51,1,,,,,,,,,,,,,,,,,
multi,SPLASHES/NINE_KILL_SHORT,MEDALS_MP/MULTI_KILL,MEDALS_MP/MULTI_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,52,1,,,,,,,,,,,,,,,,,
posthumous,MEDALS_MP/POSTHUMOUS,MEDALS_MP/POSTHUMOUS,MEDALS_MP/POSTHUMOUS_DESC,icon_splash_skill_shot,,splash,skill,,,,,,36,0,,,,,,,,,,,,,,,,,
first_place_kill,MEDALS_MP/FIRST_PLACE_KILL,MEDALS_MP/FIRST_PLACE_KILL,MEDALS_MP/FIRST_PLACE_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,38,1,,,,,,,,,,,,,,,,,
one_shot_kill,MEDALS_MP/ONE_SHOT_KILL,MEDALS_MP/ONE_SHOT_KILL,MEDALS_MP/ONE_SHOT_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,37,1,,,,,,,,,,,,,,,,,
mo_money,MEDALS_MP/MO_MONEY,MEDALS_MP/MO_MONEY,MEDALS_MP/MO_MONEY_DESC,icon_splash_skill_shot,,splash,skill,,,,,,24,0,,,,,,,,,,,,,,,,,
gun_butt,MEDALS_MP/GUN_BUTT,MEDALS_MP/GUN_BUTT,MEDALS_MP/GUN_BUTT_DESC,icon_splash_skill_shot,,splash,skill,,,,,,6,0,,,,,,,,,,,,,,,,,
grenade_double,MEDALS_MP/GRENADE_DOUBLE,MEDALS_MP/GRENADE_DOUBLE,MEDALS_MP/GRENADE_DOUBLE_DESC,icon_splash_skill_shot,,splash,skill,,,,,,43,1,,,,,,,,,,,,,,,,,
fist_kill,MEDALS_MP/FIST_KILL,MEDALS_MP/FIST_KILL,MEDALS_MP/FIST_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,7,0,,,,,,,,,,,,,,,,,
mantle_kill,MEDALS_MP/MANTLE_KILL,MEDALS_MP/MANTLE_KILL,MEDALS_MP/MANTLE_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,8,0,,,,,,,,,,,,,,,,,
slide_kill,MEDALS_MP/SLIDE_KILL,MEDALS_MP/SLIDE_KILL,MEDALS_MP/SLIDE_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,9,1,,,,,,,,,,,,,,,,,
stunned_kill,MEDALS_MP/STUNNED_KILL,MEDALS_MP/STUNNED_KILL,MEDALS_MP/STUNNED_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,10,0,,,,,,,,,,,,,,,,,
backstab,MEDALS_MP/BACKSTAB,MEDALS_MP/BACKSTAB,MEDALS_MP/BACKSTAB_DESC,icon_splash_skill_shot,,splash,skill,,,,,,11,0,,,,,,,,,,,,,,,,,
backfire,MEDALS_MP/BACKFIRE,MEDALS_MP/BACKFIRE,MEDALS_MP/BACKFIRE_DESC,icon_splash_skill_shot,,splash,skill,,,,,,25,0,,,,,,,,,,,,,,,,,
quad_feed,MEDALS_MP/QUAD_FEED,MEDALS_MP/QUAD_FEED,MEDALS_MP/QUAD_FEED_DESC,icon_splash_skill_shot,,splash,skill,,,,,,53,1,,,,,,,,,,,,,,,,,
save_teammate,MEDALS_MP/SAVE_TEAMMATE,MEDALS_MP/SAVE_TEAMMATE,MEDALS_MP/SAVE_TEAMMATE_DESC,icon_splash_skill_shot,,splash,skill,,,,,,26,0,,,,,,,,,,,,,,,,,
one_shot_two_kills,MEDALS_MP/ONE_SHOT_TWO_KILLS,MEDALS_MP/ONE_SHOT_TWO_KILLS,MEDALS_MP/ONE_SHOT_TWO_KILLS_DESC,icon_splash_skill_shot,,splash,skill,,,,,,44,1,,,,,,,,,,,,,,,,,
explosive_stick,MEDALS_MP/EXPLOSIVE_STICK,MEDALS_MP/EXPLOSIVE_STICK,MEDALS_MP/EXPLOSIVE_STICK_DESC,icon_splash_skill_shot,,splash,skill,,,,,,42,1,,,,,,,,,,,,,,,,,
launcher_direct_hit,MEDALS_MP/LAUNCHER_DIRECT_HIT,MEDALS_MP/LAUNCHER_DIRECT_HIT,MEDALS_MP/LAUNCHER_DIRECT_HIT_DESC,icon_splash_skill_shot,,splash,skill,,,,,,34,1,,,,,,,,,,,,,,,,,
throwingknife_kill,MEDALS_MP/THROWINGKNIFE_KILL,MEDALS_MP/THROWINGKNIFE_KILL,MEDALS_MP/THROWINGKNIFE_KILL_DESC,icon_splash_skill_shot,,splash,skill,,,,,,35,1,,,,,,,,,,,,,,,,,
kill_wallrunner,MEDALS_MP/KILL_WALLRUNNER,MEDALS_MP/KILL_WALLRUNNER,MEDALS_MP/KILL_WALLRUNNER_DESC,icon_splash_skill_shot,,splash,skill,,,,,,12,0,,,,,,,,,,,,,,,,,
kill_jumper,MEDALS_MP/KILL_JUMPER,MEDALS_MP/KILL_JUMPER,MEDALS_MP/KILL_JUMPER_DESC,icon_splash_skill_shot,,splash,skill,,,,,,13,0,,,,,,,,,,,,,,,,,
