RELEASE,mp_chasm,,,,,,,,,,
RELEASE,mp_dart,,,,,,,,,,
RELEASE,mp_descent,-308,-790,5370,,,,-296,436,5370,
RELEASE,mp_fahrenheit,1111,182,640,,,,-1568,-3328,504,
RELEASE,mp_flooded,,,,,,,,,,
RELEASE,mp_frag,-10,-1008,128.5,344,976,151,835,2903,127.5,
RELEASE,mp_hashima,,,,,,,,,,
RELEASE,mp_lonestar,809,-675.5,112,-1605,-85.5,106,-221.9,1144.1,102,
RELEASE,mp_prisonbreak,,,,,,,,,,
RELEASE,mp_skeleton,-560,2049,185,2166,2572,305,426.5,-206.7,13.2,
RELEASE,mp_snow,,,,,,,,,,
RELEASE,mp_sovereign,,,,,,,,,,
RELEASE,mp_strikezone,,,,,,,,,,
RELEASE,mp_warhawk,,,,,,,,,,
RELEASE,mp_zebra,196,-40,414,,,,4028,-2058,483.5,
DLC1,mp_boneyard_ns,,,,,,,,,,
DLC1,mp_ca_red_river,,,,,,,,,,
DLC1,mp_ca_rumble,896,-896,8,,,,-1046,-896,8,
DLC1,mp_swamp,,,,,,,-394,-744,9.3,
DLC2,mp_battery3,,,,,,,,,,
DLC2,mp_dome_ns,-56,32,-391,850,962,-324,925,2029,-253,
DLC2,mp_ca_behemoth,747.2,405.6,623,,,,-830.8,-98.4,617,
DLC2,mp_ca_impact,-1488,616,-13,,,,906,-420,97.1,
