0,bootcamp,CHALLENGE_SUBCATEGORY_BOOTCAMP,CHALLENGE_SUBCATEGORY_BOOTCAMP_DESC,,operations,
1,gamemodevictories,CHALLENGE_SUBCATEGORY_GAME_MODE_VICTORIES,CHALLENGE_SUBCATEGORY_GAME_MODE_VICTORIES_DESC,,operations,
2,gamemodeheroics,CHALLENGE_SUBCATEGORY_GAME_MODE_HEROICS,CHALLENGE_SUBCATEGORY_GAME_MODE_HEROICS_DESC,,operations,
3,career,CHALLENGE_SUBCATEGORY_CAREER,CHALLENGE_SUBCATEGORY_CAREER_DESC,,operations,
4,killer,CHALLENGE_SUBCATEGORY_KILLER,CHALLENGE_SUBCATEGORY_KILLER_DESC,,operations,
5,humiliation,CHALLENGE_SUBCATEGORY_HUMILIATION,CHALLENGE_SUBCATEGORY_HUMILIATION_DESC,,operations,
6,lethal,CHALLENGE_SUBCATEGORY_LETHAL,CHALLENGE_SUBCATEGORY_LETHAL_DESC,,equipment,
7,tactical,CHALLENGE_SUBCATEGORY_TACTICAL,CHALLENGE_SUBCATEGORY_TACTICAL_DESC,,equipment,
8,feats,CHALLENGE_SUBCATEGORY_FEATS,CHALLENGE_SUBCATEGORY_FEATS_DESC,,equipment,
9,combathandling,CHALLENGE_SUBCATEGORY_COMBAT_HANDLING,CHALLENGE_SUBCATEGORY_COMBAT_HANDLING_DESC,,prestige,
10,combatefficiency,CHALLENGE_SUBCATEGORY_COMBAT_EFFICIENCY,CHALLENGE_SUBCATEGORY_COMBAT_EFFICIENCY_DESC,,prestige,
11,perk_1,CHALLENGE_SUBCATEGORY_PERK_1,CHALLENGE_SUBCATEGORY_PERK_1_DESC,,prestige,
12,perk_2,CHALLENGE_SUBCATEGORY_PERK_2,CHALLENGE_SUBCATEGORY_PERK_3_DESC,,prestige,
13,perk_3,CHALLENGE_SUBCATEGORY_PERK_3,CHALLENGE_SUBCATEGORY_PERK_3_DESC,,prestige,
14,airassault,CHALLENGE_SUBCATEGORY_AIR_ASSAULT,CHALLENGE_SUBCATEGORY_AIR_ASSAULT_DESC,,scorestreaks,
15,groundassault,CHALLENGE_SUBCATEGORY_GROUND_ASSAULT,CHALLENGE_SUBCATEGORY_GROUND_ASSAULT_DESC,,scorestreaks,
16,support,CHALLENGE_SUBCATEGORY_SUPPORT,CHALLENGE_SUBCATEGORY_SUPPORT_DESC,,scorestreaks,
17,returnfire,CHALLENGE_SUBCATEGORY_RETURN_FIRE,CHALLENGE_SUBCATEGORY_RETURN_FIRE_DESC,,scorestreaks,
18,rigweapons,CHALLENGE_SUBCATEGORY_RIG_WEAPONS,CHALLENGE_SUBCATEGORY_RIG_WEAPONS_DESC,,rigs,
19,rigabilities,CHALLENGE_SUBCATEGORY_RIG_ABILITIES,CHALLENGE_SUBCATEGORY_RIG_ABILITIES_DESC,,rigs,
20,rigtraits,CHALLENGE_SUBCATEGORY_RIG_TRAITS,CHALLENGE_SUBCATEGORY_RIG_TRAITS_DESC,,rigs,
21,rigkilljoys,CHALLENGE_SUBCATEGORY_RIG_KILLJOYS,CHALLENGE_SUBCATEGORY_RIG_KILLJOYS_DESC,,rigs,
22,darkops,CHALLENGE_SUBCATEGORY_DARKOPS,CHALLENGE_SUBCATEGORY_DARKOPS_DESC,,darkops,
23,outfitter,CHALLENGE_SUBCATEGORY_LOOT_OUTFITTER,CHALLENGE_SUBCATEGORY_LOOT_OUTFITTER_DESC,,loot,
