0,ESC,CODCASTER/KB_MENU,
1,L,CODCASTER/KB_LOADOUT,
2,Y,CODCASTER/KB_PLAYERLIST,
3,X,CODCASTER/KB_XRAY,
4,S,CODCASTER/KB_SCOREPANEL,
5,N,CODCASTER/KB_PLAYERNUMBERS,
6,C,CODCASTER/KB_PLAYERCARD,
7,M,CODCASTER/KB_MAP,
8,H,CODCASTER/KB_PLAYERHUD,
9,T,CODCASTER/KB_THIRDPERSON,
10,CODCASTER/KB_COMMA,CODCASTER/KB_PREVIOUSPLAYER,
11,1-5,CODCASTER/KB_TEAM1,
12,CODCASTER/KB_DOT,CODCASTER/KB_NEXTPLAYER,
13,6-0,CODCASTER/KB_TEAM2,
14,TAB,CODCASTER/KB_SCOREBOARD,
15,SPC,CODCASTER/KB_NEXTLIVEPLAYER,
16,F,CODCASTER/ENABLE_FOLLOW_DRONE,
17,F1-12,CODCASTER/KB_CYCLECAMERAS,
18,I,CODCASTER/DS_CAMERAICON,
