1,firstblood,icon_medal_firstblood,combat,MEDALS_MP/FIRSTBLOOD,MEDALS_MP/FIRSTBLOOD_DESC,0,50,count,1,medal_xp_kill_mod_rare,,1,
2,headshot,icon_medal_headshot,combat,MEDALS_MP/HEADSHOT,MEDALS_MP/HEADSHOT_DESC,0,50,count,1,medal_xp_kill_mod_common,,1,
3,avenger,icon_medal_avenger,combat,MEDALS_MP/AVENGER,MEDALS_MP/AVENGER_DESC,0,50,count,1,medal_xp_kill_mod_common,,1,
4,assistedsuicide,icon_medal_assistedsuicide,combat,MEDALS_MP/ASSISTED_SUICIDE,MEDALS_MP/ASSISTED_SUICIDE_DESC,0,50,count,1,,,1,
5,buzzkill,icon_medal_buzzkill,combat,MEDALS_MP/BUZZKILL,MEDALS_MP/BUZKILL_DESC,0,40,count,1,medal_xp_kill_mod_uncommon,,1,
6,comeback,icon_medal_comeback,combat,MEDALS_MP/COMEBACK,MEDALS_MP/COMEBACK_DESC,0,10,count,1,medal_xp_comeback,,1,
7,longshot,icon_medal_longshot,combat,MEDALS_MP/LONGSHOT,MEDALS_MP/LONGSHOT_DESC,0,50,count,1,medal_xp_kill_mod_common,,1,
8,pointblank,icon_medal_pointblank,combat,MEDALS_MP/POINTBLANK,MEDALS_MP/POINTBLANK_DESC,0,50,count,1,medal_xp_kill_mod_common,,1,
9,revenge,icon_medal_revenge,combat,MEDALS_MP/REVENGE,MEDALS_MP/REVENGE_DESC,0,50,count,1,medal_xp_kill_mod_common,,1,
10,double,icon_medal_doublekill,combat,MEDALS_MP/DOUBLE_KILL,MEDALS_MP/DOUBLE_KILL_DESC,0,60,count,1,medal_xp_double,,1,
11,triple,icon_medal_triplekill,combat,MEDALS_MP/TRIPLE_KILL,MEDALS_MP/TRIPLE_KILL_DESC,0,61,count,1,medal_xp_triple,,1,
12,four,icon_medal_furykill,combat,MEDALS_MP/FOUR_KILL,MEDALS_MP/FOUR_KILL_DESC,0,62,count,1,medal_xp_four,,1,
13,five,icon_medal_frenzykill,combat,MEDALS_MP/FIVE_KILL,MEDALS_MP/FIVE_KILL_DESC,0,63,count,1,medal_xp_five,,1,
