loadoutName,1,2,3,4,5,6,7,8,9,10,
loadoutPrimary,iw8_ar_t9damage,iw8_ar_t9standard,iw8_ar_kilo433,iw8_ar_mcharlie,iw8_ar_scharlie,iw8_ar_tango21,iw8_sm_t9standard,iw8_sm_victor,iw8_sm_papa90,iw8_sm_t9heavy,
loadoutPrimaryAttachment1,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment2,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment3,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment4,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment1,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment2,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,
loadoutEquipmentPrimary,equip_frag,equip_semtex,equip_c4,equip_molotov,equip_throwing_knife,equip_throwing_knife,equip_molotov,equip_semtex,equip_c4,equip_frag,
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutEquipmentSecondary,equip_flash,equip_concussion,equip_snapshot_grenade,equip_decoy,equip_smoke,equip_flash,equip_concussion,equip_snapshot_grenade,equip_decoy,equip_smoke,
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
