0,unknown,c,0,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,15,12,3,
1,straight_track,c,0,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,15,12,3,
2,heli_track,h,0,MP_BR_INGAME/ATTRACT_RT_HELI_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_helo,,16,12.8,3,
3,parachute_track,p,0,MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,,13.1,9.8,3,
4,dirt_track,c,3,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,60,50,3,
5,road_track,c,3,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,60,50,3,
6,uphill_dirt,c,0,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,26,22.3,3,
7,heli_docks,h,0,MP_BR_INGAME/ATTRACT_RT_HELI_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_helo,,20.5,16.4,3,
8,heli_downtown,h,0,MP_BR_INGAME/ATTRACT_RT_HELI_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_helo,,40.2,32.2,3,
9,dam_para_high,p,0,MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,,93,69.8,3,
10,coastal_highway,c,0,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,89.3,76.5,3,
11,promenade_run_01,c,0,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,77.5,66.5,3,
12,river_run_01,c,0,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,139.8,111.9,3,
13,river_heli_1,h,0,MP_BR_INGAME/ATTRACT_RT_HELI_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_helo,,108.5,86.8,3,
14,atc_parachute_run,p,0,MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,,11.9,8.9,3,
15,gulag_glide_01,p,0,MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,,23.1,17.3,3,
16,mountain_track_1,c,0,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,87.7,75.2,3,
17,tv_station_parachute,p,0,MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,,15.3,11.5,3,
18,downtown_parachute_1,p,0,MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,,16.3,12.3,3,
19,lumber_prison,c,0,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,90.3,77.4,3,
20,port_crane_heli_1,h,0,MP_BR_INGAME/ATTRACT_RT_HELI_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_helo,,31.2,25,3,
