0,none,1,default,default,,0,CAMOS/DEFAULT,menu_default_slot,1,
1,camo_01a,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01A,ui_camo_01a,1,
2,camo_01b,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01B,ui_camo_01b,1,
3,camo_01c,1,spray,challenge,,0,CAMOS/CAMO_01C,ui_camo_01c,1,
4,camo_01d,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01D,ui_camo_01d,1,
5,camo_01e,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01E,ui_camo_01e,1,
6,camo_01f,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01F,ui_camo_01f,1,
7,camo_01g,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1,
8,camo_01h,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01H,ui_camo_01h,1,
9,camo_01i,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01I,ui_camo_01i,1,
10,camo_01j,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01J,ui_camo_01j,1,
11,camo_02a,1,woodland,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_02A,ui_camo_02a,1,
12,camo_02b,1,woodland,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_02B,ui_camo_02b,1,
13,camo_02c,1,woodland,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_02C,ui_camo_02c,1,
14,camo_02d,1,woodland,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_02D,ui_camo_02d,1,
15,camo_02e,1,woodland,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_02E,ui_camo_02e,1,
16,camo_02f,1,woodland,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_02F,ui_camo_02f,1,
17,camo_02g,1,woodland,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_02G,ui_camo_02g,1,
18,camo_02h,1,woodland,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_02H,ui_camo_02h,1,
19,camo_02i,1,woodland,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_02I,ui_camo_02i,1,
20,camo_02j,1,woodland,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_02J,ui_camo_02j,1,
21,camo_03a,1,digital,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_03A,ui_camo_03a,1,
22,camo_03b,1,digital,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_03B,ui_camo_03b,1,
