inherit,mp/loot_set_global.csv,,,,
req,,tablet,1,,
chance,ammo,25,,#ammo by itself - most ammo should spawn with its gun,
chance,health,30,,,
chance,plunder,5,,,
chance,lethal,5,,,
chance,tactical,5,,,
chance,weapon,25,,,
chance,tablet,5,,,
item,brloot_ammo_12g,15,#common,,
item,brloot_ammo_50cal,25,#common,,
item,brloot_ammo_762,25,#common,,
item,brloot_ammo_919,25,#common,,
item,brloot_ammo_rocket,10,#common,,
item,brloot_offhand_concussion,18,#common,#tactical,
item,brloot_offhand_flash,18,#common,#tactical,
item,brloot_offhand_smoke,18,#common,#tactical,
item,brloot_assassination_tablet,45,,#tablets,
item,brloot_domination_tablet,30,,#tablets,
item,brloot_scavenger_tablet,25,,#tablets,
