ch_intel_season3_1_1,ch_intel_season3_1_1,4000,0,intel_season3_1_1,,,,,,,,menu_intel_w1_s1,0,
ch_intel_season3_1_2,ch_intel_season3_1_2,4000,1,intel_season3_1_2,coin,14561,18433,201,,,,menu_intel_w1_s2,0,
ch_intel_season3_1_3,ch_intel_season3_1_3,4000,1,intel_season3_1_3,none,-22512,19712,-150,,,,menu_intel_w1_s3,0,
ch_intel_season3_1_4,ch_intel_season3_1_4,4000,1,intel_season3_1_4,none,-22461,26935,1162,,,,menu_intel_w1_s4,0,
ch_intel_season3_1_5,ch_intel_season3_1_5,4000,1,intel_season3_1_5,coin,7425,39439,1295,,,,menu_intel_w1_s5,0,
ch_intel_season3_1_6,ch_intel_season3_1_6,4000,1,intel_season3_1_6,none,3775,48420,1185,,,,menu_intel_w1_s6,0,
ch_intel_season3_1_7,ch_intel_season3_1_7,4000,1,intel_season3_1_7,none,1023,45673,1493,,,,menu_intel_w1_s7,0,
ch_intel_season3_2_1,ch_intel_season3_2_1,4002,0,intel_season3_2_1,,,,,,,,menu_intel_w2_s1,0,
ch_intel_season3_2_2,ch_intel_season3_2_2,4002,1,intel_season3_2_2,coin,-24242,2819,-141,,,,menu_intel_w2_s2,0,
ch_intel_season3_2_3,ch_intel_season3_2_3,4002,1,intel_season3_2_3,none,-18402,21174,-403,,,,menu_intel_w2_s3,0,
ch_intel_season3_2_4,ch_intel_season3_2_4,4002,1,intel_season3_2_4,coin,-38535,-2143,-119,,,,menu_intel_w2_s4,0,
ch_intel_season3_2_5,ch_intel_season3_2_5,4002,1,intel_season3_2_5,none,-38550,-2146,-110,,,,menu_intel_w2_s5,0,
ch_intel_season3_2_6,ch_intel_season3_2_6,4002,1,intel_season3_2_6,none,16802,-7756,-365,,,,menu_intel_w2_s6,0,
ch_intel_season3_2_7_a,ch_intel_season3_2_7,4002,1,intel_season3_2_7,none,-10547,-13336,-120,,,,menu_intel_w2_s7,0,
ch_intel_season3_2_7_b,ch_intel_season3_2_7,4002,1,intel_season3_2_7,none,-14280,-15350,-199,,,,menu_intel_w2_s7,0,
ch_intel_season3_3_1,ch_intel_season3_3_1,4004,0,intel_season3_3_1,,,,,,,,menu_intel_w3_s1,0,
ch_intel_season3_3_2,ch_intel_season3_3_2,4004,1,intel_season3_3_2,coin,-13875,-15853,1462,,,,menu_intel_w3_s2,0,
ch_intel_season3_3_3,ch_intel_season3_3_3,4004,1,intel_season3_3_3,none,29860,-34416,280,,,,menu_intel_w3_s3,0,
ch_intel_season3_3_4,ch_intel_season3_3_4,4004,1,intel_season3_3_4,none,36656,-24317,-508,,,,menu_intel_w3_s4,0,
ch_intel_season3_3_5,ch_intel_season3_3_5,4004,1,intel_season3_3_5,none,36977,-29470,-452,,,,menu_intel_w3_s5,0,
ch_intel_season3_3_6,ch_intel_season3_3_6,4004,1,intel_season3_3_6,none,27394,18778,1476,,,,menu_intel_w3_s6,0,
ch_intel_season3_4_1,ch_intel_season3_4_1,4006,0,intel_season3_4_1,,,,,,,,menu_intel_w4_s1,0,
ch_intel_season3_4_2,ch_intel_season3_4_2,4006,1,intel_season3_4_2,coin,3877,51722,1212,,,,menu_intel_w4_s2,0,
ch_intel_season3_4_3,ch_intel_season3_4_3,4006,1,intel_season3_4_3,none,5646,51816,1327,,,,menu_intel_w4_s3,0,
ch_intel_season3_4_4,ch_intel_season3_4_4,4006,1,intel_season3_4_4,none,-572,17183,-222,,,,menu_intel_w4_s4,0,
ch_intel_season3_4_5,ch_intel_season3_4_5,4006,1,intel_season3_4_5,none,-24409,-14185,-30,,,,menu_intel_w4_s5,0,
ch_intel_season3_4_6,ch_intel_season3_4_6,4006,1,intel_season3_4_6,none,24998,-14367,-153,,,,placeholder_x,0,
ch_intel_season3_5_1,ch_intel_season3_5_1,5000,0,intel_season3_5_1,,,,,,,,menu_intel_w5_s1,0,
ch_intel_season3_5_2,ch_intel_season3_5_2,5000,1,intel_season3_5_2,coin,-25236,18158,-651,,,,menu_intel_w5_s2,0,
ch_intel_season3_5_3,ch_intel_season3_5_3,5000,1,intel_season3_5_3,none,-6368,1847,-288,,,,menu_intel_w5_s3,0,
ch_intel_season3_5_4,ch_intel_season3_5_4,5000,1,intel_season3_5_4,none,23352,-16785,-178,,,,menu_intel_w5_s4,0,
ch_intel_season3_5_5_a,ch_intel_season3_5_5,5000,1,intel_season3_5_5,none,26226,-34496,1269,,,,menu_intel_w5_s5,1,
ch_intel_season3_5_5_b,ch_intel_season3_5_5,5000,1,intel_season3_5_5,none,-25767,-31548,1595,,,,menu_intel_w5_s5,1,
ch_intel_season3_5_5_c,ch_intel_season3_5_5,5000,1,intel_season3_5_5,none,14607,15419,1914,,,,menu_intel_w5_s5,1,
ch_intel_6_1,ch_intel_6_1,5002,0,intel_6_1,none,,,,,,,menu_intel_w6_s1,0,
ch_intel_6_2,ch_intel_6_2,5002,1,intel_6_2,coin,51196,-39419,1123,,,,menu_intel_w6_s2,0,
ch_intel_6_3,ch_intel_6_3,5002,1,intel_6_3,none,50632,-40217,748,,,,menu_intel_w6_s3,0,
ch_intel_6_4,ch_intel_6_4,5002,1,intel_6_4,none,48520,-38363,692,,,,menu_intel_w6_s4,0,
ch_intel_6_5,ch_intel_6_5,5002,1,intel_6_5,none,51252,-37294,2220,,,,menu_intel_w6_s5,0,
ch_intel_6_6,ch_intel_6_6,5002,1,intel_6_6,none,51184,-40085,980,,,,menu_intel_w6_s6,0,
ch_intel_6_7,ch_intel_6_7,5002,1,intel_6_7,backpack,57915,25980,2196,0,270,0,menu_intel_w6_s6,0,
ch_intel_7_1,ch_intel_7_1,5004,0,intel_7_1,none,,,,,,,menu_intel_w7_s1,0,
ch_intel_7_2,ch_intel_7_2,5004,1,intel_7_2,coin,51680,-36707,2870.4,,,,menu_intel_w7_s2,0,
ch_intel_7_3,ch_intel_7_3,5004,1,intel_7_3,none,-13320,17765,-186,,,,menu_intel_w7_s3,0,
ch_intel_7_4,ch_intel_7_4,5004,1,intel_7_4,none,-13262,9719,-247,,,,menu_intel_w7_s4,0,
