a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,
maxrank,54,,,,,,,,,,,,,,,,
0,,0,4125,RANK/PFC,RANK/PFC_FULL,,4125,,,,,,1,1,ranked_up_1,RANK/PFC_FULL_N,
1,,4125,4815,RANK/PFC,RANK/PFC_FULL2,,8940,,,,,,2,2,ranked_up_1,RANK/PFC_FULL_N,
2,,8940,5505,RANK/PFC,RANK/PFC_FULL3,,14445,,,,,,3,3,ranked_up_1,RANK/PFC_FULL_N,
3,,14445,6195,RANK/LCPL,RANK/LCPL_FULL,,20640,,,,,,4,4,ranked_up_2,RANK/LCPL_FULL_N,
4,,20640,6885,RANK/LCPL,RANK/LCPL_FULL2,,27525,,,,,,5,5,ranked_up_2,RANK/LCPL_FULL_N,
5,,27525,7575,RANK/LCPL,RANK/LCPL_FULL3,,35100,,,,,,6,6,ranked_up_2,RANK/LCPL_FULL_N,
6,,35100,8265,RANK/CPL,RANK/CPL_FULL,,43365,,,,,,7,7,ranked_up_2,RANK/CPL_FULL_N,
7,,43365,8955,RANK/CPL,RANK/CPL_FULL2,,52320,,,,,,8,8,ranked_up_2,RANK/CPL_FULL_N,
8,,52320,9645,RANK/CPL,RANK/CPL_FULL3,,61965,,,,,,9,9,ranked_up_2,RANK/CPL_FULL_N,
9,,61965,10335,RANK/SGT,RANK/SGT_FULL,,72300,,,,,,10,10,ranked_up_3,RANK/SGT_FULL_N,
10,,72300,11025,RANK/SGT,RANK/SGT_FULL2,,83325,,,,,,11,11,ranked_up_3,RANK/SGT_FULL_N,
11,,83325,11715,RANK/SGT,RANK/SGT_FULL3,,95040,,,,,,12,12,ranked_up_3,RANK/SGT_FULL_N,
12,,95040,12405,RANK/SSGT,RANK/SSGT_FULL,,107445,,,,,,13,13,ranked_up_3,RANK/SSGT_FULL_N,
13,,107445,13095,RANK/SSGT,RANK/SSGT_FULL2,,120540,,,,,,14,14,ranked_up_3,RANK/SSGT_FULL_N,
14,,120540,13785,RANK/SSGT,RANK/SSGT_FULL3,,134325,,,,,,15,15,ranked_up_3,RANK/SSGT_FULL_N,
15,,134325,14475,RANK/GYSGT,RANK/GSGT_FULL,,148800,,,,,,16,16,ranked_up_4,RANK/GSGT_FULL_N,
16,,148800,15165,RANK/GYSGT,RANK/GSGT_FULL2,,163965,,,,,,17,17,ranked_up_4,RANK/GSGT_FULL_N,
17,,163965,15855,RANK/GYSGT,RANK/GSGT_FULL3,,179820,,,,,,18,18,ranked_up_4,RANK/GSGT_FULL_N,
18,,179820,16545,RANK/MSGT,RANK/MSGT_FULL,,196365,,,,,,19,19,ranked_up_4,RANK/GSGT_FULL_N,
19,,196365,17235,RANK/MSGT,RANK/MSGT_FULL2,,213600,,,,,,20,20,ranked_up_4,RANK/GSGT_FULL_N,
20,,213600,17925,RANK/MSGT,RANK/MSGT_FULL3,,231525,,,,,,21,21,ranked_up_4,RANK/GSGT_FULL_N,
21,,231525,18615,RANK/MGYSGT,RANK/MSGSGT_FULL,,250140,,,,,,22,22,ranked_up_5,RANK/MGSGT_FULL_N,
22,,250140,19305,RANK/MGYSGT,RANK/MSGSGT_FULL2,,269445,,,,,,23,23,ranked_up_5,RANK/MGSGT_FULL_N,
23,,269445,19995,RANK/MGYSGT,RANK/MSGSGT_FULL3,,289440,,,,,,24,24,ranked_up_5,RANK/MGSGT_FULL_N,
24,,289440,20685,RANK/2NDLT,RANK/2NDLT_FULL,,310125,,,,,,25,25,ranked_up_6,RANK/2NDLT_FULL_N,
25,,310125,21375,RANK/2NDLT,RANK/2NDLT_FULL2,,331500,,,,,,26,26,ranked_up_6,RANK/2NDLT_FULL_N,
26,,331500,22065,RANK/2NDLT,RANK/2NDLT_FULL3,,353565,,,,,,27,27,ranked_up_6,RANK/2NDLT_FULL_N,
27,,353565,22755,RANK/LT,RANK/LT_FULL,,376320,,,,,,28,28,ranked_up_6,RANK/LT_FULL_N,
