0,optic,CAS/ATTACHMENT_CAT_OPTIC,4,0,loadout_showcase_preview_optic,loadout_showcase_preview_small_optic,loadout_showcase_preview_large_optic,tag_scope,,,,1,1,1,
1,muzzle,CAS/ATTACHMENT_CAT_MUZZLE,1,1,loadout_showcase_preview_muzzle,loadout_showcase_preview_small_muzzle,loadout_showcase_preview_large_muzzle,tag_silencer,,,,0,0,0,
2,frontpiece,CAS/ATTACHMENT_CAT_FRONT,2,2,loadout_showcase_preview_barrel,loadout_showcase_preview_small_barrel,loadout_showcase_preview_large_barrel,tag_barrel_attach,2,,,0,1,0,
3,undermount,CAS/ATTACHMENT_CAT_UNDERMOUNT,6,3,loadout_showcase_preview_underbarrel,loadout_showcase_preview_underbarrel,loadout_showcase_preview_large_underbarrel,tag_grip_attach,,,,1,0,1,
4,magazine,CAS/ATTACHMENT_CAT_MAGAZINE,7,4,loadout_showcase_preview_magazine,loadout_showcase_preview_small_magazine,loadout_showcase_preview_large_magazine,j_mag1,,,,0,0,0,
5,reargrip,CAS/ATTACHMENT_CAT_REARGRIP,8,5,loadout_showcase_preview_reargrip,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_reargrip,tag_pistolgrip_attach,,,,1,0,1,
6,backpiece,CAS/ATTACHMENT_CAT_BACK,5,6,loadout_showcase_preview_stock,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_stock,tag_stock_attach,,,,1,0,1,
7,extra,CAS/ATTACHMENT_CAT_EXTRA,3,7,loadout_showcase_preview_laser,loadout_showcase_preview_small_laser,loadout_showcase_preview_large_laser,tag_laser_attach,,,,1,0,1,
8,extrapstl,CAS/ATTACHMENT_CAT_EXTRA,3,7,loadout_showcase_preview_laser,loadout_showcase_preview_small_laser,loadout_showcase_preview_large_laser,tag_laser_attach,,,,1,1,0,
9,gunperk,CAS/ATTACHMENT_CAT_PERK,9,8,loadout_showcase_preview,loadout_showcase_preview_small,loadout_showcase_preview_large,,,,,0,0,0,
10,trigger,CAS/ATTACHMENT_CAT_TRIGGER,6,9,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,tag_trigger_hide,,,,1,1,1,
11,pump,CAS/ATTACHMENT_CAT_PUMP,5,10,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_grip_attach,,,,0,0,0,
12,pumpgrip,CAS/ATTACHMENT_CAT_PUMP_GRIP,6,10,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_guard_attach,,,,0,0,0,
13,guard,CAS/ATTACHMENT_CAT_GUARD,8,10,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_silencer,,,,0,0,0,
14,cable,CAS/ATTACHMENT_CAT_CABLE,1,10,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_barrel_attach,,,,0,0,0,
15,arms,CAS/ATTACHMENT_CAT_ARM,2,11,loadout_showcase_preview_barrel,loadout_showcase_preview_small_barrel,loadout_showcase_preview_large_barrel,tag_brass,2,,,0,1,0,
16,bolt,CAS/ATTACHMENT_CAT_BOLT,7,12,loadout_showcase_preview_magazine,loadout_showcase_preview_small_magazine,loadout_showcase_preview_large_magazine,tag_barrel_attach,,,,0,0,0,
17,boltaction,CAS/ATTACHMENT_CAT_BOLTACTION,8,12,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,j_bolt,,,,0,0,0,
18,charm,,,,loadout_showcase_preview_charm,loadout_showcase_preview_small_charm,loadout_showcase_preview_large_charm,,,,,0,0,0,
19,sticker,,,,loadout_showcase_preview_sticker,loadout_showcase_preview_small_sticker,loadout_showcase_preview_large_sticker,,,,,0,0,0,
