a0,b1,
american,Abdo,
american,Adamson,
american,Adelmeyer,
american,Afsar,
american,Ahn,
american,Allaway,
american,Alvarez,
american,Amaral,
american,Anderson,
american,Antoniazzi,
american,Arrizon,
american,Audick,
american,Bailey,
american,Baker,
american,Ball,
american,Barajas,
american,Barnes,
american,Bartlett,
american,Batchkoff,
american,Bauer,
american,Beck,
american,Binder,
american,Blizard,
american,Boon,
american,Bracamontes,
american,Bright,
american,Brooks,
american,Burgos,
american,Burrichter,
american,Canale,
american,Capparelli,
american,Carotenuto,
american,Carpenter,
american,Cecot,
american,Cervantes,
american,Chabert,
american,Chang,
american,Chapman,
american,Chen,
american,Chew,
american,Collier,
american,Cournoyer,
american,Cromwell,
american,Davies,
american,Day,
american,De La Garza,
american,De Lalla,
american,Dekel,
american,Del Rosario,
american,Denny,
american,Derhachov,
american,Dimond,
american,Drobot,
american,Dunford,
american,Dunnam,
american,Edwards,
american,Egan,
american,Egert,
american,Elenes,
american,Emslie,
american,Esposito,
american,Eurek,
american,Evans,
american,Evans,
american,Farrelly,
american,Faulk,
american,Fletcher,
american,Flores,
american,Fraki,
american,Friedrich,
american,Frittelli,
american,Garnellc,
american,Garrido,
american,Gaticac,
american,George,
american,Gilz,
american,Goldin,
american,Goldsworthy,
american,Greenberg,
american,Grigsby,
american,Groman,
american,Gropper,
american,Gunasingam,
american,Hagar,
american,Hagmaier,
american,Haile,
american,Hambarsumian,
american,Harris,
american,Harris,
american,Haun,
american,Heder,
american,Hernandez,
american,Herrera,
american,Hill,
american,Holmes,
american,Hong,
american,Horrocks,
american,House,
american,Indrikson,
american,Interrante,
american,Isaac,
american,Isaacson,
american,Isibor,
american,Jeffries,
american,Jones,
american,Jones,
american,Kagan,
american,Kal,
american,Kamara,
american,Kang,
american,Keele,
american,Kelly,
american,Kerby,
american,Khalsa,
american,Kimmich,
american,Krstikj,
american,Kurosaki,
american,Kutcher,
american,Lance,
american,Le,
american,Lebessis,
american,Lee,
american,Lepine,
american,Leviste,
american,Limaye,
american,Lin,
american,Linde,
american,Liu,
american,Lockwood,
american,Loisel,
american,Lopez,
american,Ludwig,
american,Luo,
american,Mackenzie,
american,Madden,
american,Malach,
american,Mardirossian,
american,Marin,
american,Mason,
american,Maynard,
american,McAdams,
american,McCabe,
american,McCarthy,
american,McClellan,
american,McKisic,
american,Mickner,
american,Miller,
american,Minkoff,
american,Molchanov,
american,Moody,
american,Morales,
american,Mundy,
american,Myers,
american,Najera,
american,Natale,
american,Negus,
