0,fieldupgrade,super_fulton,300,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,,1,MP_BR_INGAME/ITEM_TYPE_SUPER,80,25,
1,special,self_revive_token,200,MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE,MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE_DESC,ui_mp_br_loot_icon_revive_item,1,MP_BR_INGAME/ITEM_TYPE_LAST_STAND,100,25,
2,special,armor_bundle,100,MP_BR_INGAME/KIOSK_ITEM_ARMOR_PLACE_BUNDLE,MP_BR_INGAME/KIOSK_ITEM_ARMOR_PLATE_BUNDLE_DESC,ui_mp_br_loot_icon_health_armor_plates,1,MP_BR_INGAME/ITEM_TYPE_HEALTH,80,25,
7,fieldupgrade,super_support_box,100,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,,3,LOOT_MP/ITEM_TYPE_AMMO,80,25,
8,fieldupgrade,super_recon_drone,100,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,,3,MP_BR_INGAME/ITEM_TYPE_SUPER,80,25,
9,fieldupgrade,super_ammo_drop,50,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,ui_mp_br_loot_icon_ammo_high,3,LOOT_MP/ITEM_TYPE_AMMO,80,25,
10,fieldupgrade,super_armor_drop,60,MP_BR_INGAME/KIOSK_ITEM_ARMOR_REFILL,MP_BR_INGAME/KIOSK_ITEM_ARMOR_REFILL_DESC,ui_mp_br_loot_icon_health_armor_box,3,MP_BR_INGAME/ITEM_TYPE_SUPER,80,25,
11,fieldupgrade,super_tac_insert,50,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,,3,MP_BR_INGAME/ITEM_TYPE_SUPER,80,25,
13,killstreak,uav,200,,,,4,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,80,25,
14,killstreak,precision_airstrike,500,,,,4,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,80,25,
15,killstreak,toma_strike,500,,,,4,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,80,25,
16,vehicle,tac_rover,200,VEHICLES/TAC_ROVER,VEHICLES/TAC_ROVER_DESC,,5,MP_BR_INGAME/ITEM_TYPE_VEHICLE,80,25,
