0,none,KILLSTREAKS/NONE,KILLSTREAKS/NONE_DESC,,,,,,,,,specialty_ks_null,specialty_uav_crate,specialty_null,,0,specialty_ks_null,specialty_ks_null,,,camera_killstreak_overview,,,,,placeholder_x,
1,uav,KILLSTREAKS/UAV,KILLSTREAKS/UAV_DESC,4,7,500,uav_achieve,uav,uav,1,100,hud_icon_killstreak_uav,hud_icon_killstreak_uav,hud_icon_killstreak_uav,hud_icon_killstreak_uav,1,icon_killstreak_slot_uav,hud_icon_killstreak_uav,SUPPORT,assists,camera_killstreak_uav,mp_streak_tutorial_uav,hud_icon_killstreak_uav,,14,icon_killstreak_uav,
2,airdrop,KILLSTREAKS/AIRDROP,KILLSTREAKS/AIRDROP_DESC,4,7,500,airdrop_achieve,airdrop,airdrop,1,100,hud_icon_killstreak_carepackage,hud_icon_killstreak_carepackage,hud_icon_killstreak_carepackage,hud_icon_killstreak_carepackage,1,icon_killstreak_slot_carepackage,hud_icon_killstreak_carepackage,SUPPORT,,camera_killstreak_carepackage,mp_streak_tutorial_care_package,hud_icon_killstreak_carepackage,,15,icon_killstreak_carepackage,
3,counter_uav,KILLSTREAKS/COUNTER_UAV,KILLSTREAKS/COUNTER_UAV_DESC,3,6,375,counter_uav_achieve,counter_uav,counter_uav,1,100,icon_ks_ground_jammer,icon_ks_ground_jammer,icon_ks_ground_jammer,icon_ks_ground_jammer,0,icon_ks_ground_jammer,icon_ks_ground_jammer,SUPPORT,assists,,,icon_ks_ground_jammer,,,placeholder_x,
4,precision_airstrike,KILLSTREAKS/PRECISION_AIRSTRIKE,KILLSTREAKS/PRECISION_AIRSTRIKE_DESC,5,8,625,precision_airstrike_achieve,precision_airstrike,precision_airstrike,1,200,hud_icon_killstreak_airstrike,hud_icon_killstreak_airstrike,hud_icon_killstreak_airstrike,hud_icon_killstreak_airstrike,1,icon_killstreak_slot_airstrike,hud_icon_killstreak_airstrike,LETHAL,,camera_killstreak_pairstrike,mp_streak_tutorial_airstrike,hud_icon_killstreak_airstrike,hud_icon_killstreak_airstrike,18,icon_killstreak_airstrike,
5,directional_uav,KILLSTREAKS/DIRECTIONAL_UAV,KILLSTREAKS/DIRECTIONAL_UAV_DESC,12,15,1500,directional_uav_achieve,directional_uav,directional_uav,1,150,hud_icon_killstreak_auav,hud_icon_killstreak_auav,hud_icon_killstreak_auav,hud_icon_killstreak_auav,1,icon_killstreak_slot_auav,hud_icon_killstreak_auav,SUPPORT,assists,camera_killstreak_auav,mp_streak_tutorial_overseer,hud_icon_killstreak_auav,,28,icon_killstreak_auav,
6,nuke,KILLSTREAKS/TACTICAL_NUKE,KILLSTREAKS/TACTICAL_NUKE_DESC,30,33,3750,nuke_achieve,nuke,nuke,1,100,hud_icon_killstreak_nuke,hud_icon_killstreak_nuke,hud_icon_killstreak_nuke,hud_icon_killstreak_nuke,0,icon_killstreak_slot_nuke,hud_icon_killstreak_nuke,LETHAL,,,,hud_icon_killstreak_nuke,icon_killstreak_tablet_nuke,,placeholder_x,
7,bradley,KILLSTREAKS/BRADLEY,KILLSTREAKS/BRADLEY_DESC,7,10,875,light_tank_achieve,light_tank,light_tank,1,100,hud_icon_killstreak_bradley,hud_icon_killstreak_bradley,hud_icon_killstreak_bradley,hud_icon_killstreak_bradley,1,icon_killstreak_slot_bradley,hud_icon_killstreak_bradley,LETHAL,,camera_killstreak_bradley,mp_streak_tutorial_bradley,hud_icon_killstreak_bradley,,19,icon_killstreak_bradley,
8,radar_drone_recon,KILLSTREAKS/RADAR_DRONE_RECON,KILLSTREAKS/RADAR_DRONE_RECON_DESC,3,6,375,radar_drone_achieve,radar_drone,radar_drone,1,100,hud_icon_killstreak_radardrone_recon,hud_icon_killstreak_radardrone_recon,hud_icon_killstreak_radardrone_recon,hud_icon_killstreak_radardrone_recon,0,icon_killstreak_slot_radardrone_recon,hud_icon_killstreak_radardrone_recon,SUPPORT,,,mp_streak_tutorial_recon_drone,hud_icon_killstreak_radardrone_recon,,11,placeholder_x,
9,radar_drone_escort,KILLSTREAKS/RADAR_DRONE_ESCORT,KILLSTREAKS/RADAR_DRONE_ESCORT_DESC,3,6,375,radar_drone_achieve,radar_drone,radar_drone,1,100,hud_icon_killstreak_radardrone_escort,hud_icon_killstreak_radardrone_escort,hud_icon_killstreak_radardrone_escort,hud_icon_killstreak_radardrone_escort,0,icon_killstreak_slot_radardrone_escort,hud_icon_killstreak_radardrone_escort,SUPPORT,,,,hud_icon_killstreak_radardrone_escort,,11,placeholder_x,
