req,,weapon,1,,,,
req,,ammo,1,,,,
req,,,1,,,2,
req,,,1,,,,
req,brloot_plunder_cash_uncommon_2,plunder,1,,,,
chance,ammo,41,#Ammo should be spawned dependent on weapons that pop out of cache or at random,,,,
chance,health,155,,,,,
chance,plunder,158,,,,,
chance,perkpoint,0,,,,,
chance,killstreak,1,,,,,
chance,lethal,135,,,,,
chance,tactical,135,,,,,
chance,super,200,,,,,
chance,weapon,175,,,,,
chance,token,0,,,,,
chance,gear,0,,,,,
chance,tablet,0,,,,,
item,brloot_ammo_12g,20,#common,,,,
item,brloot_ammo_50cal,20,#common,,,,
item,brloot_ammo_762,30,#common,,,,
item,brloot_ammo_919,20,#common,,,,
item,brloot_ammo_rocket,10,#common,,,,
item,brloot_offhand_atmine,8,#rare,,,,
item,brloot_offhand_claymore,8,#rare,,,,
item,brloot_offhand_c4,14,#uncommon,,,,
item,brloot_offhand_frag,18,#common,,,,
item,brloot_offhand_molotov,18,#common,,,,
item,brloot_offhand_semtex,18,#common,,,,
item,brloot_offhand_thermite,14,#uncommon,,,,
item,brloot_offhand_throwingknife,18,#common,,,,
item,brloot_health_adrenaline,15,#common,,,,
item,brloot_offhand_concussion,15,#common,,,,
item,brloot_offhand_decoy,15,#common,,,,
item,brloot_offhand_flash,15,#common,,,,
item,brloot_offhand_gas,8,#uncommon,,,,
item,brloot_offhand_heartbeatsensor,6,#rare,,,,
item,brloot_offhand_smoke,14,#common,,,,
item,brloot_offhand_snapshot,8,#uncommon,,,,
item,brloot_offhand_taccover,30,#rare,,,,
item,brloot_offhand_trophysystem,15,#epic,,,,
item,brloot_killstreak_recondrone,15,#epic,,,,
item,brloot_super_deadsilence,30,#rare,,,,
item,brloot_super_stoppingpower,5,#legendary,,,,
item,brloot_super_munitionsbox,5,#legendary,,,,
item,brloot_weapon_famas_epic,6,#epic,,,,
item,brloot_weapon_famas_lege,2,#legendary,,,,
item,brloot_weapon_mcx_comm,1,#common,,,,
item,brloot_weapon_mcx_unco,23,#uncommon,,,,
item,brloot_weapon_mcx_rare,14,#rare,,,,
item,brloot_weapon_m4_epic,6,#epic,,,,
item,brloot_weapon_m4_lege,2,#legendary,,,,
item,brloot_weapon_fal_epic,6,#epic,,,,
item,brloot_weapon_fal_lege,2,#legendary,,,,
item,brloot_weapon_mp7_comm,3,#rare,,,,
item,brloot_weapon_mp7_unco,6,#epic,,,,
item,brloot_weapon_mp7_rare,14,#rare,,,,
item,brloot_weapon_mp5_epic,6,#epic,,,,
item,brloot_weapon_mp5_lege,2,#legendary,,,,
item,brloot_weapon_uzi_rare,14,#rare,,,,
item,brloot_weapon_p90_epic,6,#epic,,,,
item,brloot_weapon_p90_lege,2,#legendary,,,,
item,brloot_weapon_m870_unco,23,#common,,,,
item,brloot_weapon_m870_comm,1,#uncommon,,,,
item,brloot_weapon_m870_rare,14,#rare,,,,
item,brloot_weapon_dp12_epic,6,#epic,,,,
item,brloot_weapon_dp12_lege,2,#legendary,,,,
item,brloot_weapon_origin12_epic,6,#epic,,,,
item,brloot_weapon_origin12_lege,2,#legendary,,,,
item,brloot_weapon_p320_comm,1,#common,,,,
item,brloot_weapon_p320_unco,23,#uncommon,,,,
item,brloot_weapon_p320_rare,14,#rare,,,,
item,brloot_weapon_deagle_epic,6,#epic,,,,
item,brloot_weapon_deagle_lege,2,#legendary,,,,
item,brloot_weapon_dragunov_epic,6,#epic,,,,
item,brloot_weapon_dragunov_lege,2,#legendary,,,,
item,brloot_weapon_marlin_rare,14,#rare,,,,
item,brloot_weapon_kar98_epic,6,#epic,,,,
item,brloot_weapon_kar98_lege,2,#legendary,,,,
item,brloot_weapon_as50_lege,4,#legendary,,,,
item,brloot_weapon_mg34_comm,1,#common,,,,
item,brloot_weapon_mg34_unco,23,#uncommon,,,,
item,brloot_weapon_mg34_rare,14,#rare,,,,
item,brloot_weapon_pkm_epic,6,#epic,,,,
item,brloot_weapon_pkm_lege,2,#legendary,,,,
item,brloot_weapon_carlg_epic,12,#legendary,,,,
item,brloot_weapon_rpg7_comm,1,#common,,,,
item,brloot_weapon_mgl32_lege,4,#legendary,,,,
item,brloot_armor_plate,100,#common,,,,
item,brloot_plunder_cash_uncommon_1,33,#uncommon,,,,
item,brloot_plunder_cash_uncommon_2,30,#uncommon,,,,
item,brloot_plunder_cash_uncommon_3,20,#uncommon,,,,
item,brloot_plunder_cash_rare_1,15,#rare,,,,
item,brloot_killstreak_uav,25,#legendary,,,,
item,brloot_killstreak_clusterstrike,10,#legendary,,,,
item,brloot_killstreak_precision_airstrike,10,#legendary,,,,
item,brloot_killstreak_shieldturret,55,#epic,,,,
