0,special,armor_bundle,15,MP_BR_INGAME/KIOSK_ITEM_ARMOR_PLACE_BUNDLE,MP_BR_INGAME/KIOSK_ITEM_ARMOR_PLATE_BUNDLE_DESC,ui_mp_br_loot_icon_health_armor_plates_bundle,1,MP_BR_INGAME/ITEM_TYPE_HEALTH,80,25,0,
1,special,gas_mask,30,MP/BR_GASMASK,MP/BR_GASMASK_DESC,ui_mp_br_loot_icon_gear_helmet,1,MP_BR_INGAME/ITEM_TYPE_GEAR,80,0,0,
2,killstreak,toma_strike,30,,,,1,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,80,25,0,
3,killstreak,precision_airstrike,35,,,,1,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,80,25,0,
4,killstreak,uav,40,,,,1,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,80,25,0,
5,special,self_revive_token,40,MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE,MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE_DESC,ui_mp_br_loot_icon_revive_item,1,MP_BR_INGAME/ITEM_TYPE_LAST_STAND,100,0,0,
6,teamrevive,teamrevive,40,MP_BR_INGAME/KIOSK_ITEM_TEAM_REVIVE,MP_BR_INGAME/KIOSK_ITEM_TEAM_REVIVE_DESC,ui_mp_br_loot_icon_respawn_token,2,MP_BR_INGAME/REDEPLOY,100,0,0,
7,fieldupgrade,super_ammo_drop,45,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,ui_mp_br_loot_icon_ammo_high,1,MP_BR_INGAME/ITEM_TYPE_SUPER,80,25,0,
8,fieldupgrade,super_armor_drop,60,MP_BR_INGAME/KIOSK_ITEM_ARMOR_REFILL,MP_BR_INGAME/KIOSK_ITEM_ARMOR_REFILL_DESC,ui_mp_br_loot_icon_health_armor_box,1,MP_BR_INGAME/ITEM_TYPE_SUPER,80,25,0,
9,special,supply_drop,100,EQUIPMENT/ADVANCED_SUPPLY_DROP,EQUIPMENT/ADVANCED_SUPPLY_DROP_DESC,ui_mp_br_loot_icon_equipment_requisition_airdrop,1,MP_BR_INGAME/ITEM_TYPE_SUPER,0,0,0,
10,killstreak,directional_uav,30,,,,1,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,0,0,1,
11,special,gas_mask_durable,30,MP/BR_GASMASK_DURABLE,MP/BR_GASMASK_DURABLE_DESC,ui_mp_br_loot_icon_gear_helmet,1,MP_BR_INGAME/ITEM_TYPE_GEAR,0,0,1,
12,killstreak,circle_peek,30,,,,1,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,0,0,1,
