legend,player,icon_minimap_player,MP_BR_INGAME/PLAYER,,,,
legend,playerPing,ui_mp_br_mapmenu_ping_navigation_squadleader,MP_BR_INGAME/MAP_KEY_PLAYER_PING,,,,
top,contracts,,,1,,,
middle,armoryKiosk,ui_mp_br_mapmenu_legend_poi_shop,MP_BR_INGAME/ARMORY_KIOSK,,,,
middle,jugg,ui_mp_br_mapmenu_legend_juggernaut_player,MP_BR_INGAME/JUGG,,,,
bottom,koth,ui_mp_br_mapmenu_icon_poi_sb_koh,MP_BR_INGAME/ATTRACT_KOTH_NAME,,ui_mp_br_mapmenu_distance_icon_poi_sb,MP_BR_INGAME/ATTRACTIONS,
bottom,raceHeli,ui_mp_br_mapmenu_icon_poi_sb_race_helo,MP_BR_INGAME/ATTRACT_RT_HELI_NAME,,,,
bottom,raceParachute,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,,,,
bottom,raceVehicle,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,MP_BR_INGAME/ATTRACT_RT_NAME,,,,
bottom,train,ui_mp_br_mapmenu_legend_vehicle_train,VEHICLES/TRAIN,,,,
