loadoutName,AK47,SCAR,P90,Aug,Origin12,PKM,R870,MG34,Crossbow AX50,Marlin,M4,Famas,PP19,MP7,Origin12,Shotgun,HK121 - Balanced,L86 - CQB,Crossbow,HDR,Kilo433,Ram7,MP5,Crossbow,DP12,Uzi,Kar98,Dragunov,HK121,PKM,MCX - Long / Acc,ASH12 - Sniper,AUG - AR style,MP7 - CQB,R870 - Classic,HDR,Kar98,AX50,PKM,MG34,M4 - Long / Acc,AK47 - Big mag CQB,FAMAS - Long / Acc,MP5 - CQB,MP7 - Hybrid,Citori,Marlin - Acog,AX-50,PKM,L86 - Bipod,AK47,ASH12,Crossbow,P90,Aug,DP12,Dragunov,M14 - Sniper,L86 - Bipod,MG34,
loadoutPrimary,iw8_ar_akilo47,iw8_ar_scharlie,iw8_sm_papa90,iw8_sm_augolf,iw8_sh_oscar12,iw8_lm_pkilo,iw8_sh_romeo870,iw8_lm_mgolf34,iw8_sn_crossbow,iw8_sn_sbeta,iw8_ar_mike4,iw8_ar_falpha,iw8_sm_beta,iw8_sm_mpapa7,iw8_sh_oscar12,iw8_sh_charlie725,iw8_lm_kilo121,iw8_lm_lima86,iw8_sn_crossbow,iw8_sn_hdromeo,iw8_ar_kilo433,iw8_ar_tango21,iw8_sm_mpapa5,iw8_sn_crossbow,iw8_sh_dpapa12,iw8_sm_uzulu,iw8_sn_kilo98,iw8_sn_delta,iw8_lm_kilo121,iw8_lm_pkilo,iw8_ar_mcharlie,iw8_ar_asierra12,iw8_sm_augolf,iw8_sm_mpapa7,iw8_sh_romeo870,iw8_sn_hdromeo,iw8_sn_kilo98,iw8_sn_alpha50,iw8_lm_pkilo,iw8_lm_mgolf34,iw8_ar_mike4,iw8_ar_akilo47,iw8_ar_falpha,iw8_sm_mpapa5,iw8_sm_mpapa7,iw8_sh_charlie725,iw8_sn_sbeta,iw8_sn_alpha50,iw8_lm_pkilo,iw8_lm_lima86,iw8_ar_akilo47,iw8_ar_asierra12,iw8_sn_crossbow,iw8_sm_papa90,iw8_sm_augolf,iw8_sh_dpapa12,iw8_sn_delta,iw8_sn_mike14,iw8_lm_lima86,iw8_lm_mgolf34,
loadoutPrimaryAttachment1,none,holo2,reflex2,none,reflex,holo2,none,reflex,reflex,scope,reflex,holo2,reflex,none,none,scope,acog2,reflex,reflex,scope,reflex2,holo2,holo2,acog2,none,holo,scope,scope,holo2,none,acog2,vzscope,holo,brake,stockh,scope,none,scope,barlong,acog,holo2,reflex,acog2,reflex,holo,none,acog2,scope,comp,acog2,reflex4,holo2,bolt3,reflex,reflex,none,scope,vzscope,acog2,reflex,
loadoutPrimaryAttachment2,none,xmags,none,none,none,none,none,none,none,none,gl,none,none,none,none,barlong,brake,gripvert,none,none,none,none,none,none,none,none,none,none,none,none,silencer,silencer2,barlong,gripang,gripcust,none,none,stockl,xmags,none,brake,barcustnoguard,brake,brake,gripvert,none,none,none,xmags,comp,gl,none,acog,none,none,none,none,barlong,comp,none,
loadoutPrimaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,stockh,gripvertpro,barshort,none,none,none,none,none,none,none,none,none,none,none,none,gripvert,gripang,stocks,none,barlong,none,none,none,silencer,none,barcust2,drums,none,none,xmags,none,none,none,gripang,bipod,none,none,none,none,none,none,none,gripang,bipod,none,
loadoutPrimaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,barshort,none,none,none,none,none,none,none,none,none,none,none,none,none,barlong,none,gripvert,none,none,none,none,none,none,none,none,none,none,none,barlong,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,stockh,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,iw8_pi_mike1911,iw8_pi_papa320,iw8_pi_mike1911,iw8_sn_sbeta,iw8_la_rpapa7,iw8_sn_kilo98,iw8_pi_golf21,iw8_pi_mike1911,iw8_sn_alpha50,iw8_sm_mpapa7,iw8_pi_golf21,iw8_pi_mike1911,iw8_pi_mike1911,iw8_sh_charlie725,iw8_pi_golf21,iw8_pi_papa320,iw8_la_gromeo,iw8_la_kgolf,iw8_pi_decho,iw8_sm_beta,iw8_sh_charlie725,iw8_pi_golf21,iw8_pi_cpapa,iw8_sh_oscar12,iw8_pi_cpapa,iw8_la_rpapa7,iw8_pi_cpapa,iw8_pi_golf21,iw8_pi_golf21,iw8_pi_mike1911,iw8_sh_charlie725,iw8_pi_papa320,iw8_pi_papa320,iw8_pi_decho,iw8_pi_decho,iw8_sh_charlie725,none,iw8_pi_papa320,iw8_sn_crossbow,iw8_pi_golf21,iw8_pi_papa320,iw8_pi_decho,iw8_pi_papa320,iw8_pi_decho,iw8_pi_papa320,iw8_pi_papa320,iw8_sm_augolf,iw8_pi_golf21,iw8_sh_charlie725,iw8_pi_decho,iw8_pi_golf21,iw8_pi_papa320,iw8_pi_papa320,iw8_pi_golf21,iw8_pi_mike1911,iw8_pi_papa320,iw8_sm_mpapa7,iw8_sm_augolf,iw8_pi_decho,iw8_pi_mike1911,
loadoutSecondaryAttachment1,silencer,none,silencer,reflex,none,none,none,none,scope,reflex,none,none,silencer,reflex,none,brake,none,none,reflexmini,none,none,none,reflex,reflex,none,none,none,none,reflexmini,none,none,barlong,reflexmini,xmags,none,none,none,barlong,bolt2,none,barlong,brake,barlong,none,reflexmini,brake,none,none,none,barlong,none,none,silencer,silencer,silencer,none,none,none,barlong,none,
loadoutSecondaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,xmags,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,xmags,none,brake,none,none,none,xmags,none,none,xmags,none,xmags,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,silencer,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
