loadoutName,Event1,Event2,Event3,Event4,Event5,Event6,GG1,GG2,GG3,GG4,GG5,GG6,GG7,GG8,GG9,GG10,Final Run,
loadoutPrimaryAddBlueprintAttachments,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
loadoutPrimary,iw8_ar_akilo47,iw8_sm_mpapa7,iw8_ar_anovember94,iw8_sh_mike26,iw8_sn_alpha50,none,iw8_pi_cpapa,iw8_sh_romeo870,iw8_sm_mpapa5,iw8_sn_mike14,iw8_ar_falpha,iw8_sm_augolf,iw8_lm_mgolf34,iw8_sn_xmike109,iw8_la_mike32,iw8_sn_crossbow,none,
loadoutPrimaryAttachment1,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryVariantID,6,13,1,2,15,-1,21,18,19,8,6,23,14,2,0,5,0,
loadoutSecondaryAddBlueprintAttachments,none,none,1,1,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,none,iw8_me_riotshield,iw8_pi_mike1911,iw8_pi_cpapa,iw8_la_rpapa7,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment1,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryVariantID,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,
loadoutEquipmentPrimary,equip_frag,equip_semtex,equip_c4,equip_molotov,equip_claymore,none,equip_frag,equip_semtex,equip_c4,equip_molotov,equip_claymore,equip_frag,equip_semtex,equip_c4,equip_molotov,equip_claymore,none,
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutEquipmentSecondary,equip_flash,equip_concussion,equip_snapshot_grenade,equip_flash,equip_adrenaline,none,equip_flash,equip_concussion,equip_snapshot_grenade,equip_flash,equip_adrenaline,equip_flash,equip_concussion,equip_snapshot_grenade,equip_flash,equip_adrenaline,none,
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
