loadoutName,1911,X16,M19,Renetti,
loadoutPrimary,iw8_pi_mike1911,iw8_pi_golf21,iw8_pi_papa320,iw8_pi_mike9,
loadoutPrimaryAttachment1,barmid,barlong,barlong,barlong,
loadoutPrimaryAttachment2,minireddot03_mike1911,reflexmini2,reflexmini3,holo,
loadoutPrimaryAttachment3,xmagslrg,xmagslrg,xmagslrg,xmagslrg,
loadoutPrimaryAttachment4,comp,comp,comp,comp,
loadoutPrimaryAttachment5,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,
loadoutSecondary,iw8_fists,iw8_fists,iw8_fists,iw8_fists,
loadoutSecondaryAttachment1,none,none,none,none,
loadoutSecondaryAttachment2,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,
loadoutEquipmentPrimary,none,none,none,none,
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,
loadoutEquipmentSecondary,none,none,none,none,
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,
loadoutPerk1,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,
