loadoutName,1,2,3,4,5,6,7,8,9,10,
loadoutPrimary,iw8_ar_t9standard,iw8_ar_t9accurate,iw8_sm_t9handling,iw8_sm_t9heavy,iw8_pi_t9burst,iw8_sh_t9pump,iw8_ar_t9fastfire,iw8_pi_t9revolver,iw8_ar_t9mobility,iw8_ar_t9damage,
loadoutPrimaryAttachment1,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment2,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment3,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment4,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment1,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment2,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,
loadoutEquipmentPrimary,equip_frag,equip_semtex,equip_c4,equip_molotov,equip_throwing_knife,equip_throwing_knife,equip_molotov,equip_semtex,equip_c4,equip_frag,
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutEquipmentSecondary,equip_flash,equip_concussion,equip_snapshot_grenade,equip_decoy,equip_smoke,equip_flash,equip_concussion,equip_snapshot_grenade,equip_decoy,equip_smoke,
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
