???#rankid,#minxp,#xptonext,#maxxp,
0,0,800,800,
1,800,1000,1800,
2,1800,1000,2800,
3,2800,1000,3800,
4,3800,1000,4800,
5,4800,1000,5800,
6,5800,1000,6800,
7,6800,1000,7800,
8,7800,1000,8800,
9,8800,1000,9800,
10,9800,1200,11000,
11,11000,1200,12200,
12,12200,1200,13400,
13,13400,1200,14600,
14,14600,1200,15800,
15,15800,1200,17000,
16,17000,1200,18200,
17,18200,1200,19400,
18,19400,1200,20600,
19,20600,1200,21800,
20,21800,1400,23200,
21,23200,1600,24800,
22,24800,1800,26600,
23,26600,2000,28600,
24,28600,2200,30800,
25,30800,2400,33200,
26,33200,2600,35800,
27,35800,2800,38600,
28,38600,3000,41600,
29,41600,3000,44600,
30,44600,3200,47800,
31,47800,3200,51000,
32,51000,3400,54400,
33,54400,3400,57800,
34,57800,3600,61400,
35,61400,3600,65000,
36,65000,3800,68800,
37,68800,3800,72600,
38,72600,4000,76600,
39,76600,4000,80600,
40,80600,4200,84800,
41,84800,4200,89000,
42,89000,4400,93400,
43,93400,4400,97800,
44,97800,4400,102200,
45,102200,4600,106800,
46,106800,4600,111400,
47,111400,4800,116200,
48,116200,4800,121000,
49,121000,4800,125800,
50,125800,4800,130600,
51,130600,4800,135400,
52,135400,4800,140200,
53,140200,4800,145000,
