1,any,1,power_frag,LETHAL,MENU/LETHAL_CAPS,
2,any,1,power_throwingKnife,LETHAL,MENU/LETHAL_CAPS,
3,any,1,power_semtex,LETHAL,MENU/LETHAL_CAPS,
4,any,1,power_c4,LETHAL,MENU/LETHAL_CAPS,
5,any,1,power_claymore,LETHAL,MENU/LETHAL_CAPS,
5,any,1,power_helmet,LETHAL,MENU/LETHAL_CAPS,
6,any,2,power_concussionGrenade,TACTICAL,LUA_MENU/TACTICAL_CAPS,
7,any,2,power_smokeGrenade,TACTICAL,LUA_MENU/TACTICAL_CAPS,
8,any,2,power_trophy,TACTICAL,LUA_MENU/TACTICAL_CAPS,
9,any,2,power_adrenaline,TACTICAL,LUA_MENU/TACTICAL_CAPS,
10,any,2,power_flash,TACTICAL,LUA_MENU/TACTICAL_CAPS,
