loadoutName,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_1,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_2,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_3,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_4,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_5,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_6,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_7,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_8,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_9,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_10,MP_INGAME_ONLY/DEFAULT_CLASS_NAME_11_DEV,
loadoutPrimary,iw8_ar_falpha,iw8_sm_augolf,iw8_lm_kilo121,iw8_ar_akilo47,iw8_sn_alpha50,iw8_ar_mcharlie,iw8_sn_alpha50,iw8_ar_mike4,iw8_sm_augolf,iw8_lm_kilo121,iw8_sn_kilo98,
loadoutPrimaryAttachment1,reflex3,barmid,reflex,reflexmini,vzscope,reflex,none,reflex,none,none,none,
loadoutPrimaryAttachment2,brake,silencer,none,gripcust,barlong,silencer3,none,none,none,none,none,
loadoutPrimaryAttachment3,gripvert,pistolgrip03,none,barshortnoguard,fmj,none,none,none,none,none,none,
loadoutPrimaryAttachment4,none,none,none,fastreload,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment6,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,iw8_pi_papa320,iw8_pi_decho,iw8_me_riotshield,iw8_la_gromeo,iw8_sh_romeo870,iw8_pi_papa320,iw8_sh_romeo870,iw8_pi_mike1911,iw8_pi_mike1911,iw8_pi_golf21,iw8_pi_mike1911,
loadoutSecondaryAttachment1,none,reflex3,none,none,reflexmini,silencer,none,none,none,none,none,
loadoutSecondaryAttachment2,none,barshort,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment3,none,gunperk_fastmelee,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,
loadoutEquipmentPrimary,equip_frag,equip_thermite,equip_at_mine,equip_c4,equip_claymore,equip_throwing_knife,equip_c4,equip_frag,equip_frag,equip_frag,equip_frag,
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutEquipmentSecondary,equip_snapshot_grenade,equip_smoke,equip_decoy,equip_gas_grenade,equip_concussion,equip_snapshot_grenade,equip_flash,equip_flash,equip_flash,equip_flash,equip_flash,
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutGesture,iw8_ges_plyr_gesture000,iw8_ges_plyr_gesture000,iw8_ges_plyr_gesture000,iw8_ges_plyr_gesture000,iw8_ges_plyr_gesture000,ges_plyr_gesture009,ges_plyr_gesture009,ges_plyr_gesture009,ges_plyr_gesture009,ges_plyr_gesture009,ges_plyr_gesture009,
loadoutExecution,neck_stab,neck_stab,neck_stab,neck_stab,neck_stab,neck_stab,neck_stab,neck_stab,neck_stab,neck_stab,neck_stab,
loadoutSuper,none,none,none,none,none,none,none,none,none,none,none,
loadoutPerk1,specialty_quick_fix,specialty_covert_ops,specialty_heavy_metal,specialty_eod,specialty_scavenger_plus,specialty_quick_fix,specialty_scavenger_plus,specialty_tactical_recon,specialty_tactical_recon,specialty_tactical_recon,specialty_tactical_recon,
loadoutPerk2,specialty_restock,specialty_guerrilla,specialty_munitions_2,specialty_hardline,specialty_munitions_2,specialty_guerrilla,specialty_munitions_2,specialty_restock,specialty_restock,specialty_restock,specialty_restock,
loadoutPerk3,specialty_extra_shrapnel,specialty_huntmaster,specialty_warhead,specialty_tac_resist,specialty_tactical_recon,specialty_tactical_recon,specialty_warhead,specialty_eod,specialty_eod,specialty_eod,specialty_eod,
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutSpecialist,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutRole,role_tank,role_hunter,role_demolition,role_medic,role_tank,role_medic,role_tank,role_hunter,role_demolition,role_medic,role_hunter,
