mp_frontier,1309 -1105 637,9 207 0,-1177 1750 697,11 292 0,69 -1255 681,9 98 0,736 -293 456,4 165 0,
mp_metropolis,1173 1433 275,21 226 0,-2579 -783 119,18 64 0,-1873 1897 413,18 313 0,-329 88 239,21 229 0,
mp_proto,118 3055 1071,18 268 0,216 311 820,17 217 0,-519 1375 891,23 311 0,2820 514 819,19 224 0,
mp_quarry,-1376 612 992,45 309 0,-698 626 548,24 60 0,1452 -1831 552,14 114 0,1007 -119 656,20 181 0,
mp_divide,2988 436 927,30 179 0,-3303 1220 936,21 330 0,-1372 -754 1653,43 32 0,832 223 1515,34 154 0,
mp_desert,-2342 693 559,19 324 0,2249 1 528,2 216 0,-1121 -949 1618,48 23 0,-1443 -2797 1623,30 53 0,
mp_riot,664 2759 808,19 192 0,-1561 -3694 584,27 46 0,-857 337 588,28 240 0,430 -1572 786,40 125 0,
mp_parkour,-1029 3376 523,19 304 0,-1547 -3579 593,27 18 0,149 1074 445,17 242 0,-2749 21 810,24 358 0,
mp_skyway,2627 -234 34,10 178 0,1162 4773 292,23 227 0,2589 2215 677,31 241 0,-297 2838 228,18 304 0,
mp_breakneck,-42616 769 381,22 324 0,-37118 664 376,21 194 0,-40325 633 465,36 339 0,-40973 -1297 599,30 56 0,
mp_rivet,-1042 -1848 1135,21 78 0,165 2869 1177,25 248 0,-274 -24 1433,40 359 0,-391 -2995 1420,28 67 0,
mp_fallen,429 1128 1150,20 89 0,35 3075 1498,29 217 0,3051 1703 1544,27 201 0,-316 1006 1298,30 148 0,
mp_chasm,-41 2518 1858,14 233 0,-1659 -2627 1567,15 79 0,411 410 1751,19 219 0,322 -1604 1762,19 116 0 ,
mp_dart,-1565 2274 309,28 324 0,1633 -1503 326,27 138 0,801 856 631,27 209 0,114 394 362,16 291 0,
mp_fahrenheit,341 -1102 1167,30 231 0,1804 244 950,15 220 0,-998 -3646 880,21 61 0,1842 -2145 1117,26 149 0,
mp_flooded,1362 1710 622,23 235 0,513 58 651,25 157 0,-1051 -1383 305,10 23 0,1455 481 518,21 231 0,
mp_frag,-734 556 572,22 41 0,-981 3543 584,24 313 0,1801 -845 695,33 149 0,1550 1087 619,32 198 0,
mp_hashima,166 3056 615,28 162 0,183 2523 760,27 234 0,-1106 464 864,23 330 0,-2475 1802 407,11 43 0,
mp_lonestar,-1736 -778 237,11 41 0,1819 -68 525,27 143 0,535 948 748,37 207 0,1304 -1217 652,31 154 0,
mp_prisonbreak,-768 867 1567,30 212 0,-564 1999 1484,27 319 0,2239 -790 1180,13 149 0,1013 -2184 1056,8 140 0,
mp_skeleton,748 2320 709,30 196 0,665 -162 615,35 30 0,1285 3960 1033,38 297 0,-1264 -1999 737,30 57 0,
mp_snow,-1647 2444 761,31 320 0,986 862 301,15 315 0,-347 -2465 650,33 111 0,3231 2259 311,11 191 0,
mp_sovereign,1628 1544 457,24 230 0,659 -1063 726,32 127 0,-621 1692 680,28 319 0,403 141 721,48 140 0,
mp_strikezone,-1060 -176 213,25 332 0,1207 -1155 213,27 149 0,1783 671 90,16 171 0,-1569 977 110,8 327 0,
mp_strikezone_b,-1968 60 35423,24 12 0,737 -1595 35374,26 113 0,1620 1267 35222,22 216 0,13 -1609 35293,22 113 0,
mp_warhawk,-92 -2767 488,25 81 0,335 -1135 428,17 129 0,1352 2328 596,31 229 0,-413 1470 344,27 233 0,
mp_zebra,4442 248 809,22 170 0,3701 -1073 809,23 188 0,916 1071 1106,36 307 0,-207 -3292 1009,27 48 0,
mp_descent_new,1342 330 5929,35 210 0,-323 1755 5482,11 306 0,-60 -1647 5583,19 75 0,-412 335 5817,31 330 0,
