egg,1,5,10,kills_egg,349,SPLASHES/CHALLENGE_EGG,
baby,2,5,10,kills_baby,350,SPLASHES/CHALLENGE_BABY,
child,3,5,10,killstreaks,351,SPLASHES/CHALLENGE_CHILD,
teen_a,4,10,10,twos,352,SPLASHES/CHALLENGE_TEENA,
teen_b,5,5,10,teabags,353,SPLASHES/CHALLENGE_TEENB,
skunk,6,5,10,knife_kills,340,SPLASHES/CHALLENGE_SKUNK,
bear,7,5,10,jugg,341,SPLASHES/CHALLENGE_BEAR,
mantis,8,5,10,execution,342,SPLASHES/CHALLENGE_MANTIS,
trex,9,13,25,vehicle_kills,343,SPLASHES/CHALLENGE_TREX,
octopus,10,13,10,kills_adult,344,SPLASHES/CHALLENGE_OCTOPUS,
fox,11,5,10,car_puncher,345,SPLASHES/CHALLENGE_FOX,
secret1,12,13,25,plunder,346,SPLASHES/CHALLENGE_SECRET1,
secret2,13,13,25,br_placement,347,SPLASHES/CHALLENGE_SECRET2,
secret3,14,30,0,nuke,348,SPLASHES/CHALLENGE_SECRETFINAL,
ghost,15,20,0,,,,
