plunder_tiny,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,10,6,5,4,,
plunder_small,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,20,13,10,9,,
plunder_medium,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,40,25,20,18,,
plunder_medium_1x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_1X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,40,25,20,18,,
plunder_medium_2x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_2X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,80,50,40,35,,
plunder_medium_3x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_3X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,120,75,60,53,,
plunder_medium_4x,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL_4X,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,160,100,80,70,,
plunder_large,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,60,38,30,26,,
plunder_huge,plunder,ui_mp_br_mission_reward_plunder,MP_BR_INGAME/DOLLAR_VAL,MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,80,50,40,35,,
xp_small,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,br_reward_mission_xp,300,300,300,300,,
xp_medium,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,br_reward_mission_xp,500,500,500,500,,
xp_medium_1x,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP_1X,,,br_reward_mission_xp,500,500,500,500,,
xp_medium_2x,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP_2X,,,br_reward_mission_xp,600,600,600,600,,
xp_medium_3x,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP_3X,,,br_reward_mission_xp,700,700,700,700,,
xp_medium_4x,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP_4X,,,br_reward_mission_xp,800,800,800,800,,
xp_large,xp,ui_mp_br_mission_reward_xp,MP_BR_INGAME/VAL_XP,,,br_reward_mission_xp,1000,1000,1000,1000,,
weapon_xp_small,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP,,,br_reward_mission_weaponxp,200,200,200,200,,
weapon_xp_medium,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP,,,br_reward_mission_weaponxp,300,300,300,300,,
weapon_xp_medium_1x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP_1X,,,br_reward_mission_weaponxp,300,300,300,300,,
weapon_xp_medium_2x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP_2X,,,br_reward_mission_weaponxp,600,600,600,600,,
weapon_xp_medium_3x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP_3X,,,br_reward_mission_weaponxp,900,900,900,900,,
weapon_xp_medium_4x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP_4X,,,br_reward_mission_weaponxp,1200,1200,1200,1200,,
weapon_xp_large,weapon_xp,ui_mp_br_mission_reward_xp_weapon,MP_BR_INGAME/VAL_WEAPON_XP,,,br_reward_mission_weaponxp,400,400,400,400,,
drop_bag,drop_bag,ui_mp_br_mission_reward_dropbox,MP_BR_INGAME/DROP_BAG,,,br_reward_mission_misc,1,1,1,1,,
circle_peek,circle_peek,ui_mp_br_mission_reward_circle,MP_BR_INGAME/CIRCLE_PEEK,MP_BR_INGAME/LOOTCARD_SUBTITLE_TEAM_REWARD,,br_reward_mission_misc,1,1,1,1,,
loot_gasmask,loot_items,ui_mp_br_mission_reward_gasmask,EQUIPMENT/GASMASK,MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,br_reward_mission_misc,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,,
loot_gasmask_nosplash,loot_items,,EQUIPMENT/GASMASK,MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_gasmask,br_reward_mission_misc,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,,
brloot_killstreak_rcxd_rad,loot_items,ui_mp_br_mission_reward_gasmask,EQUIPMENT/GASMASK,MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,br_reward_mission_misc,brloot_killstreak_rcxd_rad,brloot_killstreak_rcxd_rad,brloot_killstreak_rcxd_rad,brloot_killstreak_rcxd_rad,,
brloot_killstreak_rcxd_rad_nosplash,loot_items,,EQUIPMENT/GASMASK,MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_gasmask,br_reward_mission_misc,brloot_killstreak_rcxd_rad,brloot_killstreak_rcxd_rad,brloot_killstreak_rcxd_rad,brloot_killstreak_rcxd_rad,,
loot_token,loot_items,loot_token_icon,MP_BR_INGAME/LOOT_TOKEN,,,br_reward_mission_misc,token,token,token,token,,
fire_sale,none,ui_mp_br_mission_reward_supplystation_sale,MP_BR_INGAME/FIRE_SALE,MP_BR_INGAME/LOOTCARD_SUBTITLE_PER_PLAYER,,br_reward_mission_misc,0,0,0,0,,
team_revive,none,ui_mp_br_mission_reward_token,MP_BR_INGAME/TEAM_REVIVE,MP_BR_INGAME/LOOTCARD_SUBTITLE_TEAM_REWARD,,br_reward_mission_misc,0,0,0,0,,
blueprint_chance,blueprint_chance,,,,,,0,0,0,0,,
loot_table,loot_table,,MP_BR_INGAME/LOOT_TABLE,,,,0,0,0,0,,
loot_table_token,none,,MP_BR_INGAME/LOOT_TABLE_TOKEN,,,,0,0,0,0,#doesn't spawn a token - only here so it shows on ui,
loot_cache_1,loot_cache,,MP_BR_INGAME/LOOT_CACHE,,,,0,0,0,0,,
loot_cache_2,loot_cache,,MP_BR_INGAME/LOOT_CACHE,,,,1,1,1,1,,
loot_cache_3,loot_cache,,MP_BR_INGAME/LOOT_CACHE,,,,2,2,2,2,,
reward_tier,reward_tier,,LUA_MENU/REWARD_TIER,,,,1,1,1,1,#no icon so it wont display on loot card,
reward_tier_1x,reward_tier,,LUA_MENU/REWARD_TIER,,,,1,1,1,1,,
reward_tier_2x,reward_tier,,LUA_MENU/REWARD_TIER,,,,2,2,2,2,,
reward_tier_3x,reward_tier,,LUA_MENU/REWARD_TIER,,,,3,3,3,3,,
reward_tier_4x,reward_tier,,LUA_MENU/REWARD_TIER,,,,4,4,4,4,,
loot_platepouch,loot_items,ui_mp_br_mission_reward_armor_satchel,EQUIPMENT/BR_PLATE_POUCH,MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,br_reward_mission_misc,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,,
loot_platepouch_nosplash,loot_items,,EQUIPMENT/BR_PLATE_POUCH,MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_armor_satchel,br_reward_mission_misc,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,brloot_plate_pouch,,
loot_questitem_nosplash,loot_items,,EQUIPMENT/BR_PLATE_POUCH,MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_armor_satchel,br_reward_mission_misc,brloot_x1_stash_cypher,brloot_x1_stash_cypher,brloot_x1_stash_cypher,brloot_x1_stash_cypher,,
uav,uav,hud_icon_killstreak_uav,KILLSTREAKS/UAV,,,br_reward_mission_misc,uav,uav,uav,uav,,
uav_directional,uav,hud_icon_killstreak_auav,KILLSTREAKS/DIRECTIONAL_UAV,,,br_reward_mission_misc,directional_uav,directional_uav,directional_uav,directional_uav,,
uav_counter,uav,hud_icon_killstreak_uav,KILLSTREAKS/SCRAMBLER_DRONE,,,br_reward_mission_misc,counter_uav,counter_uav,counter_uav,counter_uav,,
juggernaut,juggernaut,hud_icon_killstreak_juggernaut,KILLSTREAKS/JUGGERNAUT,,,br_reward_mission_misc,1,1,1,1,,
