mp_frontier,-23 461 442,7 269 0,-1175 1821 684,14 305 0,717 -92 649,17 214 0,-385 908 719,53 222 0,-547 -1238 662,17 70 0,
mp_metropolis,-743 -747 233,19 60 0,705 780 233,12 255 0,-1524 128 197,17 268 0,-615 2003 197,17 206 0,-162 -2288 547,35 125 0,
mp_proto,118 3055 1071,18 268 0,1723 422 556,6 336 0,-627 787 716,15 159 0,1226 34 638,16 163 0,,,
mp_quarry,532 -305 495,28 159 0,2546 893 752,43 235 0,445 -1973 556,29 135 0,-439 1147 461,26 358 0,-2446 -65 403,13 46 0,
mp_divide,-968 161 1005,37 21 0,-2734 1175 903,25 313 0,549 309 342,18 47 0,-409 -1315 1076,32 88 0,,,
mp_desert,-997 217 574,14 49 0,-581 -1682 618,12 121 0,2223 -503 584,17 139 0,-2369 669 604,28 311 0,1418 -1013 513,5 197 0,
mp_riot,769 -641 752,31 108 0,-1186 158 445,26 180 0,-636 1871 830,38 33 0,564 -1678 577,27 225 0,-25 -368 307,6 91 0,
mp_parkour,171 120 212,6 230 0,-29 -3743 396,19 109 0,-1170 -5 293,9 180 0,348 3434 605,29 220 0,1221 -1224 348,8 155 0,
mp_skyway,-648 2465 193,21 298 0,1849 1815 348,30 57 0,1791 -296 240,30 180 0,1068 2554 136,17 231 0,1519 1000 80,18 133 0,
mp_breakneck,-39341 686 343,22 205 0,-41259 615 295,25 319 0,-38537 304 235,21 154 0,-39282 -665 410,26 173 0,,,
mp_rivet,-850 -12 1099,11 1  0,215 -1418 1050,30 18 0,-1600 2848 1161,18 335 0,-1399 -273 1028,14 301 0,1460 1315 1173,28 227 0,
mp_fallen,320 1206 1110,14 74 0,-789 1775 1236,50 92 0,1250 860 1169,11 224 0,1234 2739 1111,27 43 0,-497 455 1264,26 50 0,
