default,REPLACE_ME,hud_icon_hardpoint_diamond,
squad_0,MP/SQUAD_SPAWN_SELECTION,,
squad_1,MP/SQUAD_SPAWN_SELECTION,,
squad_2,MP/SQUAD_SPAWN_SELECTION,,
squad_3,MP/SQUAD_SPAWN_SELECTION,,
squad_leader,MP/SQUAD_LEADER_SPAWN_SELECTION,,
dynamic_c130,MP_C130_SPAWN,hud_icon_killstreak_ac130,
spawn_selection_a,MP_SQUAD_SPAWN,icon_waypoint_status_plate,
spawn_selection_b,MP_SQUAD_SPAWN,icon_waypoint_status_plate,
spawn_selection_c,MP_SQUAD_SPAWN,icon_waypoint_status_plate,
spawn_selection_d,MP_SQUAD_SPAWN,icon_waypoint_status_plate,
spawn_selection_e,MP_SQUAD_SPAWN,icon_waypoint_status_plate,
gw_fob_alliesHQ,MP_ARM/HQ,icon_waypoint_ground_war_circle,
gw_fob_axisHQ,MP_ARM/HQ,icon_waypoint_ground_war_circle,
gw_fob_01,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_02,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_03,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_04,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_05,MP_ARM/FOB,icon_waypoint_status_plate,
gw_fob_01_locale_3,MP_PORT2_GW/CALLOUT_LUMBER,icon_waypoint_status_plate,
gw_fob_02_locale_3,MP_PORT2_GW/CALLOUT_BODYSHOP,icon_waypoint_status_plate,
gw_fob_03_locale_3,MP_PORT2_GW/CALLOUT_VACANT,icon_waypoint_status_plate,
gw_fob_04_locale_3,MP_PORT2_GW/CALLOUT_PROCESSING_CENTER,icon_waypoint_status_plate,
gw_fob_05_locale_3,MP_PORT2_GW/CALLOUT_STORAGE,icon_waypoint_status_plate,
gw_fob_01_locale_4,MP_BONEYARD_GW/CALLOUT_VISTA_POINT,icon_waypoint_status_plate,
gw_fob_02_locale_4,MP_BONEYARD_GW/CALLOUT_SCRAP_YARD_OFFICE,icon_waypoint_status_plate,
