RUSF,MENU/FACTION_ONE_SHORT,MENU/FACTION_ONE_SHORT,MP/FACTION_ONE_ELIMINATED,MP/FACTION_ONE_FORFEITED,,,hud_icon_faction_pacd_fx,ru,ui_iw7_match_faction_sdf,spetsnaz,red,,,LUA_MENU/THE_EAST,icon_faction_east_friendly_large,icon_faction_east_enemy_large,icon_faction_east_friendly_small,icon_faction_east_enemy_small,1000006,
USMC,MENU/FACTION_TWO_SHORT,MENU/FACTION_TWO_SHORT,MP/FACTION_TWO_ELIMINATED,MP/FACTION_TWO_FORFEITED,,,hud_icon_faction_sato_fx,us,ui_iw7_match_faction_unsa,USMC,babyBlue,,,LUA_MENU/THE_WEST,icon_faction_west_friendly_large,icon_faction_west_enemy_large,icon_faction_west_friendly_small,icon_faction_west_enemy_small,1000004,
SAS,MENU/FACTION_THREE_SHORT,MENU/FACTION_THREE_SHORT,MP/FACTION_THREE_ELIMINATED,MP/FACTION_THREE_FORFEITED,,,hud_icon_faction_sato_fx,uk,ui_iw7_match_faction_unsa,sas_urban,mudRed,,,LUA_MENU/THE_WEST,icon_faction_west_friendly_large,icon_faction_west_enemy_large,icon_faction_west_friendly_small,icon_faction_west_enemy_small,1000003,
SABF,MENU/FACTION_FOUR_SHORT,MENU/FACTION_FOUR_SHORT,MP/FACTION_FOUR_ELIMINATED,MP/FACTION_FOUR_FORFEITED,,,hud_icon_faction_pacd_fx,af,ui_iw7_match_faction_sdf,sa_militia,orangeRed,,,LUA_MENU/THE_EAST,icon_faction_east_friendly_large,icon_faction_east_enemy_large,icon_faction_east_friendly_small,icon_faction_east_enemy_small,1000007,
FIVE,MENU/FACTION_FIVE_SHORT,MENU/FACTION_FIVE_SHORT,MP/FACTION_FIVE_ELIMINATED,MP/FACTION_FIVE_FORFEITED,,,hud_icon_faction_pacd_fx,wc,ui_iw7_match_faction_sdf,sa_militia,orangeRed,,,LUA_MENU/THE_WEST,icon_faction_west_friendly_large,icon_faction_west_enemy_large,icon_faction_west_friendly_small,icon_faction_west_enemy_small,1000005,
SIX,MENU/FACTION_SIX_SHORT,MENU/FACTION_SIX_SHORT,MP/FACTION_SIX_ELIMINATED,MP/FACTION_SIX_FORFEITED,,,hud_icon_faction_sato_fx,ch,ui_iw7_match_faction_unsa,USMC,blue,,,LUA_MENU/THE_EAST,icon_faction_east_friendly_large,icon_faction_east_enemy_large,icon_faction_east_friendly_small,icon_faction_east_enemy_small,1000008,
SEVEN,MENU/FACTION_SEVEN_SHORT,MENU/FACTION_SEVEN_SHORT,MP/FACTION_SEVEN_ELIMINATED,MP/FACTION_SEVEN_FORFEITED,,,hud_icon_faction_sato_fx,ru,ui_iw7_match_faction_sdf,,,,,LUA_MENU/THE_EAST,icon_faction_east_friendly_large,icon_faction_east_enemy_large,icon_faction_east_friendly_small,icon_faction_east_enemy_small,1000009,
FREE,MENU/FREE_FOR_ALL,MENU/FREE_FOR_ALL,,,,,hud_icon_faction_sato_fx,uk,,,white,,,LUA_MENU/THE_WEST,icon_faction_west_friendly_large,icon_faction_west_enemy_large,icon_faction_west_friendly_small,icon_faction_west_enemy_small,0,
DEFAULT,MENU/MIL_SIM,MENU/MIL_SIM,,,,,hud_icon_faction_sato_fx,uk,,,white,,,LUA_MENU/THE_WEST,icon_faction_west_friendly_large,icon_faction_west_enemy_large,icon_faction_west_friendly_small,icon_faction_west_enemy_small,0,
BND,LUA_MENU_SIERRA/FACTION_BND_SHORT,LUA_MENU_SIERRA/FACTION_BND_SHORT,,,,,,,,,white,,,LUA_MENU_SIERRA/NATO,,,,,,
CIA,LUA_MENU_SIERRA/NATO,LUA_MENU_SIERRA/NATO,,,,,,,,,white,,,LUA_MENU_SIERRA/NATO,,,,,,
MI6,LUA_MENU_SIERRA/FACTION_MI6_SHORT,LUA_MENU_SIERRA/FACTION_MI6_SHORT,,,,,,,,,white,,,LUA_MENU_SIERRA/NATO,,,,,,
HVA,LUA_MENU_SIERRA/FACTION_HVA_SHORT,LUA_MENU_SIERRA/FACTION_HVA_SHORT,,,,,,,,,white,,,LUA_MENU_SIERRA/WARSAW_PACT,,,,,,
KGB,LUA_MENU_SIERRA/WARSAW_PACT,LUA_MENU_SIERRA/WARSAW_PACT,,,,,,,,,white,,,LUA_MENU_SIERRA/WARSAW_PACT,,,,,,
CDL,LUA_MENU_TANGO/CDL,LUA_MENU_TANGO/CDL,,,,,,,,,white,,,LUA_MENU_TANGO/CDL,,,,,,
