0,special,vehicle_refill_trophy,25,MP_BR_INGAME/VEHICLE_REFILL_TROPHY,MP_BR_INGAME/KIOSK_ITEM_VEHICLE_REFILL_TROPHY_DESC,ui_mp_br_loot_icon_truckwar_trophy,3,MP_BR_INGAME/ITEM_TYPE_VEHICLE,0,25,0,
1,special,vehicle_repair,15,MP_BR_INGAME/REPAIR_VEHICLE,MP_BR_INGAME/KIOSK_ITEM_REPAIR_VEHICLE_DESC,ui_mp_br_loot_icon_truckwar_repair,3,MP_BR_INGAME/ITEM_TYPE_VEHICLE,0,25,0,
2,special,vehicle_replace,60,MP_BR_INGAME/REPLACE_VEHICLE,MP_BR_INGAME/KIOSK_ITEM_REPLACE_VEHICLE_DESC,ui_mp_br_loot_icon_truckwar_redeploy,3,MP_BR_INGAME/ITEM_TYPE_VEHICLE,0,25,0,
3,special,armor_bundle,15,MP_BR_INGAME/KIOSK_ITEM_ARMOR_PLACE_BUNDLE,MP_BR_INGAME/KIOSK_ITEM_ARMOR_PLATE_BUNDLE_DESC,ui_mp_br_loot_icon_health_armor_plates_bundle,1,MP_BR_INGAME/ITEM_TYPE_HEALTH,80,25,0,
4,special,gas_mask,30,MP/BR_GASMASK,MP/BR_GASMASK_DESC,ui_mp_br_loot_icon_gear_helmet,1,MP_BR_INGAME/ITEM_TYPE_GEAR,80,0,0,
5,killstreak,toma_strike,30,,,,1,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,80,25,0,
6,killstreak,precision_airstrike,35,,,,1,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,80,25,0,
7,killstreak,uav,40,,,,1,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,80,25,0,
9,fieldupgrade,super_ammo_drop,45,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,ui_mp_br_loot_icon_ammo_high,1,MP_BR_INGAME/ITEM_TYPE_SUPER,80,25,0,
10,special,self_revive_token,40,MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE,MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE_DESC,ui_mp_br_loot_icon_revive_item,1,MP_BR_INGAME/ITEM_TYPE_LAST_STAND,100,0,0,
11,teamrevive,teamrevive,40,MP_BR_INGAME/KIOSK_ITEM_TEAM_REVIVE,MP_BR_INGAME/KIOSK_ITEM_TEAM_REVIVE_DESC,ui_mp_br_loot_icon_respawn_token,2,MP_BR_INGAME/REDEPLOY,100,0,0,
12,fieldupgrade,super_armor_drop,60,MP_BR_INGAME/KIOSK_ITEM_ARMOR_REFILL,MP_BR_INGAME/KIOSK_ITEM_ARMOR_REFILL_DESC,ui_mp_br_loot_icon_health_armor_box,1,MP_BR_INGAME/ITEM_TYPE_SUPER,80,25,0,
13,special,supply_drop,100,EQUIPMENT/ADVANCED_SUPPLY_DROP,EQUIPMENT/ADVANCED_SUPPLY_DROP_DESC,ui_mp_br_loot_icon_equipment_requisition_airdrop,1,MP_BR_INGAME/ITEM_TYPE_SUPER,0,0,0,
14,special,vehicle_upgrade_armor,20,MP_BR_INGAME/VEHICLE_UPGRADE_ARMOR,MP_BR_INGAME/KIOSK_ITEM_VEHICLE_UPGRADE_ARMOR_DESC,ui_mp_br_loot_icon_truckwar_armor,4,MP_BR_INGAME/ITEM_TYPE_VEHICLE,0,25,0,
15,special,vehicle_upgrade_trophy,30,MP_BR_INGAME/VEHICLE_UPGRADE_TROPHY,MP_BR_INGAME/KIOSK_ITEM_VEHICLE_UPGRADE_TROPHY_DESC,ui_mp_br_loot_icon_truckwar_trophy,4,MP_BR_INGAME/ITEM_TYPE_VEHICLE,0,25,0,
16,special,vehicle_upgrade_uav,40,MP_BR_INGAME/VEHICLE_UPGRADE_UAV,MP_BR_INGAME/KIOSK_ITEM_VEHICLE_UPGRADE_UAV_DESC,ui_mp_br_loot_icon_truckwar_radar,4,MP_BR_INGAME/ITEM_TYPE_VEHICLE,0,25,0,
17,special,vehicle_upgrade_barrel,30,MP_BR_INGAME/VEHICLE_UPGRADE_BARREL,MP_BR_INGAME/KIOSK_ITEM_VEHICLE_UPGRADE_BARREL_DESC,ui_mp_br_loot_icon_truckwar_barrel,4,MP_BR_INGAME/ITEM_TYPE_VEHICLE,0,25,0,
