0,leaderboard_cache_read_failure,2,
1,leaderboard_max_writes,3,
2,leaderboard_boosting_client,2,
3,leaderboard_boosting_server,2,
4,leaderboard_failed_xuid_receiver,2,
5,leaderboard_failed_xuid_giver,2,
6,leaderboard_offensive_lobby_player,2,
7,leaderboard_exploiting_lobby_player,2,
8,leaderboard_cheating_lobby_player,2,
9,leaderboard_boosting_lobby_player,2,
10,leaderboard_offensive_coop_player,2,
11,leaderboard_exploiting_coop_player,2,
12,leaderboard_cheating_coop_player,2,
13,leaderboard_boosting_coop_player,2,
14,leaderboard_recent_activity,1,
15,leaderboard_offensive_ugc,2,
