0,ch_intel_kills,0|1|2|3,0,0,5,350,10,100,15,150,25,250,INTEL_MP/KILLS_GENERIC_DESC,INTEL_MP_KILLS_GENERIC_DESC,,INTEL_MP/KILLS_PLURAL_DESC,INTEL_MP/KILLS_SHORT_DESC,,,,,,,0,
1,ch_intel_super_kills,0|1|2|3,,,1,350,2,100,3,150,5,250,INTEL_MP/SUPER_KILLS_GENERIC_DESC,INTEL_MP_SUPER_KILLS_GENERIC_DESC,INTEL_MP/SUPER_KILLS_SINGULAR_DESC,INTEL_MP/SUPER_KILLS_PLURAL_DESC,INTEL_MP/KILL_SHORT_DESC,,,,,,,0,
2,ch_intel_score,0|1|2|3,1,1,1000,350,1500,100,2000,150,2500,250,INTEL_MP/SCORE_GENERIC_DESC,INTEL_MP_SCORE_GENERIC_DESC,,INTEL_MP/SCORE_PLURAL_DESC,INTEL_MP/SCORE_SHORT_DESC,,,,,,,0,
3,ch_intel_scorestreaks,0|1|2|3,,,1,350,2,100,3,150,6,250,INTEL_MP/SCORESTREAKS_GENERIC_DESC,INTEL_MP_SCORESTREAKS_GENERIC_DESC,INTEL_MP/SCORESTREAKS_SINGULAR_DESC,INTEL_MP/SCORESTREAKS_PLURAL_DESC,INTEL_MP/SCORESTREAKS_SHORT_DESC,,,,,,,0,
4,ch_intel_kills_or_assists,0|1|2|3,,1,10,350,20,100,25,150,30,250,INTEL_MP/KILLS_OR_ASSISTS_GENERIC_DESC,INTEL_MP_KILLS_OR_ASSISTS_GENERIC_DESC,,INTEL_MP/KILLS_OR_ASSISTS_PLURAL_DESC,INTEL_MP/KILLS_OR_ASSISTS_SHORT_DESC,,,,,,,0,
5,ch_intel_headshots,0|1|2|3,3,,1,350,2,100,3,150,5,250,INTEL_MP/HEADSHOTS_GENERIC_DESC,INTEL_MP_HEADSHOTS_GENERIC_DESC,INTEL_MP/HEADSHOTS_SINGULAR_DESC,INTEL_MP/HEADSHOTS_PLURAL_DESC,INTEL_MP/HEADSHOTS_SHORT_DESC,,,,,,,0,
6,ch_intel_double_kills,0|1|2|3,,,1,350,2,100,3,150,4,250,INTEL_MP/DOUBLE_KILLS_GENERIC_DESC,INTEL_MP_DOUBLE_KILLS_GENERIC_DESC,INTEL_MP/DOUBLE_KILLS_SINGULAR_DESC,INTEL_MP/DOUBLE_KILLS_PLURAL_DESC,INTEL_MP/DOUBLE_KILLS_SHORT_DESC,,,,,,,0,
7,ch_intel_kills_this_life,0|1|2|3,,2,2,350,3,100,5,150,6,250,INTEL_MP/KILLS_THIS_LIFE_GENERIC_DESC,INTEL_MP_KILLS_THIS_LIFE_GENERIC_DESC,,INTEL_MP/KILLS_THIS_LIFE_PLURAL_DESC,INTEL_MP/KILLS_SHORT_DESC,,,,,,,0,
8,ch_intel_close_range_kills,0|1|2|3,,,1,350,3,100,5,150,10,250,INTEL_MP/CLOSE_RANGE_KILLS_GENERIC_DESC,INTEL_MP_CLOSE_RANGE_KILLS_GENERIC_DESC,INTEL_MP/CLOSE_RANGE_KILLS_SINGULAR_DESC,INTEL_MP/CLOSE_RANGE_KILLS_PLURAL_DESC,INTEL_MP/KILLS_SHORT_DESC,,,,,,,0,
9,ch_intel_ballistic_kills,0|1|2|3,,,5,350,10,100,15,150,25,250,INTEL_MP/BALLISTIC_KILLS_GENERIC_DESC,INTEL_MP_BALLISTIC_KILLS_GENERIC_DESC,,INTEL_MP/BALLISTIC_KILLS_PLURAL_DESC,INTEL_MP/KILLS_SHORT_DESC,,,,,,,0,
