0,enter_vehicle,MP_BR_INGAME/ATTRACT_RT_FIND_VEHICLE,,0,1,1,0,0,0,
1,get_to_start,MP_BR_INGAME/ATTRACT_RT_GET_TO_START,,0,1,1,0,0,0,
2,stop,MP_BR_INGAME/ATTRACT_RT_STOP,,0,1,1,0,0,0,
3,backup,MP_BR_INGAME/ATTRACT_RT_TOO_CLOSE,,0,1,1,0,0,0,
4,countdown,MP_BR_INGAME/ATTRACT_RT_COUNTDOWN,,0,1,0,0,0,1,
5,go,MP_BR_INGAME/ATTRACT_RT_GO,,1,0,0,0,0,0,
6,running_blank,,,1,0,0,0,0,0,
7,lap_1,MP_BR_INGAME/ATTRACT_RT_LAP_OF_3,1,1,0,0,0,0,0,
8,lap_2,MP_BR_INGAME/ATTRACT_RT_LAP_OF_3,2,1,0,0,0,0,0,
9,lap_3,MP_BR_INGAME/ATTRACT_RT_LAP_OF_3,3,1,0,0,0,0,0,
10,split_neg,MP_BR_INGAME/ATTRACT_RT_SPLIT_NEG,,1,0,0,0,1,0,
11,split_pos,MP_BR_INGAME/ATTRACT_RT_SPLIT_POS,,1,0,0,1,0,0,
12,out_of_bounds,MP_BR_INGAME/ATTRACT_RT_OOB,,1,0,0,0,0,1,
13,out_of_vehicle,MP_BR_INGAME/ATTRACT_RT_OOV,,1,0,0,0,0,1,
14,record_set,MP_BR_INGAME/ATTRACT_RT_FINISH_NEW_RECORD,,1,1,0,0,0,0,
15,new_record,MP_BR_INGAME/ATTRACT_RT_FINISH_NEW_RECORD_SPLIT,,1,1,0,1,0,0,
16,finish_split,MP_BR_INGAME/ATTRACT_RT_FINISH_SPLIT,,1,1,0,1,0,0,
17,update_ui_record,,,1,0,0,0,0,0,
