0,MATCH_STATUS_HINT/COMMON_KILL,common,
1,MATCH_STATUS_HINT/CYBER_EMP_PICKUP,cyber,
2,MATCH_STATUS_HINT/CYBER_EMP_PLANT,cyber,
3,MATCH_STATUS_HINT/CYBER_EMP_DEFUSE,cyber,
4,MATCH_STATUS_HINT/CYBER_EMP_DEFEND,cyber,
5,MATCH_STATUS_HINT/CYBER_CARRIER_DEFEND,cyber,
6,MATCH_STATUS_HINT/CYBER_DEFEND_DATA,cyber,
7,MATCH_STATUS_HINT/EXFIL_RUN_TO_EXTRACT,exfil,
8,MATCH_STATUS_HINT/EXFIL_PREVENT_EXTRACT,exfil,
9,MATCH_STATUS_HINT/ESCORT_VIP,vip,
10,MATCH_STATUS_HINT/SECURE_VIP,vip,
11,MATCH_STATUS_HINT/SECURE_EXTRACT,vip,
12,MATCH_STATUS_HINT/PREVENT_EXTRACT,vip,
13,MATCH_STATUS_HINT/CARRY_VIP,vip,
14,MATCH_STATUS_HINT/CAPTURE_FLAG,btm,
15,MATCH_STATUS_HINT/DEFEND_FLAG,btm,
16,MATCH_STATUS_HINT/CAPTURE_HQ,btm+hq,
17,MATCH_STATUS_HINT/DEFEND_HQ,btm+hq,
18,MATCH_STATUS_HINT/DEFEND_VIP,btm,
19,MATCH_STATUS_HINT/CAPTURE_JUGG,btm,
20,MATCH_STATUS_HINT/PLANT_BOMBS,btm,
21,MATCH_STATUS_HINT/PLANT_BOMB,sd,
22,MATCH_STATUS_HINT/DEFEND_BOMB,sd,
23,MATCH_STATUS_HINT/DEFUSE_BOMB,sd,
24,MATCH_STATUS_HINT/PICKUP_BOMB,sd,
25,MATCH_STATUS_HINT/ESCORT_BOMB,sd,
26,MATCH_STATUS_HINT/DEFEND_SITES,sd,
27,MATCH_STATUS_HINT/CAPTURE_DEFEND_FLAGS,dom,
28,MATCH_STATUS_HINT/CAPTURE_NUKE,arm,
29,MATCH_STATUS_HINT/DESTROY_HQ,hq,
30,MATCH_STATUS_HINT/GET_OBJ_BRM,brm,
31,MATCH_STATUS_HINT/CAPTURE_OBJ_BRM,brm,
32,MATCH_STATUS_HINT/SYNC_SQUAD_BRM,brm,
33,MATCH_STATUS_HINT/KILL_COLLECT_TAGS,conf,
34,MATCH_STATUS_HINT/COLLECT_BANK_TAGS,grind,
35,MATCH_STATUS_HINT/CAPTURE_HARDPOINT,koth,
36,MATCH_STATUS_HINT/CONTROL_HARDPOINT,koth,
37,MATCH_STATUS_HINT/CAPTURE_FLAG,ctf,
38,MATCH_STATUS_HINT/RETURN_FLAG,ctf,
39,MATCH_STATUS_HINT/INFECT_SURVIVE,infect,
40,MATCH_STATUS_HINT/INFECT_INFECT,infect,
41,MATCH_STATUS_HINT/CAPTURE_DZ,grnd,
42,MATCH_STATUS_HINT/CONTROL_DZ,grnd,
43,MATCH_STATUS_HINT/CAP_DEF_TDEF_FLAG,tdef,
