inherit,mp/loot_set_cache_contents_base_s4.csv,,,,,,,,
req,,weapon,1,,,3,,# 1 weapon of type epic,
req,,ammo,1,,,,,# 1 ammo,
req,,,1,,,4,,# 1 item of any type legendary,
req,,plunder,1,,,,,#Cash Drop,
chance,killstreak,15,,,,,,,
chance,keycard,10,,,,,,,
item,brloot_super_stoppingpower,22,#legendary,,,,,,
item,brloot_super_munitionsbox,22,#legendary,,,,,,
item,brloot_super_armorbox,22,#legendary,,,,,,
item,brloot_weapon_pi_papa320_unco,0,#uncommon,,,,,,
item,brloot_weapon_pi_papa320_rare,0,#rare,,,,,,
item,brloot_weapon_pi_mike9_epic,0,#epic,,,,,,
item,brloot_weapon_pi_mike9_lege,0,#legendary,,,,,,
item,brloot_weapon_pi_decho_unco,0,#uncommon,,,,,,
item,brloot_weapon_pi_decho_rare,0,#rare,,,,,,
item,brloot_weapon_la_rpapa7_unco,0,#uncommon,,,,,,
item,brloot_weapon_la_gromeo_epic,0,#epic,,,,,,
item,brloot_access_card_blue,0,,#keycards,,,,,
item,brloot_access_card_green,0,,#keycards,,,,,
item,brloot_access_card_red,1,,#keycards,,,,,
