none,1,,,,,,,,,,,,,,,
default,2,plunder_small,default,xp_small,default,weapon_xp_small,default,reward_tier,no_scale,,,,,,,
domination,3,plunder_small,default,xp_medium,default,weapon_xp_medium,default,reward_tier,no_scale,circle_peek,no_scale,loot_table,no_scale,blueprint_chance,no_scale,
assassin,4,plunder_large,default,xp_large,default,weapon_xp_large,default,reward_tier,no_scale,,,,,,,
assassin_target_killed,5,plunder_large,default,xp_large,default,weapon_xp_large,default,reward_tier,no_scale,blueprint_chance,no_scale,,,,,
assassin_target_vanished,6,plunder_small,default,xp_small,default,weapon_xp_small,default,reward_tier,no_scale,,,,,,,
assassin_averted,7,plunder_tiny,default,xp_small,default,weapon_xp_small,default,reward_tier,no_scale,,,,,,,
scavenger_1,28,loot_cache_1,no_scale,,,,,,,,,,,,,
scavenger_2,29,loot_cache_2,no_scale,,,,,,,,,,,,,
scavenger_3,30,plunder_medium,default,xp_medium,default,weapon_xp_medium,default,loot_cache_3,no_scale,reward_tier,no_scale,loot_platepouch_nosplash,no_scale,blueprint_chance,no_scale,
vip,31,plunder_large,default,xp_large,default,weapon_xp_large,default,team_revive,no_scale,reward_tier,no_scale,blueprint_chance,no_scale,,,
vip_killer,32,plunder_small,default,xp_small,default,weapon_xp_small,default,reward_tier,no_scale,,,,,,,
timed_run,33,plunder_small,default,xp_medium,default,weapon_xp_medium,default,fire_sale,no_scale,reward_tier,no_scale,,,,,
blueprintextract,34,plunder_huge,default,xp_large,default,weapon_xp_large,default,reward_tier,no_scale,,,,,,,
secretstash,35,plunder_medium,default,xp_medium,default,weapon_xp_medium,default,,,,,,,,,
geigerstash,36,plunder_medium,default,xp_medium,default,weapon_xp_medium,default,reward_tier,no_scale,brloot_killstreak_rcxd_rad_nosplash,no_scale,,,,,
