scavenger,MISC_MESSAGES_MP/SCAVENGER,hud_feedback_scavenger,scavenger_pack_pickup,1,
scavenger_eqp,MISC_MESSAGES_MP/SCAVENGER_EQUIPMENT,scavenger_pickup_eqp,scavenger_pack_pickup,1,
spotted,MISC_MESSAGES_MP/SPOTTED,icon_ks_skylark_uav_hud,oracle_radar_pulse_plr,1,
throwingknife,MISC_MESSAGES_MP/THROWING_KNIFE,hud_icon_equipment_throwing_knife,scavenger_pack_pickup,1,
alerted,MISC_MESSAGES_MP/ALERTED,icon_ks_sat_com_hud,,1,
axe,MISC_MESSAGES_MP/AXE,hud_icon_weapon_axe,scavenger_pack_pickup,1,
buddy_boost_start,MISC_MESSAGES_MP/BUDDY_BOOST_START,hud_icon_buddy_boost,,2,
buddy_boost_end,MISC_MESSAGES_MP/BUDDY_BOOST_END,hud_icon_buddy_boost,,2,
healing_players,MISC_MESSAGES_MP/HEALING_PLAYERS,hud_icon_extra_health,,2,
no_healing_players,MISC_MESSAGES_MP/NO_HEALING_PLAYERS,hud_icon_extra_health,,2,
in_healing_range,MISC_MESSAGES_MP/IN_HEALING_RANGE,hud_icon_extra_health,,2,
out_of_healing_range,MISC_MESSAGES_MP/OUT_OF_HEALING_RANGE,hud_icon_extra_health,,2,
