inherit,mp/loot_set_cache_contents_base.csv,,,,,,,,
req,,weapon,1,,,3,,# 1 weapon of type epic,
req,,ammo,1,,,,,# 1 ammo,
req,,,1,,,4,,# 1 item of any type legendary,
req,,plunder,1,,,,,#Cash Drop,
chance,killstreak,50,,,,,,,
chance,weapon,125,,,,,,,
chance,token,25,,,,,,,
chance,keycard,10,,,,,,,
item,brloot_super_stoppingpower,10,#legendary,,,,,,
item,brloot_weapon_pi_cpapa_epic,0,#epic,,,,,,
item,brloot_weapon_pi_cpapa_lege,0,#legendary,,,,,,
item,brloot_weapon_la_gromeo_epic,0,#legendary,,,,,,
item,brloot_access_card_blue,0,,#keycards,,,,,
item,brloot_access_card_green,0,,#keycards,,,,,
item,brloot_access_card_red,1,,#keycards,,,,,
