0,0,500,500,
1,500,500,1000,
2,1000,500,1500,
3,1500,600,2100,
4,2100,600,2700,
5,2700,600,3300,
6,3300,700,4000,
7,4000,700,4700,
8,4700,700,5400,
9,5400,800,6200,
10,6200,800,7000,
11,7000,800,7800,
12,7800,900,8700,
13,8700,900,9600,
14,9600,900,10500,
15,10500,1000,11500,
16,11500,1000,12500,
17,12500,1000,13500,
18,13500,1100,14600,
19,14600,1100,15700,
20,15700,1100,16800,
21,16800,1200,18000,
22,18000,1200,19200,
23,19200,1200,20400,
24,20400,1300,21700,
25,21700,1300,23000,
26,23000,1300,24300,
27,24300,1400,25700,
28,25700,1400,27100,
29,27100,1400,28500,
30,28500,1500,30000,
31,30000,1500,31500,
32,31500,1500,33000,
33,33000,1600,34600,
34,34600,1600,36200,
35,36200,1600,37800,
36,37800,1700,39500,
37,39500,1700,41200,
38,41200,1700,42900,
39,42900,1800,44700,
40,44700,1800,46500,
41,46500,1800,48300,
42,48300,1900,50200,
43,50200,1900,52100,
44,52100,1900,54000,
45,54000,2000,56000,
46,56000,2000,58000,
47,58000,2000,60000,
48,60000,2100,62100,
49,62100,2100,64200,
50,64200,2100,66300,
51,66300,2200,68500,
52,68500,2200,70700,
53,70700,2200,72900,
54,72900,2300,75200,
55,75200,2300,77500,
56,77500,2300,79800,
57,79800,2400,82200,
58,82200,2400,84600,
59,84600,2400,87000,
60,87000,2500,89500,
61,89500,2500,92000,
62,92000,2500,94500,
63,94500,2600,97100,
64,97100,2600,99700,
65,99700,2600,102300,
66,102300,2700,105000,
67,105000,2700,107700,
68,107700,2700,110400,
69,110400,2800,113200,
70,113200,2800,116000,
71,116000,2800,118800,
72,118800,2900,121700,
73,121700,2900,124600,
74,124600,2900,127500,
75,127500,3000,130500,
76,130500,3000,133500,
77,133500,3000,136500,
78,136500,3100,139600,
79,139600,3100,142700,
80,142700,3100,145800,
81,145800,3200,149000,
82,149000,3200,152200,
83,152200,3200,155400,
84,155400,3300,158700,
85,158700,3300,162000,
86,162000,3300,165300,
87,165300,3400,168700,
88,168700,3400,172100,
89,172100,3500,175600,
90,175600,3500,179100,
91,179100,3500,182600,
92,182600,3600,186200,
93,186200,3600,189800,
94,189800,3600,193400,
95,193400,3700,197100,
96,197100,3700,200800,
97,200800,3700,204500,
98,204500,3800,208300,
99,208300,3800,212100,
100,212100,3800,215900,
