iw8_ar_mike4,0,WEAPON/AR_MIKE4,icon_weapon_ar_mike4,rand_assault+rand_primary+rand_weapon,
iw8_ar_akilo47,1,WEAPON/AR_AKILO47,icon_weapon_ar_akilo47,rand_assault+rand_primary+rand_weapon,
iw8_ar_falpha,2,WEAPON/AR_FALPHA,icon_weapon_ar_falpha,rand_assault+rand_primary+rand_weapon,
iw8_ar_mcharlie,3,WEAPON/AR_MCHARLIE,icon_weapon_ar_mcharlie,rand_assault+rand_primary+rand_weapon,
iw8_ar_falima,4,WEAPON/AR_FALIMA,icon_weapon_ar_falima,rand_assault+rand_primary+rand_weapon,
iw8_ar_scharlie,5,WEAPON/AR_SCHARLIE,icon_weapon_ar_scharlie,rand_assault+rand_primary+rand_weapon,
iw8_ar_asierra12,6,WEAPON/AR_ASIERRA12,icon_weapon_ar_asierra12,rand_assault+rand_primary+rand_weapon,
iw8_ar_kilo433,7,WEAPON/AR_KILO433,icon_weapon_ar_kilo433,rand_assault+rand_primary+rand_weapon,
iw8_ar_tango21,8,WEAPON/AR_TANGO21,icon_weapon_ar_tango21,rand_assault+rand_primary+rand_weapon,
iw8_ar_sierra552,9,WEAPON/AR_SIERRA552,icon_weapon_ar_sierra552,rand_assault+rand_primary+rand_weapon,
iw8_ar_galima,10,WEAPON/AR_GALIMA,icon_weapon_ar_galima,rand_assault+rand_primary+rand_weapon,
iw8_ar_anovember94,11,WEAPON/AR_ANOVEMBER94,icon_weapon_ar_anovember94,rand_assault+rand_primary+rand_weapon,
iw8_ar_valpha,12,WEAPON/AR_VALPHA,icon_weapon_ar_valpha,rand_assault+rand_primary+rand_weapon,
iw8_sm_mpapa5,13,WEAPON/SM_MPAPA5,icon_weapon_sm_mpapa5,rand_smg+rand_primary+rand_weapon,
iw8_sm_augolf,14,WEAPON/SM_AUGOLF,icon_weapon_sm_augolf,rand_smg+rand_primary+rand_weapon,
iw8_sm_papa90,15,WEAPON/SM_PAPA90,icon_weapon_sm_papa90,rand_smg+rand_primary+rand_weapon,
iw8_sm_mpapa7,16,WEAPON/SM_MPAPA7,icon_weapon_sm_mpapa7,rand_smg+rand_primary+rand_weapon,
iw8_sm_beta,17,WEAPON/SM_BETA,icon_weapon_sm_beta,rand_smg+rand_primary+rand_weapon,
iw8_sm_uzulu,18,WEAPON/SM_UZULU,icon_weapon_sm_uzulu,rand_smg+rand_primary+rand_weapon,
iw8_sm_smgolf45,19,WEAPON/SM_SMGOLF45,icon_weapon_sm_smgolf45,rand_smg+rand_primary+rand_weapon,
iw8_sm_victor,20,WEAPON/SM_VICTOR,icon_weapon_sm_victor,rand_smg+rand_primary+rand_weapon,
iw8_sm_charlie9,21,WEAPON/SM_CHARLIE9,icon_weapon_sm_charlie9,rand_smg+rand_primary+rand_weapon,
iw8_sn_mike14,22,WEAPON/SN_MIKE14,icon_weapon_sn_mike14,rand_dmr+rand_sniperdmr+rand_primary+rand_weapon,
iw8_sn_kilo98,23,WEAPON/SN_KILO98,icon_weapon_sn_kilo98,rand_dmr+rand_sniperdmr+rand_primary+rand_weapon,
iw8_sn_sbeta,24,WEAPON/SN_SBETA,icon_weapon_sn_sbeta,rand_dmr+rand_sniperdmr+rand_primary+rand_weapon,
iw8_sn_crossbow,25,WEAPON/SN_CROSSBOW,icon_weapon_sn_crossbow,rand_dmr+rand_sniperdmr+rand_primary+rand_weapon,
iw8_sn_sksierra,26,WEAPON/SN_SKSIERRA,icon_weapon_sn_sksierra,rand_dmr+rand_sniperdmr+rand_primary+rand_weapon,
iw8_sn_delta,27,WEAPON/SN_DELTA,icon_weapon_sn_delta,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon,
iw8_sn_alpha50,28,WEAPON/SN_ALPHA50,icon_weapon_sn_alpha50,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon,
iw8_sn_hdromeo,29,WEAPON/SN_HDROMEO,icon_weapon_sn_hdromeo,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon,
iw8_sn_xmike109,30,WEAPON/SN_XMIKE109,icon_weapon_sn_xmike109,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon,
iw8_sn_romeo700,31,WEAPON/SN_ROMEO700,icon_weapon_sn_romeo700,rand_sniper+rand_dmr+rand_sniperdmr+rand_primary+rand_weapon,
iw8_lm_kilo121,32,WEAPON/LM_KILO121,icon_weapon_lm_kilo121,rand_lmg+rand_primary+rand_weapon,
iw8_lm_pkilo,33,WEAPON/LM_PKILO,icon_weapon_lm_pkilo,rand_lmg+rand_primary+rand_weapon,
iw8_lm_lima86,34,WEAPON/LM_LIMA86,icon_weapon_lm_lima86,rand_lmg+rand_primary+rand_weapon,
iw8_lm_mgolf34,35,WEAPON/LM_MGOLF34,icon_weapon_lm_mgolf34,rand_lmg+rand_primary+rand_weapon,
iw8_lm_mgolf36,36,WEAPON/LM_MGOLF36,icon_weapon_lm_mgolf36,rand_lmg+rand_primary+rand_weapon,
iw8_lm_mkilo3,37,WEAPON/LM_MKILO3,icon_weapon_lm_mkilo3,rand_lmg+rand_primary+rand_weapon,
iw8_lm_sierrrax,38,WEAPON/LM_SIERRAX,icon_weapon_lm_sierrax,rand_lmg+rand_primary+rand_weapon,
iw8_sh_dpapa12,39,WEAPON/SH_DPAPA12,icon_weapon_sh_dpapa12,rand_shotgun+rand_primary+rand_weapon,
iw8_sh_romeo870,40,WEAPON/SH_ROMEO870,icon_weapon_sh_romeo870,rand_shotgun+rand_primary+rand_weapon,
iw8_sh_charlie725,41,WEAPON/SH_CHARLIE725,icon_weapon_sh_charlie725,rand_shotgun+rand_primary+rand_weapon,
iw8_sh_oscar12,42,WEAPON/SH_OSCAR12,icon_weapon_sh_oscar12,rand_shotgun+rand_primary+rand_weapon,
iw8_sh_mike26,43,WEAPON/SH_MIKE26,icon_weapon_sh_mike26,rand_shotgun+rand_primary+rand_weapon,
iw8_sh_aalpha12,44,WEAPON/SH_AALPHA12,icon_weapon_sh_aalpha12,rand_shotgun+rand_primary+rand_weapon,
iw8_me_riotshield,45,WEAPON/ME_RIOTSHIELD,icon_weapon_me_riotshield,rand_primary+rand_weapon,
iw8_pi_golf21,46,WEAPON/PI_GOLF21,icon_weapon_pi_golf21,rand_pistol+rand_weapon,
iw8_pi_mike1911,47,WEAPON/PI_MIKE1911,icon_weapon_pi_mike_1911,rand_pistol+rand_weapon,
iw8_pi_cpapa,48,WEAPON/PI_CPAPA,icon_weapon_pi_cpapa,rand_pistol+rand_weapon,
iw8_pi_decho,49,WEAPON/PI_DECHO,icon_weapon_pi_decho,rand_pistol+rand_weapon,
iw8_pi_papa320,50,WEAPON/PI_PAPA320,icon_weapon_pi_papa320,rand_pistol+rand_weapon,
iw8_pi_mike9,51,WEAPON/PI_MIKE9,icon_weapon_pi_mike9,rand_pistol+rand_weapon,
iw8_la_gromeo,52,WEAPON/LA_GROMEO,icon_weapon_la_gromeo,rand_launcher,
iw8_la_rpapa7,53,WEAPON/LA_RPAPA7,icon_weapon_la_rpapa7,rand_launcher,
iw8_la_juliet,54,WEAPON/LA_JULIET,icon_weapon_la_juliet,rand_launcher,
iw8_la_kgolf,55,WEAPON/LA_KGOLF,icon_weapon_la_kgolf,rand_launcher,
iw8_knife,56,WEAPON/KNIFE_ONLY,icon_weapon_me_soscar_knife,rand_melee,
iw8_me_akimboblunt,57,WEAPON/AKIMBO_BLUNT,icon_weapon_me_kali_sticks,rand_melee,
iw8_me_akimboblades,58,WEAPON/AKIMBO_BLADES,icon_weapon_me_sword,rand_melee,
equip_frag,59,EQUIPMENT/FRAG,hud_icon_equipment_frag,rand_lethal,
equip_semtex,60,EQUIPMENT/SEMTEX,hud_icon_equipment_semtex,rand_lethal,
equip_molotov,61,EQUIPMENT/MOLOTOV,hud_icon_equipment_molotov,rand_lethal,
equip_claymore,62,EQUIPMENT/CLAYMORE,hud_icon_equipment_claymore,rand_lethal,
equip_throwing_knife,63,EQUIPMENT/THROWING_KNIFE,hud_icon_equipment_throwing_knife,rand_lethal,
equip_throwing_knife_fire,64,EQUIPMENT/THROWING_KNIFE_FIRE,hud_icon_equipment_throwing_knife_fire,rand_lethal,
equip_c4,65,EQUIPMENT/C4,hud_icon_equipment_c4,rand_lethal,
equip_thermite,66,EQUIPMENT/THERMITE,hud_icon_equipment_thermite,rand_lethal,
equip_at_mine,67,EQUIPMENT/AT_MINE,hud_icon_equipment_at_mine,rand_lethal,
equip_flash,68,EQUIPMENT/FLASH,hud_icon_equipment_flash,rand_tactical,
equip_smoke,69,EQUIPMENT/SMOKE,hud_icon_equipment_smoke,rand_tactical,
equip_concussion,70,EQUIPMENT/CONCUSSION,hud_icon_equipment_stun,rand_tactical,
equip_adrenaline,71,EQUIPMENT/ADRENALINE,hud_icon_equipment_stim,rand_tactical,
equip_trophy,72,EQUIPMENT/TROPHY,hud_icon_equipment_trophy,rand_tactical,
equip_snapshot_grenade,73,EQUIPMENT/SNAPSHOT_GRENADE,hud_icon_equipment_snapshot,rand_tactical,
equip_decoy,74,EQUIPMENT/DECOY,hud_icon_equipment_decoy,rand_tactical,
equip_snowball,75,EQUIPMENT/SNOWBALL,hud_icon_equipment_snowball,snow,
equip_pball,76,EQUIPMENT/PBALL,hud_icon_equipment_snowball_pball,snow,
none,77,WEAPON/FISTS,icon_weapon_me_fists,rand_none,
